District,Rooms,Price
Talas,1+1,10.000 TL
Melikgazi / Mimarsinan,3+1,11.000 TL
Talas,3+1,17.500 TL
Talas,3+1,16.500 TL
Kocasinan / İldem/Beyazşehir,3+1,10.000 TL
Kocasinan / İldem/Beyazşehir,2+1,10.000 TL
Kocasinan / İldem/Beyazşehir,2.5+1,17.000 TL
Melikgazi / Mimarsinan,3+1,17.000 TL
Melikgazi / Gesi,3+1,13.000 TL
Talas,3+1,15.000 TL
Talas,2+1,18.000 TL
Kocasinan / Merkez,4+0,16.000 TL
Kocasinan / Yenişehir,3+1,14.000 TL
Talas,3+1,18.000 TL
Talas,2.5+1,17.000 TL
Melikgazi / Kılıçaslan,3+1,19.000 TL
Kocasinan / Sanayi,3+1,11.000 TL
Kocasinan / Merkez,1+1,13.000 TL
Melikgazi / Gesi,2+1,16.500 TL
Kocasinan / Sanayi,4+1,17.000 TL
Talas,1+1,15.995 TL
Melikgazi / Mimarsinan,2+1,15.000 TL
Talas,3+1,18.500 TL
Melikgazi / Mimarsinan,3+1,14.000 TL
Melikgazi / Merkez,3+1,13.000 TL
Melikgazi / Mimarsinan,3+1,15.000 TL
Kocasinan / Sanayi,3+1,16.000 TL
Kocasinan / İldem/Beyazşehir,2+1,10.000 TL
Melikgazi / Becen,2+1,11.350 TL
Talas,3+1,14.000 TL
Melikgazi / Mimarsinan,3+1,14.000 TL
Melikgazi / Mimarsinan,1+1,7.750 TL
Talas,3+1,19.500 TL
Talas,3+1,18.750 TL
Kocasinan / Argıncık,3+1,14.000 TL
Melikgazi / Kılıçaslan,2.5+1,13.000 TL
Kocasinan / Erkilet,2+1,14.000 TL
Melikgazi / Gesi,3+1,17.500 TL
Kocasinan / Erkilet,2.5+1,17.500 TL
Kocasinan / Merkez,2+1,18.250 TL
Melikgazi / Gesi,3+1,18.000 TL
Melikgazi / Şeker/Keykubat,2.5+1,14.500 TL
Melikgazi / Hürriyet,3+1,16.000 TL
Talas,3+1,11.000 TL
Talas,3+1,18.000 TL
Kocasinan / İldem/Beyazşehir,4+0,17.000 TL
Kocasinan / Sanayi,2+1,19.000 TL
Kocasinan / Yenişehir,3+1,18.500 TL
Kocasinan / Yenimahalle,3+1,18.000 TL
Melikgazi / Kılıçaslan,3+1,11.500 TL
Kocasinan / Sanayi,3+1,18.500 TL
Kocasinan / Erkilet,3+1,17.500 TL
Kocasinan / Yenimahalle,3+1,12.500 TL
Melikgazi / Hürriyet,3+1,14.750 TL
Melikgazi / Hürriyet,2+1,10.000 TL
Melikgazi / Hürriyet,Stüdyo (1+0),12.995 TL
Kocasinan / Yenişehir,3+1,10.000 TL
Melikgazi / Çiftlik,3+1,12.000 TL
Kocasinan / Erkilet,2+1,18.000 TL
Talas,3+1,15.000 TL
Melikgazi / Mimarsinan,3+1,12.000 TL
Talas,3+1,18.000 TL
Kocasinan / Yenişehir,2+1,10.000 TL
Kocasinan / Yenişehir,3+1,15.000 TL
Kocasinan / Yenişehir,3+1,14.000 TL
Melikgazi / Mimarsinan,3+1,12.500 TL
Melikgazi / Kazımkarabekir,3+1,14.500 TL
Melikgazi / Kılıçaslan,3+1,11.000 TL
Kocasinan / Merkez,2+1,19.000 TL
Kocasinan / Fevziçakmak,3+1,16.500 TL
Melikgazi / Hürriyet,2+1,19.000 TL
Kocasinan / Merkez,2+1,14.000 TL
Kocasinan / Yenimahalle,3+1,5.500 TL
Melikgazi / Kazımkarabekir,2+1,18.000 TL
Kocasinan / Yenişehir,3+1,12.500 TL
Melikgazi / Mimarsinan,3+1,13.000 TL
Melikgazi / Hürriyet,2+1,11.000 TL
Hacılar,3+1,13.000 TL
Talas,3+1,15.000 TL
Kocasinan / Sanayi,3+1,14.000 TL
Yahyalı,2+1,14.000 TL
Melikgazi / Mimarsinan,4+1,17.500 TL
Kocasinan / Yenişehir,3+1,19.000 TL
Talas,3+1,17.000 TL
Melikgazi / Şeker/Keykubat,3+1,19.000 TL
Kocasinan / Yenişehir,3+1,18.500 TL
Melikgazi / Kılıçaslan,3+1,14.000 TL
Melikgazi / Gesi,3+1,19.000 TL
Talas,3+1,17.500 TL
