code,turkish_name,english_name,weight
08132,Bilgisayar çevre birimleri ve sarf malzemeleri,Peripheral equipment and its consumable components,"0,0176"
0813209,Bilgisayar ekipmanları,Computer peripherals,
0814,"Ses ve görüntü alma, kaydetme ve çoğaltma ekipmanları","Equipment for the reception, recording and reproduction of sound and vision","0,2583"
08140,"Ses ve görüntü alma, kaydetme ve çoğaltma ekipmanları","Equipment for the reception, recording and reproduction of sound and vision","0,2583"
0814001,Ses ve görüntü ekipmanları,Audio-video equipment,
0814007,Televizyon,Television,
0819,Diğer bilgi ve iletişim ekipmanları ve aksesuarları,Other information and communication equipment and accessories,"0,1461"
08191,Diğer bilgi ve iletişim ekipmanları,Other information and communication equipment,"0,0372"
0819103,Diğer iletişim ekipmanları,Other communication devices,
08192,Diğer bilgi ve iletişim aksesuarları,Other information and communication accessories,"0,1089"
0819201,Diğer bilgi ve iletişim aksesuarları,Info-communication accessories,
083,Bilgi ve iletişim hizmetleri,Information and communication services,"1,6269"
0832,Mobil iletişim hizmetleri,Mobile communication services,"1,1465"
08320,Mobil iletişim hizmetleri,Mobile communication services,"1,1465"
0832001,Cep telefonu görüşme ücreti,Mobile phone service fee,
0833,İnternet erişimi sağlama hizmetleri ve ağ depolama hizmetleri,Internet access provision services and online storage services,"0,3395"
08330,İnternet erişim hizmetleri,Internet access provision services and online storage services,"0,3395"
0833001,İnternet ücreti,Internet service fee,
0835,Bilgi ve iletişim ekipmanlarının onarımı ve kiralanması,Repair and rental of information and communication equipment,"0,0479"
08350,Bilgi ve iletişim ekipmanlarının onarımı ve kiralanması,Repair and rental of information and communication equipment,"0,0479"
0835001,Bilgi ve iletişim ekipmanlarının tamir ve bakımı,Repair and maintenance of information and communication equipment,
0839,Diğer bilgi ve iletişim hizmetleri,Other information and communication services,"0,0930"
08392,"Görsel-işitsel içeriklerin aboneliği, kiralanması ve çevrim içi yayın hizmetleri",Subscriptions to audiovisual streaming services and rental of audiovisual content,"0,0930"
0839201,Görsel ve işitsel platform aboneliği,Digital content platform subscription,
09,"Eğlence, dinlence, spor ve kültür","Recreation, sport and culture","4,3382"
092,Diğer eğlence malları,Other recreational goods,"0,3944"
0921,"Oyunlar, oyuncaklar ve hobiler","Games, toys and hobby-related articles","0,2347"
09211,"Video oyunu bilgisayarları, oyun konsolları, oyun uygulamaları ve yazılımları","Video game computers, consoles, game applications and software","0,0385"
0921104,Elektronik oyunlar (oyun konsolları vb.),"Electronic games (game consoles, etc.)",
09212,"Diğer oyunlar, oyuncaklar ve hobiler","Other games, toys and hobby-related articles","0,1962"
0921204,Diğer oyuncaklar,Other toys,
0921207,Tekerlekli sürülebilir oyuncaklar,Ride-on wheeled toys,
0922,"Spor, kamp ve açık hava eğlence ekipmanları","Sporting, camping and open-air recreation equipment","0,1598"
09221,Spor ekipmanları,Sporting equipment,"0,1598"
0922102,Evde kullanılan spor aletleri,Home fitness equipment,
0922103,Spor ekipmanları,Sports equipment,
0922107,Sportif faaliyetler için özel amaçlı giysi ve aksesuarlar,Special clothing and accessories for sporting activities,
093,Bahçe ürünleri ve ev hayvanları,Garden products and pets,"0,4846"
0932,Ev hayvanları ve ev hayvanları için ürünler,Pets and pet products,"0,4846"
09322,Ev hayvanları ve diğer evcil hayvanlar için ürünler,Products for pets and other household animals,"0,4846"
