product_id,price,category,tuik_code
8462,175.0,Matkap ve vidalamalar,05
8464,250.0,Matkap ve vidalamalar,05
9731,280.0,Matkap ve vidalamalar,05
9732,280.0,Matkap ve vidalamalar,05
13376,350.0,Matkap ve vidalamalar,05
9733,399.0,Matkap ve vidalamalar,05
9738,525.0,Matkap ve vidalamalar,05
9734,425.0,Matkap ve vidalamalar,05
9735,475.0,Matkap ve vidalamalar,05
9736,525.0,Matkap ve vidalamalar,05
9739,735.0,Matkap ve vidalamalar,05
9737,1250.0,Matkap ve vidalamalar,05
9740,1595.0,Matkap ve vidalamalar,05
9741,2400.0,Matkap ve vidalamalar,05
9729,205.0,Matkap ve vidalamalar,05
9727,299.0,Bilinmeyen,05
9728,215.0,Bilinmeyen,05
9730,299.0,Bilinmeyen,05
13329,150.0,Matkap ve vidalamalar,05
9745,360.0,Matkap ve vidalamalar,05
9746,399.0,Matkap ve vidalamalar,05
9747,450.0,Matkap ve vidalamalar,05
9748,225.0,Matkap ve vidalamalar,05
9724,115.0,Matkap ve vidalamalar,05
13331,57.5,Matkap ve vidalamalar,05
5783,87.5,Matkap ve vidalamalar,05
8761,56.25,Matkap ve vidalamalar,05
13610,50.0,Matkap ve vidalamalar,05
13609,50.0,Matkap ve vidalamalar,05
13327,70.0,Bilinmeyen,05
13603,67.5,Bilinmeyen,05
14809,65.0,Bilinmeyen,05
5788,95.0,Bilinmeyen,05
8764,87.5,Bilinmeyen,05
13611,80.0,Bilinmeyen,05
13613,70.0,Bilinmeyen,05
13612,85.0,Bilinmeyen,05
13615,99.0,Bilinmeyen,05
13334,125.0,Bilinmeyen,05
13617,172.5,Bilinmeyen,05
8171,329.0,Bilinmeyen,05
13618,499.0,Matkap ve vidalamalar,05
13619,550.0,Matkap ve vidalamalar,05
13620,650.0,Matkap ve vidalamalar,05
13621,600.0,Matkap ve vidalamalar,05
13332,45.0,Matkap ve vidalamalar,05
13623,32.5,Matkap ve vidalamalar,05
13328,55.0,Matkap ve vidalamalar,05
5933,47.5,Matkap ve vidalamalar,05
12105,45.0,Matkap ve vidalamalar,05
14807,45.0,Matkap ve vidalamalar,05
14808,65.0,Matkap ve vidalamalar,05
13330,47.5,Matkap ve vidalamalar,05
13607,47.5,Matkap ve vidalamalar,05
8759,56.25,Matkap ve vidalamalar,05
8762,56.25,Matkap ve vidalamalar,05
14907,59.0,Matkap ve vidalamalar,05
5389,112.5,Keski murç,05
9721,37.5,Matkap ve vidalamalar,05
9722,45.0,Matkap ve vidalamalar,05
5664,62.0,Matkap ve vidalamalar,05
2682,75.0,Saklama kabı ve plastik kaplar,05
2683,90.0,Saklama kabı ve plastik kaplar,05
8143,936.0,Penseler,05
3062,700.0,Penseler,05
1402,960.0,Sehpalar,05
1403,960.0,Sehpalar,05
1404,960.0,Sehpalar,05
10222,450.0,Sehpalar,05
12289,750.0,Sehpalar,05
