product_id,price,category,tuik_code,change_1d,change_7d,change_15d
4912,30.0,Pis su boru ve parçaları,05,0.0,0.0,0.0
4881,46.0,Pis su boru ve parçaları,05,0.0,0.0,0.0
4895,17.0,Pis su boru ve parçaları,05,0.0,,
4920,20.0,Pis su boru ve parçaları,05,0.0,0.0,0.0
4886,7.0,Pis su boru ve parçaları,05,0.0,0.0,0.0
4907,4.0,Pis su boru ve parçaları,05,0.0,0.0,0.0
4926,11.0,Pis su boru ve parçaları,05,0.0,0.0,0.0
4866,102.0,Pis su boru ve parçaları,05,0.0,0.0,0.0
4882,33.0,Pis su boru ve parçaları,05,0.0,0.0,0.0
4867,181.0,Pis su boru ve parçaları,05,0.0,0.0,0.0
4883,47.0,Pis su boru ve parçaları,05,0.0,0.0,0.0
4868,268.0,Pis su boru ve parçaları,05,0.0,0.0,0.0
4896,25.0,Pis su boru ve parçaları,05,0.0,0.0,0.0
4898,42.0,Pis su boru ve parçaları,05,0.0,0.0,0.0
4903,22.0,Pis su boru ve parçaları,05,0.0,0.0,0.0
4864,67.0,Pis su boru ve parçaları,05,0.0,0.0,0.0
4913,60.0,Pis su boru ve parçaları,05,0.0,0.0,0.0
4897,32.0,Pis su boru ve parçaları,05,0.0,0.0,0.0
4921,32.0,Pis su boru ve parçaları,05,0.0,0.0,0.0
4887,12.0,Pis su boru ve parçaları,05,0.0,,
4908,4.0,Pis su boru ve parçaları,05,0.0,0.0,0.0
4927,19.0,Pis su boru ve parçaları,05,0.0,0.0,0.0
12523,219.0,Temiz su boru ve parçaları,05,0.0,0.0,0.0
4376,180.0,Batarya ve Yedek Parça,05,0.0,0.0,0.0
13502,120.0,Metre gönye kumpas,05,0.0,0.0,0.0
3078,55.0,JAWS ELTOS,05,0.0,0.0,0.0
3079,60.0,JAWS ELTOS,05,0.0,0.0,0.0
3080,65.0,JAWS ELTOS,05,0.0,0.0,0.0
3081,85.0,JAWS ELTOS,05,0.0,0.0,0.0
3074,25.0,JAWS ELTOS,05,0.0,0.0,0.0
3075,30.0,JAWS ELTOS,05,0.0,0.0,0.0
1826,100.0,Banyo aksesuarları,05,0.0,0.0,0.0
15116,875.0,Acil Aydınlatma,05,0.0,,
14830,510.0,Anahtar fiş priz,05,0.0,0.0,0.0
6509,480.0,Bağlantı aparatları,05,0.0,0.0,0.0
5047,12.5,"Flex, Hortum ve Aksesuarlar",05,0.0,,
1928,180.0,Harç sıva ve yapıştırıcılar,05,0.0,0.0,0.0
1946,20.0,Harç sıva ve yapıştırıcılar,05,0.0,0.0,0.0
14029,5500.0,Ağaç kesme makineleri,05,0.0,0.0,0.0
3250,5250.0,Ağaç kesme makineleri,05,0.0,0.0,0.0
11244,5750.0,Ağaç kesme makineleri,05,0.0,0.0,0.0
