2026-09-25 07:08:34 [INFO] ==================================================
2026-09-25 07:08:34 [INFO] Yapimaks Scraper basliyor (async)
2026-09-25 07:08:34 [INFO] ==================================================
2026-09-25 07:08:34 [INFO] Parametreler: workers=8, rate=0.8/sn, max_duration=300 dk
2026-09-25 07:08:34 [INFO] Ana sayfa ziyaret ediliyor, cookie aliniyor...
2026-09-25 07:08:35 [INFO] Cookie basariyla alindi.
2026-09-25 07:08:35 [INFO] Sitemap indiriliyor: https://yapimaks.com/sitemap/products1.xml
2026-09-25 07:08:36 [INFO] Sitemap'ten toplam 8370 urun URL'si bulundu.
2026-09-25 07:08:36 [INFO] Dunun dosyasi: 2026-09-24.csv
2026-09-25 07:08:36 [INFO] Dunun dosyasinda 8606 urun var.
2026-09-25 07:08:36 [WARNING] 186 urun 7+ gun sitemap'te gorunmuyor, dosyadan dusuruldu: ['https://yapimaks.com/agac-kesim-motorlu-benzinli-testere-41cc-1-9hp-kama-kmr41-p14029', 'https://yapimaks.com/agac-kesim-motorlu-test-elektrik-ex75043a-p3250', 'https://yapimaks.com/agac-kesim-motorlu-testere-46cc-kama-p11244', 'https://yapimaks.com/agac-kesim-motorlu-testere-factor-p14935', 'https://yapimaks.com/agt-supurgelik-6cm-anemon-spr-5030-p11373']...
2026-09-25 07:08:36 [INFO] GUNLUK BUTCE: 480 urun aday — hepsi bu koşuda tazelenir.
2026-09-25 07:08:36 [INFO] Tasinacak (degismeyen) urun: 8420 | Yeniden cekilecek: 480
2026-09-25 07:10:10 [INFO] [12809] 'AGT SÜPÜRGELİK 6cm SELGE SPR-5030' | 100.00 TL | SKU: AGT.8312226
2026-09-25 07:10:11 [INFO] [431] 'AGT SÜPÜRGELİK 6cm RİVA SPR-5030' | 100.00 TL | SKU: AGT.120020020
2026-09-25 07:10:12 [INFO] [14360] 'AGT SÜPÜRGELİK 6cm TOSKANA ALBANA SPR-50' | 100.00 TL | SKU: AGT.120048277
2026-09-25 07:10:14 [WARNING] [https://yapimaks.com/insaat-demiri-nervullu-kalin-12-14-16-20-p4683] Urun parse hatasi (deneme 1/3): API yanitinda fiyat bulunamadi
2026-09-25 07:10:15 [INFO] [13749] 'AGT SÜPÜRGELİK 8cm BEYAZ FINISH PAK SPR-' | 200.00 TL | SKU: AGT.120037755
2026-09-25 07:10:16 [INFO] [14362] 'AGT SÜPÜRGELİK 6cm MURANO FABA SPR-5030' | 100.00 TL | SKU: AGT.120047980
2026-09-25 07:10:17 [WARNING] [https://yapimaks.com/insaat-demiri-nervullu-kalin-12-14-16-20-p4683] Urun parse hatasi (deneme 2/3): API yanitinda fiyat bulunamadi
2026-09-25 07:10:19 [INFO] [505] 'AGT SÜPÜRGELİK 6cm TOROS EFFECT FİNİSH S' | 100.00 TL | SKU: AGT.120030303
2026-09-25 07:10:20 [INFO] [499] 'AGT SÜPÜRGELİK 6cm TİBET EFFECT FİNİSH S' | 100.00 TL | SKU: AGT.120030292
2026-09-25 07:10:21 [INFO] [2390] '80*80*3.0MM KUTU PROFİL (ANTİPASLI)' | 1945.62 TL | SKU: DEM.PRF.245
2026-09-25 07:10:22 [INFO] [450] 'AGT SÜPÜRGELİK 8cm ANTALYA ÇAM SPR-5000' | 140.00 TL | SKU: AGT.120020466
2026-09-25 07:10:24 [WARNING] [https://yapimaks.com/insaat-demiri-nervullu-kalin-12-14-16-20-p4683] Urun parse hatasi (deneme 3/3): API yanitinda fiyat bulunamadi
2026-09-25 07:10:24 [ERROR] [https://yapimaks.com/insaat-demiri-nervullu-kalin-12-14-16-20-p4683] Tum denemeler basarisiz: API yanitinda fiyat bulunamadi
2026-09-25 07:10:24 [WARNING] [https://yapimaks.com/insaat-demiri-nervullu-kalin-12-14-16-20-p4683] Eski satir korundu, yarin tekrar denenir.
2026-09-25 07:10:25 [INFO] [500] 'AGT SÜPÜRGELİK 6cm PAMİR EFFECT FİNİSH S' | 100.00 TL | SKU: AGT.120030296
2026-09-25 07:10:26 [INFO] [516] 'AGT SÜPÜRGELİK 8cm DEFNE SPR-5000E' | 140.00 TL | SKU: AGT.120037719
2026-09-25 07:10:27 [INFO] [417] 'AGT SÜPÜRGELİK 8cm GRİ YENİ SOFT TOUCH 5' | 290.00 TL | SKU: AGT.120038014
2026-09-25 07:10:29 [INFO] [457] 'AGT SÜPÜRGELİK 8cm ILGAZ MEŞE 5000E' | 140.00 TL | SKU: AGT.120037736
2026-09-25 07:10:30 [INFO] [518] 'AGT SÜPÜRGELİK 8cm LİMRA MEŞE SPR-5000E' | 140.00 TL | SKU: AGT.120037759
2026-09-25 07:10:31 [INFO] [12804] 'AGT SÜPÜRGELİK 8cm MANOLYA SPR-5000' | 140.00 TL | SKU: AGT.120047896
2026-09-25 07:10:32 [INFO] [14662] 'AGT SÜPÜRGELİK 8cm GARDENYA SPR-5000E' | 140.00 TL | SKU: AGT.120037732
2026-09-25 07:10:34 [INFO] [13709] 'AGT SÜPÜRGELİK 8cm FREZYA 5000E' | 140.00 TL | SKU: AGT.120037728
2026-09-25 07:10:35 [INFO] [14661] 'AGT SÜPÜRGELİK 8cm MERİÇ SPR-5000E' | 140.00 TL | SKU: AGT.120037838
2026-09-25 07:10:36 [INFO] [14660] 'AGT SÜPÜRGELİK 8cm MODENA ASTERA SPR-500' | 140.00 TL | SKU: AGT.120049309
2026-09-25 07:10:38 [INFO] [12391] 'AGT SÜPÜRGELİK 8cm MURANO FABA SPR-5000E' | 140.00 TL | SKU: AGT.120048020
2026-09-25 07:10:40 [INFO] [14364] 'AGT SÜPÜRGELİK 8cm NİL SPR-7034' | 140.00 TL | SKU: AGT.120044808
2026-09-25 07:10:43 [INFO] [13710] 'AGT SÜPÜRGELİK 8cm PAMİR 5000E' | 140.00 TL | SKU: AGT.120037834
2026-09-25 07:10:43 [INFO] [522] 'AGT SÜPÜRGELİK 8cm GRİ LAKE SPR-5000E' | 257.00 TL | SKU: AGT.120042835
2026-09-25 07:10:43 [INFO] [14365] 'AGT SÜPÜRGELİK 8cm PAMİR SPR-7034' | 140.00 TL | SKU: AGT.120031462
2026-09-25 07:10:43 [INFO] ... ilerleme 100/480 (tazelenen 98, basarisiz 2, korunan 2, atlanan 0)
2026-09-25 07:10:44 [INFO] [13712] 'AGT SÜPÜRGELİK 8cm MAT SOFT TOUCH BEYAZ ' | 225.00 TL | SKU: AGT.120037693
2026-09-25 07:10:45 [INFO] [6048] 'BANYO KAZANI ALT MERTSAN' | 2200.00 TL | SKU: MERTSAN.002
2026-09-25 07:10:46 [INFO] [15027] 'BİLYALI TUZAKLI BAREL 68 MM SATEN YUMA Y' | 440.00 TL | SKU: YUMA.YM-B68BTS
2026-09-25 07:10:47 [INFO] [14655] 'AGT SÜPÜRGELİK 8cm FIRTINA GRİ SOFT TOUC' | 290.00 TL | SKU: AGT.120040592
2026-09-25 07:10:49 [INFO] [14722] 'BİTS UÇ TORX PRF T30 75 MM BLİSTERLİ' | 30.00 TL | SKU: WONDER.STW1918-7
2026-09-25 07:10:50 [INFO] [1595] 'BİTÜSELF STAR 10 CM YEŞİL' | 450.00 TL | SKU: BTM.BSY-10
2026-09-25 07:10:52 [INFO] [1598] 'BİTÜSELF STAR 15 CM YEŞİL' | 550.00 TL | SKU: BTM.BSY-15
2026-09-25 07:10:57 [INFO] [1604] 'BİTÜSELF STAR 30 CM YEŞİL' | 1250.00 TL | SKU: BTM.BSY-30
2026-09-25 07:11:00 [INFO] [453] 'AGT SÜPÜRGELİK 8cm MERİÇ SPR-5000' | 140.00 TL | SKU: AGT.120020914
2026-09-25 07:11:01 [INFO] [1856] 'ÇUVAL MOLOZ (50*80)' | 10.00 TL | SKU: ÇUVAL.001
2026-09-25 07:11:01 [INFO] [451] 'AGT SÜPÜRGELİK 8cm BEYAZ MEŞE SPR-5000' | 140.00 TL | SKU: AGT.120020488
2026-09-25 07:11:01 [INFO] [14659] 'AGT SÜPÜRGELİK 8cm SİLYON MEŞE SPR-5000E' | 140.00 TL | SKU: AGT.120037763
2026-09-25 07:11:02 [INFO] [1698] 'DUŞAKABİN TEKERLEĞİ KROM BEYAZ PLS. MAK4' | 125.00 TL | SKU: CABINART.MAK47B
2026-09-25 07:11:02 [INFO] [11497] 'AGT SÜPÜRGELİK 8cm GALA MEŞE SPR-5000E' | 140.00 TL | SKU: AGT.120037710
2026-09-25 07:11:02 [INFO] [463] 'AGT SÜPÜRGELİK 8cm ŞİRAZ MEŞE PS08000' | 140.00 TL | SKU: AGT.120024040
2026-09-25 07:11:02 [INFO] [10980] 'DUŞAKABİN TEKERLEĞİ SİYAH PVC MAK46' | 125.00 TL | SKU: CABINART.MAK46S
2026-09-25 07:11:04 [INFO] [12897] 'ELDİVEN NİTRİL MİCRO 3/4 NO:10 BEYBİ' | 90.00 TL | SKU: BEYBİ.İ04NMF13410
2026-09-25 07:11:05 [INFO] [12903] 'ELDİVEN SARI BEYAZ PN3  NO:10' | 37.50 TL | SKU: BEYBİ.İ040177
