2026-09-19 07:02:58 [INFO] ==================================================
2026-09-19 07:02:58 [INFO] Yapimaks Scraper basliyor (async)
2026-09-19 07:02:58 [INFO] ==================================================
2026-09-19 07:02:58 [INFO] Parametreler: workers=8, rate=0.8/sn, max_duration=300 dk
2026-09-19 07:02:58 [INFO] Ana sayfa ziyaret ediliyor, cookie aliniyor...
2026-09-19 07:02:59 [INFO] Cookie basariyla alindi.
2026-09-19 07:02:59 [INFO] Sitemap indiriliyor: https://yapimaks.com/sitemap/products1.xml
2026-09-19 07:02:59 [INFO] Sitemap'ten toplam 8384 urun URL'si bulundu.
2026-09-19 07:02:59 [INFO] Dunun dosyasi: 2026-09-18.csv
2026-09-19 07:03:00 [INFO] Dunun dosyasinda 8586 urun var.
2026-09-19 07:03:00 [WARNING] GUNLUK BUTCE: 5617 urun cekilmeye aday, ilk 2500 tazelenecek; kalan 3117 yarin (en bayatlar önce) devam eder (self-heal).
2026-09-19 07:03:00 [INFO] Tasinacak (degismeyen) urun: 8586 | Yeniden cekilecek: 2500
2026-09-19 07:04:02 [INFO] [8425] 'ETRİYE KOLU 12-16 MM MEK1216 SAİT DEMİRC' | 2990.00 TL | SKU: SD.MEK1216
2026-09-19 07:04:04 [INFO] [7452] 'EVİYE 420020 40X40 CUBİM U 40 P.ÇELİK 1M' | 3750.00 TL | SKU: PERA.00420020
2026-09-19 07:04:05 [INFO] [9035] 'DÜBEL GAZBETON 8 MM (1000 AD)' | 804.00 TL | SKU: STAR.01.08.01
2026-09-19 07:04:06 [INFO] [13035] 'EVİYE 420127 K 40X50 P.ÇELİK 0,6MM SAĞ B' | 1850.00 TL | SKU: PERA.00420127R
2026-09-19 07:04:07 [INFO] [11993] 'DÜĞME VAVİEN GÜMÜŞ NOVELLA VİKO' | 45.00 TL | SKU: VİKO.92605004
2026-09-19 07:04:09 [INFO] [14406] 'DUŞ KANALI LİNEER 33 CM SABİT SATEN YAND' | 336.00 TL | SKU: LİNEER.DK150.71005451
2026-09-19 07:04:10 [INFO] [4409] 'HORTUM REKORU 3/4' | 100.00 TL | SKU: GMS.SR551
2026-09-19 07:04:11 [INFO] [4438] 'HORTUM SARI EMİCİ 1 P, 1M' | 50.00 TL | SKU: GÜNEŞ.0019.1
2026-09-19 07:04:12 [INFO] [12036] 'ÇOCUK BAHÇE SETİ MASA + 4 TABURE' | 1250.00 TL | SKU: OVED.138
2026-09-19 07:04:14 [INFO] [11675] 'HORTUM TAHARET SHATTAF 1/2 1/2 DIAMOND' | 229.00 TL | SKU: DIAMOND.SPR8006
2026-09-19 07:04:15 [INFO] [12212] 'HORTUM TE DÖRTLÜ 10MM (PİRİNÇ)' | 257.50 TL | SKU: DİRİM.ST182
2026-09-19 07:04:16 [INFO] [12213] 'HORTUM TE DÖRTLÜ 8MM (PİRİNÇ)' | 250.00 TL | SKU: DİRİM.ST181
2026-09-19 07:04:17 [INFO] [9359] 'HORTUM SARI EMİCİ 2 1/2 P, 1M' | 238.80 TL | SKU: SÜRMENE.201212
2026-09-19 07:04:19 [INFO] [4553] 'HSS MATKAP UCU 10,5mm' | 150.00 TL | SKU: HSS.00105
2026-09-19 07:04:20 [INFO] [4567] 'HSS MATKAP UCU 10mm' | 75.00 TL | SKU: HSS.010
2026-09-19 07:04:21 [INFO] [4568] 'HSS MATKAP UCU 11,5mm' | 90.00 TL | SKU: HSS.0115
2026-09-19 07:04:22 [INFO] [4554] 'HSS MATKAP UCU 11mm' | 85.00 TL | SKU: HSS.0011
2026-09-19 07:04:24 [INFO] [4569] 'HSS MATKAP UCU 12,5mm' | 125.00 TL | SKU: HSS.0125
2026-09-19 07:04:25 [INFO] [4556] 'HSS MATKAP UCU 1,5mm' | 10.00 TL | SKU: HSS.0015
2026-09-19 07:04:26 [INFO] [4571] 'HSS MATKAP UCU 13,5mm' | 175.00 TL | SKU: HSS.0135
2026-09-19 07:04:27 [INFO] [7460] 'EVİYE 420140 CENTROVAL F6 50CM 0,6 MM PA' | 2250.00 TL | SKU: PERA.00420140
2026-09-19 07:04:29 [INFO] [13558] 'HSS MATKAP UCU 14,5mm MTE' | 1750.00 TL | SKU: HSS.MTE10899
