kategori,product_name,product_price
"Süt, Kahvaltılık, Sark.",Danone Kakaolu Süt 6*180 Ml,"119,90"
"Süt, Kahvaltılık, Sark.",Danone Suprix Frozen Çilekli Yoğurt 90 Gr,"57,50"
"Süt, Kahvaltılık, Sark.",Danone Suprix Marvel Çilekli Yoğurt 90 Gr,"57,50"
"Süt, Kahvaltılık, Sark.",Danone Tikveşli Krema %18 Yağlı 200 Ml,"59,50"
"Süt, Kahvaltılık, Sark.",Doğal Probiyotik Aktivia Sade Yoğurt 400 Gr,"89,90"
"Süt, Kahvaltılık, Sark.",Dr. Oetker Vitalis Sütlü Bitter Çikolatalı Müsli 450 Gr,"159,95"
"Süt, Kahvaltılık, Sark.",Dr.Oetker Yogotella Çilek&Muz Hazır Yoğurt,"31,45"
"Süt, Kahvaltılık, Sark.",Dr.Oetker Yogotella Kayısı&Şeftali Hazır Yogurt,"31,45"
"Süt, Kahvaltılık, Sark.",Dr.Oetker Yogotella Orman Meyveli Hazır Yoğurt,"31,45"
"Süt, Kahvaltılık, Sark.",Eker Ananaslı Kefir 200 Ml,"36,00"
"Süt, Kahvaltılık, Sark.",Eker Çilekli Kefir 1000 Ml,"115,75"
"Süt, Kahvaltılık, Sark.",Eker Çilekli Kefir 200 Ml,"36,00"
"Süt, Kahvaltılık, Sark.",Eker Çilekli Probiyotik Yoğurt 400 Gr,"83,95"
"Süt, Kahvaltılık, Sark.",Eker Çilekli Yoğurt 65 Gr,"29,95"
"Süt, Kahvaltılık, Sark.",Eker Çırpılmış Yoğurt 500 Gr,"81,50"
"Süt, Kahvaltılık, Sark.",Eker Dilimli Kaşar Peyniri 350 Gr,"199,90"
"Süt, Kahvaltılık, Sark.",Eker Efsane Tam Yağlı Yoğurt 750 Gr,"85,50"
"Süt, Kahvaltılık, Sark.",Eker Efsane Yoğurt 250 Gr,"29,90"
"Süt, Kahvaltılık, Sark.",Eker Efsane Yoğurt 350 Gr,"45,50"
"Süt, Kahvaltılık, Sark.",Eker Homojenize Yoğurt 1500 Ml,"89,50"
"Süt, Kahvaltılık, Sark.",Eker Kaşar Peyniri 400 Gr,"219,90"
"Süt, Kahvaltılık, Sark.",Eker Kaşar Peyniri 600 Gr,"269,90"
