product_name,product_price
Hastavuk Piliç Parmak Bonf - 1 Kg._1kg,"(219,00 / Kg)"
HasTavuk Roaster Tavuk - 1 Kg._1kg,"(89,90 / Kg)"
Kuzu Böbrek Yatağı - 500 Gr._1kg,"(959,90 / Kg)"
"Kuzu But - 2,5 Kg._1kg","(939,90 / Kg)"
"Kuzu But İnciksiz - 2,5 Kg._1kg","(959,90 / Kg)"
"Kuzu But Tandır - 1,5 Kg._1kg","(1.199,90 / Kg)"
Kuzu Ciğeri - 1 Kg._1kg,"(1.039,90 / Kg)"
Kuzu Gerdan - 500 Gr._1kg,"(839,90 / Kg)"
Kuzu İncik - 500 Gr._1kg,"(1.099,90 / Kg)"
Kuzu Kaburga - 500 Gr._1kg,"(839,90 / Kg)"
Kuzu Kavurmalık - 500 Gr._1kg,"(1.139,90 / Kg)"
"Kuzu Kol - 1,5 Kg._1kg","(919,90 / Kg)"
Kuzu Külbastı - 500 Gr._1kg,"(1.339,90 / Kg)"
Kuzu Kuşbaşı - 500 Gr._1kg,"(1.319,90 / Kg)"
Kuzu Pirzola - 500 Gr._1kg,"(1.499,90 / Kg)"
Kuzu Şiş - 500 Gr._1kg,"(1.339,90 / Kg)"
Kuzu Yarım Kol - 1 Kg._1kg,"(1.169,90 / Kg)"
Lezita Baget - 1 Kg._1kg,"(145,00 / Kg)"
Lezita But - 1 Kg._1kg,"(119,90 / Kg)"
Lezita But Izgara Derisiz - 1 Kg._1kg,"(249,90 / Kg)"
Lezita But Pirzola - 1 Kg._1kg,"(169,90 / Kg)"
Lezita Fileto - 1 Kg._1kg,"(219,90 / Kg)"
Lezita Izgara Üst Kanat - 1 Kg._1kg,"(289,90 / Kg)"
Lezita Piliç Baton Sucuk 450 Gr,"119,90"
"Lezita Poşetli Bütün Piliç - 1,5 Kg._1kg","(129,90 / Kg)"
Maret Afiyetle Dana Kokteyl Sosis 200 gr,"169,90"
Maret Afiyetle Dana Sucuk 200 Gr,"199,90"
Maret Boncuk Sucuk 220 Gr,"349,90"
Maret Küvet Sucuk 300 Gr,"389,90"
Maret Lezzetince Hindi Füme 110 Gr,"96,50"
Maret Pratik Dana Macar Salam 50 Gr,"59,90"
Maret Pratik Hindi Füme 60 Gr,"49,90"
Maret Pratik Hindi Salam 8 Dilim 60 gr,"34,90"
Maret Pratik Sosis 140 Gr,"69,90"
Maret Sosis 5'li 240 Gr,"299,90"
Namet 7/24 Dana Jambon 50 Gr,"84,90"
Namet 7/24 Dana Macar Salam 50 Gr,"59,90"
Namet 7/24 Hindi Salam 60 Gr,"25,90"
Namet 7/24 Hindi Sosis 140 Gr,"64,90"
Namet Dana Kangal Sucuk 200 Gr,"199,90"
Namet Dana Kangal Sucuk 300 Gr,"359,90"
Namet Dana Kavurma 80 Gr,"219,90"
Namet Dilimli Hindi Jambon 130 Gr,"109,90"
Namet Gurme Dana Sucuk 240 Gr,"399,90"
Namet Hindi Uzun Sosis 420 Gr,"199,90"
Namet Nam Nam Pişmiş Dana Döner 200 Gr,"229,90"
Namet Sofram Kangal Sucuk 220 Gr,"119,90"
Namet Sofram Piliç Kokteyl Sosis 250 Gr,"89,90"
Pınar Aç Bitir Büyük Dilim Hindi Salam 60 Gr,"32,90"
Pınar Aç Bitir Dana Macar Salam 60 Gr,"81,50"
Pınar Aç Bitir Fıstıklı Hindi Salam 50 Gr,"40,75"
Pınar Aç Bitir Hindi Salam 75 Gr,"46,50"
Pınar Aç Bitir Kokteyl Sosis 180 Gr,"86,90"
Pınar Dana Sosis 430 Gr,"499,90"
Pınar Doyum Hindi Salam 500 Gr,"139,90"
Pınar Gurme Dana Sucuk 250 Gr,"399,90"
Pınar Gurme Hindi Füme 110Gr But Etli,"114,90"
Pınar Gurme Hindi Füme 110Gr Karabiberli,"95,00"
Pınar Gurme Hindi Füme 150Gr,"129,90"
Pınar Hindi Füme Cheddarlı Jumbo Sosis 265Gr,"159,00"
Pınar İllaki Kasap Sucuk 300 Gr,"499,90"
