product-name,kategori,product_price
Akdeniz Toros Piliç Kanat (Donuk Olarak Satılır) - 1 Kg.,Et ve Tavuk,529.9
Akdeniz Toros Piliç Kangal Sucuk 250 Gr,Et ve Tavuk,189.9
Akdeniz Toros Piliç Nuggut 500 Gr,Et ve Tavuk,279.9
Akdeniz Toros Tavuk Döner (Pişmiş) 250 Gr (Donuk Olarak Satılır),Et ve Tavuk,189.9
Akdeniz Toros Tavuk Izgara Şiş (Donuk Olarak Satılır) - 1 Kg.,Et ve Tavuk,649.9
Apikoğlu Dana Çemeni Sıyrılmış Pastırma 90 GR,Et ve Tavuk,519.0
Apikoğlu Dana Kangal Sucuk 280 Gr,Et ve Tavuk,749.9
Apikoğlu Dana Parmak Sucuk - 500 Gr.,Et ve Tavuk,1199.5
Apikoğlu Dana Yarım Kangal Sucuk 180 Gr,Et ve Tavuk,299.9
Apikoğlu Kurutulmuş Dana Füme Et 100 GR,Et ve Tavuk,569.0
Bolca Hindi Bonfile - 1 Kg.,Et ve Tavuk,439.9
Bolca Tabaklı Alt But Kemiksiz Hindi - 1 Kg.,Et ve Tavuk,439.9
Çapanoğlu Çemeni Sıyrılmış Pastırma 80 Gr,Et ve Tavuk,359.9
Çapanoğlu Dana Füme Et 60 Gr,Et ve Tavuk,199.9
Çapanoğlu Dana Kurutulmuş Füme Et 60 Gr,Et ve Tavuk,299.9
Activia Ananas&Yulaf&Hindistan Cevizli Probiyotikli Blow,"Süt, Kahvaltılık, Sark.",49.5
Activia Doğal Probiyotikli Ananaslı Yoğurt 4*100 Gr,"Süt, Kahvaltılık, Sark.",99.5
Activia Doğal Probiyotikli Çilekli Yoğurt 4*100 Gr,"Süt, Kahvaltılık, Sark.",99.5
Activia Doğal Probiyotikli İncir&Cevizli Yoğurt 4*100 Gr,"Süt, Kahvaltılık, Sark.",99.5
Activia Doğal Probiyotikli Kuru Kayısılı Yoğurt 4*100 Gr,"Süt, Kahvaltılık, Sark.",99.5
Activia Doğal Probiyotikli Orman Meyveli Yoğurt 4*100 Gr,"Süt, Kahvaltılık, Sark.",99.5
Activia Doğal Probiyotikli Sade Yoğurt 4*100 Gr,"Süt, Kahvaltılık, Sark.",99.5
Activia Laktozsuz Probiyotik Sade Yoğurt 4'lü 100 Gr,"Süt, Kahvaltılık, Sark.",99.5
Activia Probiyotikli Bowl Ahududu&Yulaf&Ceviz,"Süt, Kahvaltılık, Sark.",49.5
Activia Probiyotikli Bowl Muz&Yulaf&Fındık,"Süt, Kahvaltılık, Sark.",49.5
Activia Probiyotikli Bowl Yaban Mersini&Chia,"Süt, Kahvaltılık, Sark.",49.5
Activia Shot Sade 80 Ml,"Süt, Kahvaltılık, Sark.",32.5
Activia x2 Probiyotik Ahududu&Hibisküs Shot 80 Ml,"Süt, Kahvaltılık, Sark.",32.5
Akdeniz Toros Mantı 500 Gr,"Süt, Kahvaltılık, Sark.",179.9
Alan Kuru Sele Zeytin - 500 Gr.,"Süt, Kahvaltılık, Sark.",199.95
Alan Yağlı Sele Zeytin - 500 Gr.,"Süt, Kahvaltılık, Sark.",249.95
Alpella Çikolatalı Süt 200 Ml,"Süt, Kahvaltılık, Sark.",21.9
Alpro Şekersiz Badem Sütü 1 Lt,"Süt, Kahvaltılık, Sark.",149.95
Anavarza Çam Balı 325 Gr,"Süt, Kahvaltılık, Sark.",349.9
Anavarza Çam Balı 450 Gr,"Süt, Kahvaltılık, Sark.",399.9
Anavarza Çam Balı 850 Gr,"Süt, Kahvaltılık, Sark.",699.9
Anavarza Çiçek Balı 450 Gr,"Süt, Kahvaltılık, Sark.",337.5
Anavarza Çiçek Balı 850 Gr,"Süt, Kahvaltılık, Sark.",599.9
Anavarza Çiçek Balı Akıllı Kapak 325 Gr,"Süt, Kahvaltılık, Sark.",317.5
Anavarza Keven Kekik Balı 450 Gr,"Süt, Kahvaltılık, Sark.",499.9
Activia Ananas&Yulaf&Hindistan Cevizli Probiyotikli Blow,"Süt, Kahvaltılık, Sark.",49.5
Activia Doğal Probiyotikli Ananaslı Yoğurt 4*100 Gr,"Süt, Kahvaltılık, Sark.",99.5
Activia Doğal Probiyotikli Çilekli Yoğurt 4*100 Gr,"Süt, Kahvaltılık, Sark.",99.5
Activia Doğal Probiyotikli İncir&Cevizli Yoğurt 4*100 Gr,"Süt, Kahvaltılık, Sark.",99.5
Activia Doğal Probiyotikli Kuru Kayısılı Yoğurt 4*100 Gr,"Süt, Kahvaltılık, Sark.",99.5
Activia Doğal Probiyotikli Orman Meyveli Yoğurt 4*100 Gr,"Süt, Kahvaltılık, Sark.",99.5
Activia Doğal Probiyotikli Sade Yoğurt 4*100 Gr,"Süt, Kahvaltılık, Sark.",99.5
Activia Laktozsuz Probiyotik Sade Yoğurt 4'lü 100 Gr,"Süt, Kahvaltılık, Sark.",99.5
Activia Probiyotikli Bowl Ahududu&Yulaf&Ceviz,"Süt, Kahvaltılık, Sark.",49.5
Activia Probiyotikli Bowl Muz&Yulaf&Fındık,"Süt, Kahvaltılık, Sark.",49.5
