tarih,kategori,product_name,product_price,eski_fiyat,url
2026-02-24,Meyve ve Sebze,Verita Lime 3' lü Paket,"109,90",,https://www.gurmar.com.tr/verita-lime-3-lu-paket-37593-p
2026-02-24,Meyve ve Sebze,Zencefil - 500 Gr.,"129,95",,https://www.gurmar.com.tr/zencefil-500-gr-6394-p
2026-02-24,Et ve Tavuk,Akdeniz Toros Bütün Piliç (Donuk Olarak Satılır) ...,"479,80",,https://www.gurmar.com.tr/akdeniz-toros-butun-pilic-donuk-olarak-satilir-2-kg-5797-p
2026-02-24,Et ve Tavuk,Akdeniz Toros Dana kangal Sucuk (Acısız) 200 Gr,"349,90",,https://www.gurmar.com.tr/akdeniz-toros-dana-kangal-sucuk-acisiz-200-gr-34903-p
2026-02-24,Et ve Tavuk,Akdeniz Toros Dana Sosis 5'li 250 Gr,"329,90",,https://www.gurmar.com.tr/akdeniz-toros-dana-sosis-5li-250-gr-34904-p
2026-02-24,Et ve Tavuk,Akdeniz Toros Gezen Tavuk Bütün (Donuk Olarak Sat...,"599,80",,https://www.gurmar.com.tr/akdeniz-toros-gezen-tavuk-butun-donuk-olarak-satilir-2-kg-8183-p
2026-02-24,Et ve Tavuk,Akdeniz Toros Kıyma Döner (Pişmiş) 250 Gr (Donuk ...,"429,90",,https://www.gurmar.com.tr/akdeniz-toros-kiyma-doner-pismis-250-gr-donuk-olarak-satilir-26866-p
2026-02-24,Et ve Tavuk,Akdeniz Toros Piliç Baget (Donuk Olarak Satılır) ...,"279,90",,https://www.gurmar.com.tr/akdeniz-toros-pilic-baget-donuk-olarak-satilir-1-kg-2491-p
2026-02-24,Et ve Tavuk,Akdeniz Toros Piliç Bonfile (Donuk Olarak Satılır...,"439,90",,https://www.gurmar.com.tr/akdeniz-toros-pilic-bonfile-donuk-olarak-satilir-1-kg-6229-p
2026-02-24,Et ve Tavuk,Akdeniz Toros Piliç But (Donuk Olarak Satılır) - ...,"229,90",,https://www.gurmar.com.tr/akdeniz-toros-pilic-but-donuk-olarak-satilir-1-kg-850-p
2026-02-24,Et ve Tavuk,Akdeniz Toros Piliç Kanat (Donuk Olarak Satılır) ...,"479,90",,https://www.gurmar.com.tr/akdeniz-toros-pilic-kanat-donuk-olarak-satilir-1-kg-26846-p
2026-02-24,Et ve Tavuk,Akdeniz Toros Piliç Kangal Sucuk 250 Gr,"189,90",,https://www.gurmar.com.tr/akdeniz-toros-pilic-kangal-sucuk-250-gr-34905-p
2026-02-24,Et ve Tavuk,Akdeniz Toros Piliç Nuggut 500 Gr,"279,90",,https://www.gurmar.com.tr/akdeniz-toros-pilic-nuggut-500-gr-34900-p
2026-02-24,Et ve Tavuk,Akdeniz Toros Tavuk Döner (Pişmiş) 250 Gr (Donuk ...,"189,90",,https://www.gurmar.com.tr/akdeniz-toros-tavuk-doner-pismis-250-gr-donuk-olarak-satilir-26867-p
2026-02-24,Et ve Tavuk,Apikoğlu Dana Antrikot Pastırma 70 Gr,"259,90",,https://www.gurmar.com.tr/apikoglu-dana-antrikot-pastirma-70-gr-39470-p
