product_id,name,sku,marka_id,stok_durumu,birim,price,vat_rate,currency,url,scraped_at
11825,100 LÜK BANYO ASPİRATÖRÜ 12 WATT IŞILDAR,IŞILDAR.901000000009501,180,Var,2,"260,00",20,TRY,https://yapimaks.com/100-luk-banyo-aspiratoru-12-watt-isildar-p11825,2026-03-23 22:28:28
4928,100 TAPA PİS SU KALDE,KALDE.5213STE0M0000,141,Var,2,"26,00",20,TRY,https://yapimaks.com/100-tapa-pis-su-kalde-p4928,2026-03-23 22:28:30
4891,100 TEMİZLEME PİS SU KALDE,KALDE.5213CLP0M0000,141,Var,2,"145,00",20,TRY,https://yapimaks.com/100-temizleme-pis-su-kalde-p4891,2026-03-23 22:28:32
4919,125/100 ÇATAL PİS SU PVC KALDE,KALDE.5213SBR0N0M45,141,Var,2,"164,00",20,TRY,https://yapimaks.com/125-100-catal-pis-su-pvc-kalde-p4919,2026-03-23 22:28:34
4906,125/100 REDÜKSİYON PİS SU PVC KALDE,KALDE.5213RDC0N0M00,141,Var,2,"67,00",20,TRY,https://yapimaks.com/125-100-reduksiyon-pis-su-pvc-kalde-p4906,2026-03-23 22:28:36
4876,125/1000 PİS SU BORU KALDE,KALDE.5203TBE0N1000,141,Var,2,"182,00",20,TRY,https://yapimaks.com/125-1000-pis-su-boru-kalde-p4876,2026-03-23 22:28:38
4918,125/125 ÇATAL PİS SU PVC KALDE,KALDE.5213SBR0N0N45,141,Var,2,"200,00",20,TRY,https://yapimaks.com/125-125-catal-pis-su-pvc-kalde-p4918,2026-03-23 22:28:40
4910,125/125 TE PİS SU ÇATAL KALDE,KALDE.5213SBR0N0N87,141,Var,2,"179,00",20,TRY,https://yapimaks.com/125-125-te-pis-su-catal-kalde-p4910,2026-03-23 22:28:42
4877,125/2000 PİS SU BORU KALDE,KALDE.5203TBE0N2000,141,Var,2,"346,00",20,TRY,https://yapimaks.com/125-2000-pis-su-boru-kalde-p4877,2026-03-23 22:28:45
4885,125/250 PİS SU BORU KALDE,KALDE.5203TBEXN0250,141,Var,2,"91,00",20,TRY,https://yapimaks.com/125-250-pis-su-boru-kalde-p4885,2026-03-23 22:28:47
4878,125/3000 PİS SU BORU KALDE,KALDE.5203TBE0N3000,141,Var,2,"510,00",20,TRY,https://yapimaks.com/125-3000-pis-su-boru-kalde-p4878,2026-03-23 22:28:49
4901,125/45 PİS SU PVC DİRSEK KALDE,KALDE.5213ELB0N0045,141,Var,2,"70,00",20,TRY,https://yapimaks.com/125-45-pis-su-pvc-dirsek-kalde-p4901,2026-03-23 22:28:51
4875,125/500 PİS SU BORU PPRC KALDE,KALDE.5203TBE0N0500,141,Var,2,"102,00",20,TRY,https://yapimaks.com/125-500-pis-su-boru-pprc-kalde-p4875,2026-03-23 22:28:53
14223,125/90 PİS SU PVC DİRSEK KALDE,KALDE.5213ELB0N0087,141,Var,2,"87,00",20,TRY,https://yapimaks.com/125-90-pis-su-pvc-dirsek-kalde-p14223,2026-03-23 22:28:55
4923,125 KAYAR MANŞON PİS SU PVC KALDE,KALDE.5213SOC0N0000,141,Var,2,"95,00",20,TRY,https://yapimaks.com/125-kayar-manson-pis-su-pvc-kalde-p4923,2026-03-23 22:28:57
4889,125 KELEPÇE PİS SU PVC KALDE,KALDE.5213BCCON0000,141,Var,2,"37,00",20,TRY,https://yapimaks.com/125-kelepce-pis-su-pvc-kalde-p4889,2026-03-23 22:28:59
4925,125 TAPA PİS SU KALDE,KALDE.5213STE0N0000,141,Var,2,"44,00",20,TRY,https://yapimaks.com/125-tapa-pis-su-kalde-p4925,2026-03-23 22:29:01
3581,14/16 DNS 50X100 5 CM KARBONLU FAWORİ,FAWORİ.001,35,Var,12,"750,00",20,TRY,https://yapimaks.com/14-16-dns-50x100-5-cm-karbonlu-fawori-p3581,2026-03-23 22:29:03
3793,16 1/2 DIŞ DİŞLİ REKOR KALDE,KALDE.3411NMF160B00,128,Var,2,"65,00",20,TRY,https://yapimaks.com/16-1-2-dis-disli-rekor-kalde-p3793,2026-03-23 22:29:05
3792,16 1/2 İÇ DİŞLİ REKOR KALDE,KALDE.3411NFF160B01,141,Var,2,"67,00",20,TRY,https://yapimaks.com/16-1-2-ic-disli-rekor-kalde-p3792,2026-03-23 22:29:07
1707,16DNS DALMAÇYALI 5CM 50X100CM (10AD-5M2),CAPATECT.001,12,Var,12,"950,00",20,TRY,https://yapimaks.com/16dns-dalmacyali-5cm-50x100cm-10ad-5m2-p1707,2026-03-23 22:29:09
14851,16X16 SABİT REKOR PE-X KALDE,KALDE.3411NPF161600,141,Var,2,"175,00",20,TRY,https://yapimaks.com/16x16-sabit-rekor-pe-x-kalde-p14851,2026-03-23 22:29:11
12729,1X10A PAKET ŞALTER 0-1 AÇ KAPA METOP,METOP.015-10,459,Var,2,"198,90",20,TRY,https://yapimaks.com/1x10a-paket-salter-0-1-ac-kapa-metop-p12729,2026-03-23 22:29:13
4799,20 1/2 BATARYA BAĞLANTISI ÇİFTLİ KALDE,KALDE.3222BAT200B04,141,Var,2,"115,00",20,TRY,https://yapimaks.com/20-1-2-batarya-baglantisi-ciftli-kalde-p4799,2026-03-23 22:29:15
4798,20 1/2 BATARYA BAĞLANTISI TEKLİ DİŞİ KALDE,KALDE.3222BAT200B01,141,Var,2,"35,00",20,TRY,https://yapimaks.com/20-1-2-batarya-baglantisi-tekli-disi-kalde-p4798,2026-03-23 22:29:18
11231,20 1/2 DIŞ DİŞLİ DİRSEK PPRC KALDE,KALDE.3222EMO200C00,141,Var,2,"60,00",20,TRY,https://yapimaks.com/20-1-2-dis-disli-dirsek-pprc-kalde-p11231,2026-03-23 22:29:20
4820,20 1/2 DIŞ DİŞLİ REKOR PPRC KALDE,KALDE.3222NMO200B00,141,Var,2,"39,00",20,TRY,https://yapimaks.com/20-1-2-dis-disli-rekor-pprc-kalde-p4820,2026-03-23 22:29:22
4804,20 1/2 İÇ DİŞLİ DİRSEK PPRC KALDE,KALDE.3222EFO200B00,141,Var,2,"33,00",20,TRY,https://yapimaks.com/20-1-2-ic-disli-dirsek-pprc-kalde-p4804,2026-03-23 22:29:24
4814,20 1/2 İÇ DİŞLİ REKOR PPRC KALDE,KALDE.3222NFO200B00,141,Var,2,"31,00",20,TRY,https://yapimaks.com/20-1-2-ic-disli-rekor-pprc-kalde-p4814,2026-03-23 22:29:26
4825,20 1/2 İÇ DİŞLİ TE PPRC KALDE,KALDE.3222TFO200B20,141,Var,2,"33,00",20,TRY,https://yapimaks.com/20-1-2-ic-disli-te-pprc-kalde-p4825,2026-03-23 22:29:28
4844,20 1/2 REKOR OYNAR BAŞLI DIŞ DİŞLİ KALDE,KALDE.3272TUM200B00,141,Var,2,"89,00",20,TRY,https://yapimaks.com/20-1-2-rekor-oynar-basli-dis-disli-kalde-p4844,2026-03-23 22:29:30
4840,20 1/2 REKOR OYNAR BAŞLI İÇ DİŞLİ KALDE,KALDE.3272TUF200B00,141,Var,2,"79,00",20,TRY,https://yapimaks.com/20-1-2-rekor-oynar-basli-ic-disli-kalde-p4840,2026-03-23 22:29:32
4803,20 1/2 TAHARET BAĞLANTISI ÇİFTLİ KALDE,KALDE.3222BTT200B00,141,Var,2,"84,00",20,TRY,https://yapimaks.com/20-1-2-taharet-baglantisi-ciftli-kalde-p4803,2026-03-23 22:29:34
4829,20 1/2 TE  DIŞ DİŞLİ PPRC KALDE,KALDE.3222TMO200B20,141,Var,2,"43,00",20,TRY,https://yapimaks.com/20-1-2-te-dis-disli-pprc-kalde-p4829,2026-03-23 22:29:36
4760,20/25/20 İNEGAL TE PPRC KALDE,KALDE.3212TİO202520,141,Var,2,"15,00",20,TRY,https://yapimaks.com/20-25-20-inegal-te-pprc-kalde-p4760,2026-03-23 22:29:38
4808,20 3/4 DIŞ DİŞLİ DİRSEK PPRC KALDE,KALDE.3222EMO200B00,141,Var,2,"41,00",20,TRY,https://yapimaks.com/20-3-4-dis-disli-dirsek-pprc-kalde-p4808,2026-03-23 22:29:40
11230,20 3/4 İÇ DİŞ DİRSEK PPRC KALDE,KALDE.3222EFO200C00,141,Var,2,"41,00",20,TRY,https://yapimaks.com/20-3-4-ic-dis-dirsek-pprc-kalde-p11230,2026-03-23 22:29:42
4815,20 3/4 İÇ DİŞLİ REKOR KALDE,KALDE.3222NFO200C00,141,Var,2,"37,00",20,TRY,https://yapimaks.com/20-3-4-ic-disli-rekor-kalde-p4815,2026-03-23 22:29:44
