TTB İçerik Listesi,,
Katalog Adı,(*) Birim,Katalog Kodu
"Video-EEG, sfenoid elektrotlar ile, 24 saat - ELEKTROENSEFALOGRAFİK İNCELEMELER","350,00",NÖROLOJİ
"Poligrafik uyku tetkiki + Solunam kayıtları + CPAP titrasyonu, tüm gece laboratuarda - LABORATUVARDA YAPILAN UYKU ARAŞTIRMALARI","350,00",NÖROLOJİ
"Poligrafik uyku tetkiki + Solunum kayıtları + Bacak EMG kaydı, tüm gece laboratuarda (EEG (en az 2) EKG, EOG, EMG, flow, toraks, abdomen, oksimetre, bacak EMG’de sağ-sol tibial)  - LABORATUVARDA YAPILAN UYKU ARAŞTIRMALARI","350,00",NÖROLOJİ
"EEG (en az 2) , EKG, EOG, EMG, flow, toraks, abdomen, oksimetre, NPT, tüm gece laboratuarda - LABORATUVARDA YAPILAN UYKU ARAŞTIRMALARI","350,00",NÖROLOJİ
"Poligrafik uyku tetkiki + Solunum kayıtları + Aktivasyon amaçlı EEG, tüm gece laboratuarda - LABORATUVARDA YAPILAN UYKU ARAŞTIRMALARI","350,00",NÖROLOJİ
"Poligrafik uyku tetkiki + Bacak EMG kaydı + NPT, tüm gece laboratuarda (EEG (en az 2) , EKG, EOG, EMG, bacak EMG’de sağ, sol tibial, NPT)  - LABORATUVARDA YAPILAN UYKU ARAŞTIRMALARI","350,00",NÖROLOJİ
"Poligrafik uyku tetkiki + Bacak EMG kaydı + Aktivasyon amaçlı EEG, tüm gece laboratuarda - LABORATUVARDA YAPILAN UYKU ARAŞTIRMALARI","350,00",NÖROLOJİ
"Poligrafik uyku tetkiki + Aktivasyon amaçlı EEG + NPT, tüm gece laboratuarda - LABORATUVARDA YAPILAN UYKU ARAŞTIRMALARI","350,00",NÖROLOJİ
"İlk gece uyku apnesi tanısı alanların CPAP/BPAP titrasyonu yönüyle izlemi, uyku laboratuarında - LABORATUVARDA YAPILAN UYKU ARAŞTIRMALARI","350,00",NÖROLOJİ
"EEG monitorizasyonu, 24 saat - ELEKTROENSEFALOGRAFİK İNCELEMELER","300,00",NÖROLOJİ
Video-EEG monitorizasyon grid veya derinlik veya kombine elektrodlarla - ELEKTROENSEFALOGRAFİK İNCELEMELER,"300,00",NÖROLOJİ
"Video-EEG, skalp elektrotları ile, 24 saat - ELEKTROENSEFALOGRAFİK İNCELEMELER","300,00",NÖROLOJİ
Video-EEG + kortikal stimülasyon ve beyin haritalaması - ELEKTROENSEFALOGRAFİK İNCELEMELER,"300,00",NÖROLOJİ
İntravenöz trombolitik tedavi uygulama ve takip protokolü - NÖROLOJİK YOĞUN BAKIM VE İNME ÜNİTESİ UYGULAMALARI,"300,00",NÖROLOJİ
8 kanaldan fazla poligrafik uyku tetkiki - EVDE YAPILAN UYKU ARAŞTIRMALARI,"280,00",NÖROLOJİ
"Poligrafik uyku tetkiki + Solunum kayıtları, tüm gece laboratuarda (EEG (en az 2) , EKG, EOG, EMG, glow, toraks, abdomen, oksimetre)  - LABORATUVARDA YAPILAN UYKU ARAŞTIRMALARI","275,00",NÖROLOJİ
"Poligrafik uyku tetkiki + Bacak EMG kaydı,  tüm gece laboratuarda (EEG (en az 2) , EKG, EOG, EMG, bacak EG’de sağ-sol tibial)  - LABORATUVARDA YAPILAN UYKU ARAŞTIRMALARI","275,00",NÖROLOJİ
"Poligrafik uyku tetkiki + Noktürnal penil tümesans, tüm gece laboratuarda - LABORATUVARDA YAPILAN UYKU ARAŞTIRMALARI","275,00",NÖROLOJİ
"Poligrafik uyku tetkiki + Aktivasyon amaçlı EEG, tüm gece laboratuarda - LABORATUVARDA YAPILAN UYKU ARAŞTIRMALARI","275,00",NÖROLOJİ
"EEG, Göz (2) , EMG, EKG, gün içinde 4-5 kez - LABORATUVARDA YAPILAN UYKU ARAŞTIRMALARI","275,00",NÖROLOJİ
Ameliyatta EEG monitorizasyonu (elektrokortikografi)  - ELEKTROENSEFALOGRAFİK İNCELEMELER,"250,00",NÖROLOJİ
"Tüm gece laboratuarda poligrafik uyku tetkiki (EEG, EOG, EMG, EKG)  - LABORATUVARDA YAPILAN UYKU ARAŞTIRMALARI","250,00",NÖROLOJİ
Trakeostomi (acil)  - NÖROLOJİK YOĞUN BAKIM VE İNME ÜNİTESİ UYGULAMALARI,"250,00",NÖROLOJİ
"Lomber yolla tüm spinal kanal myelografi (ilaç hariç)  - DİĞER İNCELEME, GİRİŞİM VE TEDAVİLER","250,00",NÖROLOJİ
Tek lif EMG’si - EMG LABORATUVARINDA YAPILAN İNCELEMELER,"200,00",NÖROLOJİ
Komalı hastada transkranial Doppler testi (yoğun bakım şartlarında hasta başında yapılır)  - NÖROLOJİK YOĞUN BAKIM VE İNME ÜNİTESİ UYGULAMALARI,"200,00",NÖROLOJİ
Trakeostomi (planlı)  - NÖROLOJİK YOĞUN BAKIM VE İNME ÜNİTESİ UYGULAMALARI,"200,00",NÖROLOJİ
Multimodal monitorizasyon - NÖROLOJİK YOĞUN BAKIM VE İNME ÜNİTESİ UYGULAMALARI,"200,00",NÖROLOJİ
İntrakranial basınç monitorizasyonu - NÖROLOJİK YOĞUN BAKIM VE İNME ÜNİTESİ UYGULAMALARI,"200,00",NÖROLOJİ
"Kas-sinir biyopsisi - DİĞER İNCELEME, GİRİŞİM VE TEDAVİLER","200,00",NÖROLOJİ
"Sinir lifi ayrımı (nerve teasing)  - DİĞER İNCELEME, GİRİŞİM VE TEDAVİLER","200,00",NÖROLOJİ
"Lomber yolla servikal myelografi (ilaç hariç)  - DİĞER İNCELEME, GİRİŞİM VE TEDAVİLER","200,00",NÖROLOJİ
5-8 kanal arası poligrafik uyku tetkiki - EVDE YAPILAN UYKU ARAŞTIRMALARI,"160,00",NÖROLOJİ
Sinir yakını metodu ile çalışma - EMG LABORATUVARINDA YAPILAN İNCELEMELER,"150,00",NÖROLOJİ
Kontrastlı (ultrasonografik kontrast madde injeksiyonlu) Transkranyal veya transfontanel renkli Doppler inceleme - KAROTİS VE/VEYA VERTEBRAL ARTER RENKLİ DOPPLER US,"150,00",NÖROLOJİ
Kardiyopulmoner ressüsitasyon + defibrilasyon ile - NÖROLOJİK YOĞUN BAKIM VE İNME ÜNİTESİ UYGULAMALARI,"150,00",NÖROLOJİ
"Botulinum toksini injeksiyonu (EMG rehberliğinde)  - DİĞER İNCELEME, GİRİŞİM VE TEDAVİLER","150,00",NÖROLOJİ
"Sinir biyopsisi - DİĞER İNCELEME, GİRİŞİM VE TEDAVİLER","150,00",NÖROLOJİ
Komalı hastada SEP (yoğun bakımda hasta başında uygulanır)  - NÖROLOJİK YOĞUN BAKIM VE İNME ÜNİTESİ UYGULAMALARI,"120,00",NÖROLOJİ
Komalı hastada BAEP (yoğun bakımda hasta başında uygulanır)  - NÖROLOJİK YOĞUN BAKIM VE İNME ÜNİTESİ UYGULAMALARI,"120,00",NÖROLOJİ
2-4 kanal arası poligrafik uyku tetkiki - EVDE YAPILAN UYKU ARAŞTIRMALARI,"110,00",NÖROLOJİ
İşitsel beyinsapı UP (BAEP)  - EMG LABORATUVARINDA YAPILAN İNCELEMELER,"100,00",NÖROLOJİ
"EMG, genel - EMG LABORATUVARINDA YAPILAN İNCELEMELER","100,00",NÖROLOJİ
Anal sfinkter incelemesi - EMG LABORATUVARINDA YAPILAN İNCELEMELER,"100,00",NÖROLOJİ
Diyafram EMG - EMG LABORATUVARINDA YAPILAN İNCELEMELER,"100,00",NÖROLOJİ
Laringeal EMG - EMG LABORATUVARINDA YAPILAN İNCELEMELER,"100,00",NÖROLOJİ
Bulbokavernöz refleks - EMG LABORATUVARINDA YAPILAN İNCELEMELER,"100,00",NÖROLOJİ
Hareket bozukluğu incelemesi - EMG LABORATUVARINDA YAPILAN İNCELEMELER,"100,00",NÖROLOJİ
Repetetif sinir uyarımı - EMG LABORATUVARINDA YAPILAN İNCELEMELER,"100,00",NÖROLOJİ
R-R interval varyasyonu analizi - EMG LABORATUVARINDA YAPILAN İNCELEMELER,"100,00",NÖROLOJİ
Kalp hızı değişkenliği analizi - EMG LABORATUVARINDA YAPILAN İNCELEMELER,"100,00",NÖROLOJİ
"EEG monitorizasyonu, 3 saat - ELEKTROENSEFALOGRAFİK İNCELEMELER","100,00",NÖROLOJİ
Wada testi sırasında EEG kaydı - ELEKTROENSEFALOGRAFİK İNCELEMELER,"100,00",NÖROLOJİ
Brain Mapping (beyin haritalanması)  - ELEKTROENSEFALOGRAFİK İNCELEMELER,"100,00",NÖROLOJİ
Auto CPAP ile titrasyon - EVDE YAPILAN UYKU ARAŞTIRMALARI,"100,00",NÖROLOJİ
Trranskranial USG ile emboli monitarizasyonu - KAROTİS VE/VEYA VERTEBRAL ARTER RENKLİ DOPPLER US,"100,00",NÖROLOJİ
Transkranial USG ile Bubbles test (ilaç hariç)  - KAROTİS VE/VEYA VERTEBRAL ARTER RENKLİ DOPPLER US,"100,00",NÖROLOJİ
Transkranial USG ile Vazomotor reaktivite testi (ilaç hariç)  - KAROTİS VE/VEYA VERTEBRAL ARTER RENKLİ DOPPLER US,"100,00",NÖROLOJİ
Transkranial USG ile Ortostatik test - KAROTİS VE/VEYA VERTEBRAL ARTER RENKLİ DOPPLER US,"100,00",NÖROLOJİ
İntima media kalınlığı (IMT) ölçüm protokolü - KAROTİS VE/VEYA VERTEBRAL ARTER RENKLİ DOPPLER US,"100,00",NÖROLOJİ
"Plazma filtrasyon veya Exchange (kullanılacak filtre, plazma veya albumin hariç)  - NÖROLOJİK YOĞUN BAKIM VE İNME ÜNİTESİ UYGULAMALARI","100,00",NÖROLOJİ
Kardiyopulmoner ressüsitasyon - NÖROLOJİK YOĞUN BAKIM VE İNME ÜNİTESİ UYGULAMALARI,"100,00",NÖROLOJİ
"Botulinum toksini injeksiyonu - DİĞER İNCELEME, GİRİŞİM VE TEDAVİLER","100,00",NÖROLOJİ
"Lomber yolla lomber myelografi (ilaç hariç)  - DİĞER İNCELEME, GİRİŞİM VE TEDAVİLER","100,00",NÖROLOJİ
Motor uyarılmış potansiyeller (MEP)  - EMG LABORATUVARINDA YAPILAN İNCELEMELER,"90,00",NÖROLOJİ
Somatosensoryel UP (SEP)  - EMG LABORATUVARINDA YAPILAN İNCELEMELER,"90,00",NÖROLOJİ
Tremor kaydı ve spektral frekans analizi - EMG LABORATUVARINDA YAPILAN İNCELEMELER,"85,00",NÖROLOJİ
Vizüel UP (VEP)  - EMG LABORATUVARINDA YAPILAN İNCELEMELER,"80,00",NÖROLOJİ
"Kas biyopsisi - DİĞER İNCELEME, GİRİŞİM VE TEDAVİLER","80,00",NÖROLOJİ
"Yara pansumanı ve debridmanı, büyük - NÖROLOJİK YOĞUN BAKIM VE İNME ÜNİTESİ UYGULAMALARI","75,00",NÖROLOJİ
Egzersiz testi - EMG LABORATUVARINDA YAPILAN İNCELEMELER,"70,00",NÖROLOJİ
Aktivasyonlu EEG farmakolojik aktivasyonlar - ELEKTROENSEFALOGRAFİK İNCELEMELER,"70,00",NÖROLOJİ
"EEG monitorizasyonu, 1 saat - ELEKTROENSEFALOGRAFİK İNCELEMELER","65,00",NÖROLOJİ
Uyku aktivasyonu (1 saatlik kayıt)  - ELEKTROENSEFALOGRAFİK İNCELEMELER,"65,00",NÖROLOJİ
P300 - EMG LABORATUVARINDA YAPILAN İNCELEMELER,"60,00",NÖROLOJİ
Elektronistagmografi kayıtları (ENG)  - EMG LABORATUVARINDA YAPILAN İNCELEMELER,"60,00",NÖROLOJİ
"EMG, mononöropati - EMG LABORATUVARINDA YAPILAN İNCELEMELER","50,00",NÖROLOJİ
Göz kırpma refleksi - EMG LABORATUVARINDA YAPILAN İNCELEMELER,"50,00",NÖROLOJİ
Sempatik deri cevapları - EMG LABORATUVARINDA YAPILAN İNCELEMELER,"50,00",NÖROLOJİ
Transkranial veya transfontanel renkli Doppler - KAROTİS VE/VEYA VERTEBRAL ARTER RENKLİ DOPPLER US,"50,00",NÖROLOJİ
İnme ünitesinde hasta takibi uygulaması - NÖROLOJİK YOĞUN BAKIM VE İNME ÜNİTESİ UYGULAMALARI,"50,00",NÖROLOJİ
Komalı hastada kalorik test (yoğun bakım şartlarında hasta başında yapılır)  - NÖROLOJİK YOĞUN BAKIM VE İNME ÜNİTESİ UYGULAMALARI,"50,00",NÖROLOJİ
"Santral ven kateterizasyonu, juguler veya subklavyen ven - NÖROLOJİK YOĞUN BAKIM VE İNME ÜNİTESİ UYGULAMALARI","50,00",NÖROLOJİ
Lomber ponksiyon (manometre hariç)  - NÖROLOJİK YOĞUN BAKIM VE İNME ÜNİTESİ UYGULAMALARI,"50,00",NÖROLOJİ
Apne testi - NÖROLOJİK YOĞUN BAKIM VE İNME ÜNİTESİ UYGULAMALARI,"50,00",NÖROLOJİ
"Psikometrik, demans evreleme ve günlük yaşam aktiviteleri ölçekleri - DİĞER İNCELEME, GİRİŞİM VE TEDAVİLER","50,00",NÖROLOJİ
"Nöropsikolojik test bataryası - DİĞER İNCELEME, GİRİŞİM VE TEDAVİLER","50,00",NÖROLOJİ
"Kanalitiazis, Kupulolitiazis repozisyon tedavi protokolü - DİĞER İNCELEME, GİRİŞİM VE TEDAVİLER","50,00",NÖROLOJİ
Rutin EEG (çocuk-büyük)  - ELEKTROENSEFALOGRAFİK İNCELEMELER,"40,00",NÖROLOJİ
Total parenteral nütrisyon (TNP) takibi/günlük - NÖROLOJİK YOĞUN BAKIM VE İNME ÜNİTESİ UYGULAMALARI,"40,00",NÖROLOJİ
Ventilatör uygulama ve takip - NÖROLOJİK YOĞUN BAKIM VE İNME ÜNİTESİ UYGULAMALARI,"40,00",NÖROLOJİ
"Prostigmin/Tensilon testi (ilaç hariç)  - DİĞER İNCELEME, GİRİŞİM VE TEDAVİLER","35,00",NÖROLOJİ
Arter kateterizasyonu (basınç ölçümü)  - NÖROLOJİK YOĞUN BAKIM VE İNME ÜNİTESİ UYGULAMALARI,"30,00",NÖROLOJİ
Mide yıkama - NÖROLOJİK YOĞUN BAKIM VE İNME ÜNİTESİ UYGULAMALARI,"30,00",NÖROLOJİ
Nazal entübasyon - NÖROLOJİK YOĞUN BAKIM VE İNME ÜNİTESİ UYGULAMALARI,"30,00",NÖROLOJİ
"Yara pansumanı ve debridmanı, küçük - NÖROLOJİK YOĞUN BAKIM VE İNME ÜNİTESİ UYGULAMALARI","30,00",NÖROLOJİ
Nazal CPAP uygulaması - NÖROLOJİK YOĞUN BAKIM VE İNME ÜNİTESİ UYGULAMALARI,"30,00",NÖROLOJİ
"Kantitatif motor test (myometri)  - DİĞER İNCELEME, GİRİŞİM VE TEDAVİLER","30,00",NÖROLOJİ
"Kişilik testleri (her biri)  - DİĞER İNCELEME, GİRİŞİM VE TEDAVİLER","30,00",NÖROLOJİ
Endotrakeal entübasyon - NÖROLOJİK YOĞUN BAKIM VE İNME ÜNİTESİ UYGULAMALARI,"25,00",NÖROLOJİ
Lavman - NÖROLOJİK YOĞUN BAKIM VE İNME ÜNİTESİ UYGULAMALARI,"25,00",NÖROLOJİ
Nazogastrik sonda uygulaması - NÖROLOJİK YOĞUN BAKIM VE İNME ÜNİTESİ UYGULAMALARI,"20,00",NÖROLOJİ
Endotrakeal tüp yada trakeotomi kanül değişimi - NÖROLOJİK YOĞUN BAKIM VE İNME ÜNİTESİ UYGULAMALARI,"20,00",NÖROLOJİ
"Yara pansumanı, büyük - NÖROLOJİK YOĞUN BAKIM VE İNME ÜNİTESİ UYGULAMALARI","20,00",NÖROLOJİ
"Derin trakeal aspirasyon, postural drenaj - NÖROLOJİK YOĞUN BAKIM VE İNME ÜNİTESİ UYGULAMALARI","20,00",NÖROLOJİ
PA AC grafisi - NÖROLOJİK YOĞUN BAKIM VE İNME ÜNİTESİ UYGULAMALARI,"20,00",NÖROLOJİ
Vital fonksiyonların monitörle takibi/günlük - NÖROLOJİK YOĞUN BAKIM VE İNME ÜNİTESİ UYGULAMALARI,"20,00",NÖROLOJİ
"Kantitatif duysal (dokunma, sıcak-ağrı duyusu) ve otonomik testler (her test için)  - DİĞER İNCELEME, GİRİŞİM VE TEDAVİLER","20,00",NÖROLOJİ
"Psikiyatrik tanı koydurucu ölçekler (her biri)  - DİĞER İNCELEME, GİRİŞİM VE TEDAVİLER","20,00",NÖROLOJİ
"El beceri testleri - DİĞER İNCELEME, GİRİŞİM VE TEDAVİLER","20,00",NÖROLOJİ
"Günlük yaşam aktiviteleri testi - DİĞER İNCELEME, GİRİŞİM VE TEDAVİLER","20,00",NÖROLOJİ
"Denge/Koordinasyon testleri  - DİĞER İNCELEME, GİRİŞİM VE TEDAVİLER","20,00",NÖROLOJİ
"Postur analizi - DİĞER İNCELEME, GİRİŞİM VE TEDAVİLER","20,00",NÖROLOJİ
"Yürüme analizi - DİĞER İNCELEME, GİRİŞİM VE TEDAVİLER","20,00",NÖROLOJİ
"Adale testi - DİĞER İNCELEME, GİRİŞİM VE TEDAVİLER","20,00",NÖROLOJİ
"Duyu-Algı-Motor değerlendirmesi - DİĞER İNCELEME, GİRİŞİM VE TEDAVİLER","20,00",NÖROLOJİ
Arter ponksiyonu - NÖROLOJİK YOĞUN BAKIM VE İNME ÜNİTESİ UYGULAMALARI,"15,00",NÖROLOJİ
Kan gazları kontrolü ve takibi - NÖROLOJİK YOĞUN BAKIM VE İNME ÜNİTESİ UYGULAMALARI,"15,00",NÖROLOJİ
Lokal/infiltrasyon anestezisi - NÖROLOJİK YOĞUN BAKIM VE İNME ÜNİTESİ UYGULAMALARI,"15,00",NÖROLOJİ
Mesane sonda uygulaması - NÖROLOJİK YOĞUN BAKIM VE İNME ÜNİTESİ UYGULAMALARI,"15,00",NÖROLOJİ
Pulse oksimetri ile saturasyon takibi/günlük - NÖROLOJİK YOĞUN BAKIM VE İNME ÜNİTESİ UYGULAMALARI,"15,00",NÖROLOJİ
"Yara pansumanı, küçük - NÖROLOJİK YOĞUN BAKIM VE İNME ÜNİTESİ UYGULAMALARI","10,00",NÖROLOJİ
Santral venöz basınç ölçümü - NÖROLOJİK YOĞUN BAKIM VE İNME ÜNİTESİ UYGULAMALARI,"10,00",NÖROLOJİ
"EKG, 12 derivasyonlu - NÖROLOJİK YOĞUN BAKIM VE İNME ÜNİTESİ UYGULAMALARI","8,00",NÖROLOJİ
Sütür alınması - NÖROLOJİK YOĞUN BAKIM VE İNME ÜNİTESİ UYGULAMALARI,"3,00",NÖROLOJİ
Total sakrektomi (anterior ve posterior yaklaşımla) ve sakropelvik fiksasyon - SAKRAL BÖLGE,"4.000,00",NÖROŞİRÜRJİ
"Anevrizma ameliyatları, multipl anevrizma (ayrı kesiler)  - KRANYAL KİTLE VE VASKÜLER AMELİYATLAR","3.000,00",NÖROŞİRÜRJİ
Total sakrektomi (anterior ve posterior yaklaşımla)  - SAKRAL BÖLGE,"3.000,00",NÖROŞİRÜRJİ
Skolyozda torakal üst bölgeden (T6 üstü) sakroiliak bölgeye uzanan korreksiyon ve stabilizasyon ve greft yerleştirilmesi - TORAKOLOMBER DEFORMİTE,"3.000,00",NÖROŞİRÜRJİ
Posterior yaklaşımla hemivertebrektomi ve stabilizasyon ve greft yerleştirilmesi - TORAKOLOMBER DEFORMİTE,"3.000,00",NÖROŞİRÜRJİ
"Anevrizma ameliyatları, multipl anevrizma (aynı kesi)  - KRANYAL KİTLE VE VASKÜLER AMELİYATLAR","2.500,00",NÖROŞİRÜRJİ
Arteriovenöz malformasyon (AVM)  ameliyatları  - KRANYAL KİTLE VE VASKÜLER AMELİYATLAR,"2.500,00",NÖROŞİRÜRJİ
"Karotiko-kavernöz fistül veya anevrizması, servikal ve kranyal yaklaşım - KRANYAL KİTLE VE VASKÜLER AMELİYATLAR","2.500,00",NÖROŞİRÜRJİ
Hemisferektomi - EPİLEPSİ AMELİYATLARI,"2.500,00",NÖROŞİRÜRJİ
Skolyozda anterior yaklaşımla diskektomi ve greft yerleştirilmesi ve korreksiyon ve stabilizasyon (8 vertebraya kadar)  - TORAKOLOMBER DEFORMİTE,"2.500,00",NÖROŞİRÜRJİ
"Konjenital omurga anomalilerinin korreksiyonu için aynı seansta anterior, posterior kombine korreksiyon ve stabilizasyon ve greft yerleştirilmesi - TORAKOLOMBER DEFORMİTE","2.500,00",NÖROŞİRÜRJİ
Torakal posterior yaklaşımla en blok vertebra rezeksiyonu ve enstrümantasyon ve greft yerleştirilmesi - TORAKOLOMBER DEFORMİTE,"2.500,00",NÖROŞİRÜRJİ
Torakal posterior yaklaşımla kifektomi ve korreksiyon ve enstrümantasyon ve greft yerleştirilmesi - TORAKOLOMBER DEFORMİTE,"2.500,00",NÖROŞİRÜRJİ
Stereotaktif derin beyin stimulatörü implantasyonu-mikroelektrod kayıt eşliğinde - STEREOTAKSİK VE FONKSİYONEL NÖROŞİRÜRJİKAL AMELİYATLAR,"2.500,00",NÖROŞİRÜRJİ
Torakotomi ve torakolomber yaklaşımla tek seviye korpektomi ve damar pediküllü kot grefti yerleştirilmesi ve anterior stabilizasyon - TORAKAL BÖLGE,"2.300,00",NÖROŞİRÜRJİ
"Kaide tümörleri (frontal fossa, temporal fossa, sfenoid kemik, klivus vb.)  - KRANYAL KİTLE VE VASKÜLER AMELİYATLAR","2.000,00",NÖROŞİRÜRJİ
3. ventrikül içi tümörleri - KRANYAL KİTLE VE VASKÜLER AMELİYATLAR,"2.000,00",NÖROŞİRÜRJİ
Pineal tümörler - KRANYAL KİTLE VE VASKÜLER AMELİYATLAR,"2.000,00",NÖROŞİRÜRJİ
"Anevrizma ameliyatları, tek anevrizma (klip ücreti hariç)  - KRANYAL KİTLE VE VASKÜLER AMELİYATLAR","2.000,00",NÖROŞİRÜRJİ
Serebral by-pass ameliyatları - KRANYAL KİTLE VE VASKÜLER AMELİYATLAR,"2.000,00",NÖROŞİRÜRJİ
Selektif amigdalohipokampektomi - EPİLEPSİ AMELİYATLARI,"2.000,00",NÖROŞİRÜRJİ
Servikal medüller AVM cerrahisi - SERVİKAL BÖLGE,"2.000,00",NÖROŞİRÜRJİ
Servikal ekstradural tümör cerrahisi-vertebral arter eksplorasyonu da gerektiren radikal rezeksiyon ve fiksasyon/greft veya kafes yerleştirilmesi - SERVİKAL BÖLGE,"2.000,00",NÖROŞİRÜRJİ
Torakal meduller AVM cerrahisi - TORAKAL BÖLGE,"2.000,00",NÖROŞİRÜRJİ
Torakal posterior enstrümantasyon ve greft yerleştirilmesi-8 seviye ve fazlası - TORAKAL BÖLGE,"2.000,00",NÖROŞİRÜRJİ
Kostatransversektomi ile omurilik dekompresyonu ve enstrümantasyon ve greft yerleştirilmesi - TORAKAL BÖLGE,"2.000,00",NÖROŞİRÜRJİ
Torakotomi ve torakolomber yaklaşımla tek seviye korpektomi ve greft veya kafes yerleştirilmesi ve anterior stabilizasyon - TORAKAL BÖLGE,"2.000,00",NÖROŞİRÜRJİ
Endoskopik torakal korpektomi ve greft veya kafes yerleştirilmesi ve stabilizasyon - TORAKAL BÖLGE,"2.000,00",NÖROŞİRÜRJİ
Grade 3 ve üstü lomber spondilolisteziste dekompresyon ve redüksiyon ve stabilizasyon ve greft yerleştirilmesi - LOMBER BÖLGE,"2.000,00",NÖROŞİRÜRJİ
Parsiyel sakrektomi (posterior yaklaşımla)  - SAKRAL BÖLGE,"2.000,00",NÖROŞİRÜRJİ
Total sakrektomi yapılmış hastada sakropelvik fiksasyon - SAKRAL BÖLGE,"2.000,00",NÖROŞİRÜRJİ
Skolyozda posterior yaklaşımla korreksiyonu ve stabilizasyon ve greft yerleştirilmesi (10 vertebraya kadar)  - TORAKOLOMBER DEFORMİTE,"2.000,00",NÖROŞİRÜRJİ
Konjenital omurga ve kot anomalilerinde korreksiyon amaçlı VEPTR uygulaması - TORAKOLOMBER DEFORMİTE,"2.000,00",NÖROŞİRÜRJİ
Torakal posterior yaklaşımla osteotomi ve enstrümantasyon ve greft yerleştirilmesi (vertebra korpusu içeren)  - TORAKOLOMBER DEFORMİTE,"2.000,00",NÖROŞİRÜRJİ
Torakal posterior yaklaşımla posterior elemanları içeren osteotomi ve enstrümantasyon ve greft yerleştirilmesi - TORAKOLOMBER DEFORMİTE,"2.000,00",NÖROŞİRÜRJİ
Stereotaktik derin beyin stimulatörü implantasyonu (iki taraflı)  - STEREOTAKSİK VE FONKSİYONEL NÖROŞİRÜRJİKAL AMELİYATLAR,"2.000,00",NÖROŞİRÜRJİ
Torakotomi ve torakolomber yaklaşımla tek seviye korpektomi ve damar pediküllü kot grefti yerleştirilmesi - TORAKAL BÖLGE,"1.800,00",NÖROŞİRÜRJİ
Selektif dorsal rizotomi-elektrofizyolojik monitörleme ile (laminektomi hariç)  - STEREOTAKSİK VE FONKSİYONEL NÖROŞİRÜRJİKAL AMELİYATLAR,"1.800,00",NÖROŞİRÜRJİ
"Temporal lobektomi (total, mesial, lateral)  - EPİLEPSİ AMELİYATLARI","1.750,00",NÖROŞİRÜRJİ
Hemidekortikasyon - EPİLEPSİ AMELİYATLARI,"1.750,00",NÖROŞİRÜRJİ
Fasial paralizide mikronörovasküler teknik ile kas transferi - KRANİAL SİNİR CERRAHİSİ,"1.750,00",NÖROŞİRÜRJİ
Stereotaktik kranyotomi - STEREOTAKSİK VE FONKSİYONEL NÖROŞİRÜRJİKAL AMELİYATLAR,"1.750,00",NÖROŞİRÜRJİ
Stereotaktik derin beyin stimulatörü implantasyonu (tek taraflı)  - STEREOTAKSİK VE FONKSİYONEL NÖROŞİRÜRJİKAL AMELİYATLAR,"1.750,00",NÖROŞİRÜRJİ
Pontoserebellar köşe tümörleri - KRANYAL KİTLE VE VASKÜLER AMELİYATLAR,"1.700,00",NÖROŞİRÜRJİ
Lateral ventrikül içi tümörler - KRANYAL KİTLE VE VASKÜLER AMELİYATLAR,"1.700,00",NÖROŞİRÜRJİ
"Transoral odontoid eksizyonu, anterior enstrüman ve greft/implant yerleştirilmesi - SERVİKAL BÖLGE","1.700,00",NÖROŞİRÜRJİ
"Kalvarial şekillendirme, total - CERRAHİ YAKLAŞIMLAR: KRANİAL AMELİYATLAR","1.500,00",NÖROŞİRÜRJİ
"İntraorbital tümörler, kraniotomi ile - KRANYAL KİTLE VE VASKÜLER AMELİYATLAR","1.500,00",NÖROŞİRÜRJİ
Transoral odontoid eksizyonu - SERVİKAL BÖLGE,"1.500,00",NÖROŞİRÜRJİ
"Oksipitoservikal (Oksiput-C3) posterior dekompresyon, stabilizasyon ve greft yerleştirilmesi - SERVİKAL BÖLGE","1.500,00",NÖROŞİRÜRJİ
C1-C2 transartiküler fiksasyon ve greft yerleştirilmesi - SERVİKAL BÖLGE,"1.500,00",NÖROŞİRÜRJİ
Anterior servikal diskektomi ve greft/kafes yerleştirilmesi ve plak/vida ile stabilizasyon (tek seviye)  - SERVİKAL BÖLGE,"1.500,00",NÖROŞİRÜRJİ
Anterior servikal korpektomi ve greft/kafes yerleştirilmesi ve plak/vida ile stabilizasyon (tek seviye)  - SERVİKAL BÖLGE,"1.500,00",NÖROŞİRÜRJİ
Torakal posterior enstrümantasyon ve greft yerleştirilmesi-7 seviyeye kadar - TORAKAL BÖLGE,"1.500,00",NÖROŞİRÜRJİ
Kostatransversektomi ile omurilik dekompresyonu - TORAKAL BÖLGE,"1.500,00",NÖROŞİRÜRJİ
Torakotomi ile torakal diskektomi ve greft veya kafes yerleştirilmesi - TORAKAL BÖLGE,"1.500,00",NÖROŞİRÜRJİ
Torakotomi ve torakolomber yaklaşımla tek seviye korpektomi ve greft veya kafes yerleştirilmesi - TORAKAL BÖLGE,"1.500,00",NÖROŞİRÜRJİ
Lomber spinal AVM cerrahisi - LOMBER BÖLGE,"1.500,00",NÖROŞİRÜRJİ
Lomber posterior diskektomi ve interbody füzyon (PLİF/TLİF) ve posterior enstrümantasyon - LOMBER BÖLGE,"1.500,00",NÖROŞİRÜRJİ
