District,Rooms,Price,ilanId,ListingURL,Province,Neighborhood,PropertyType,AreaM2,Currency,ListingDate,CollectedAt
Merkez,4+1,26.000 TL,19613784,https://www.emlakjet.com/ilan/arstu-gm-haliseden-altinsehirde-kiralik-41-19613784,Adıyaman,,Konut,220,TRY,2026-07-17,2026-08-17T09:33:01+00:00
Merkez,2+1,17.000 TL,19609216,https://www.emlakjet.com/ilan/an-yapi-gm-den-hastane-caddesinde-kiralik-21-genis-daire-19609216,Adıyaman,,Konut,135,TRY,2026-07-16,2026-08-17T09:33:01+00:00
Merkez,3+1,20.000 TL,19578063,https://www.emlakjet.com/ilan/arstu-gm-fatma-dan-yeni-mah-kiralik-daire-19578063,Adıyaman,,Konut,170,TRY,2026-07-09,2026-08-17T09:33:01+00:00
Merkez,3+1,16.000 TL,19569578,https://www.emlakjet.com/ilan/arstu-gm-veyselden-carsi-merkezde-kiralik-daire-19569578,Adıyaman,,Konut,140,TRY,2026-07-07,2026-08-17T09:33:01+00:00
Merkez,3+1,19.000 TL,19542570,https://www.emlakjet.com/ilan/indere-emlaktan-malatya-cad-uzeri-kiralik-31-160-m2-daire-19542570,Adıyaman,,Konut,175,TRY,2026-06-30,2026-08-17T09:33:01+00:00
Merkez,1+1,22.000 TL,19490494,https://www.emlakjet.com/ilan/anyapi-gm-den-bulvarda-kiralik-11-esyali-terasli-ofis-19490494,Adıyaman,,Konut,55,TRY,2026-06-17,2026-08-17T09:33:01+00:00
Merkez,2+1,18.750 TL,19471596,https://www.emlakjet.com/ilan/3ev-emlak-tan-yunusemre-mh-400-yatakli-hast-karsisi-21-kiralik-19471596,Adıyaman,,Konut,120,TRY,2026-06-12,2026-08-17T09:33:01+00:00
Merkez,3+1,26.000 TL,19462353,https://www.emlakjet.com/ilan/arstu-gm-haliseden-yunus-emrede-kiralik-sifir-31-daire-19462353,Adıyaman,,Konut,160,TRY,2026-06-10,2026-08-17T09:33:01+00:00
Merkez,3+1,24.000 TL,19377505,https://www.emlakjet.com/ilan/manzarali-esyali-k-19377505,Adıyaman,,Konut,110,TRY,2026-05-16,2026-08-17T09:33:01+00:00
Besni,3+1,14.500 TL,19196694,https://www.emlakjet.com/ilan/hakev-den-erdemoglu-merkezi-konumda-kiralik-31-genis-daire-19196694,Adıyaman,,Konut,175,TRY,2026-04-06,2026-08-17T09:33:01+00:00
Besni,2+1,12.500 TL,19100289,https://www.emlakjet.com/ilan/hakev-den-sarhan-toki-de-kiralik-esyali-21-daire-19100289,Adıyaman,,Konut,75,TRY,2026-03-08,2026-08-17T09:33:01+00:00
Merkez,3+1,13.000 TL,18126437,https://www.emlakjet.com/ilan/zey-indere-tokide-kiralik-31-daire-18126437,Adıyaman,,Konut,105,TRY,2025-09-25,2026-08-17T09:33:01+00:00
Merkez,2+1,9.000 TL,15830035,https://www.emlakjet.com/ilan/bahcecik-tokide-kiralik-21-daire-15830035,Adıyaman,,Konut,75,TRY,2024-09-05,2026-08-17T09:33:01+00:00
Merkez,3+1,15.000 TL,19732634,https://www.emlakjet.com/ilan/n-ilgar-emlak-tan-maresal-mh-kiralik-mustakil-ev-19732634,Afyonkarahisar,,Konut,115,TRY,2026-08-16,2026-08-17T09:33:03+00:00
Merkez,3+1,16.000 TL,19730939,https://www.emlakjet.com/ilan/n-ilgar-emlak-tan-fatih-mahallesi-ara-kat-kiralik-daire-19730939,Afyonkarahisar,,Konut,110,TRY,2026-08-15,2026-08-17T09:33:03+00:00
Merkez,2+1,25.000 TL,19723918,https://www.emlakjet.com/ilan/kiralik-21-19723918,Afyonkarahisar,,Konut,70,TRY,2026-08-13,2026-08-17T09:33:03+00:00
Merkez,1+1,19.000 TL,19719724,https://www.emlakjet.com/ilan/saglam-emlaktan-hastane-arkasinda-kiralik-11daire-19719724,Afyonkarahisar,,Konut,50,TRY,2026-08-12,2026-08-17T09:33:03+00:00
Merkez,2+1,29.000 TL,19718945,https://www.emlakjet.com/ilan/a-cetinkaya-matyar-royal-de-essiz-konumda-21-kiralik-daire-19718945,Afyonkarahisar,,Konut,92,TRY,2026-08-12,2026-08-17T09:33:03+00:00
Merkez,2+1,27.000 TL,19717502,https://www.emlakjet.com/ilan/ideal-den-en-guzel-konumda-21-sifir-kiralik-daire-19717502,Afyonkarahisar,,Konut,85,TRY,2026-08-12,2026-08-17T09:33:03+00:00
Merkez,4+1,36.000 TL,19717341,https://www.emlakjet.com/ilan/kiralik-41-19717341,Afyonkarahisar,,Konut,175,TRY,2026-08-12,2026-08-17T09:33:03+00:00
Merkez,2+0,16.000 TL,19714661,https://www.emlakjet.com/ilan/afyon-tezcan-emlaktan-erenlerde-20-mutfagi-ayri-daire-19714661,Afyonkarahisar,,Konut,58,TRY,2026-08-11,2026-08-17T09:33:03+00:00
Merkez,3+1,18.250 TL,19713873,https://www.emlakjet.com/ilan/sahibinden-31-dogalgazli-19713873,Afyonkarahisar,,Konut,140,TRY,2026-08-11,2026-08-17T09:33:03+00:00
Merkez,2+1,15.000 TL,19712897,https://www.emlakjet.com/ilan/esrefpasa-mah-kiralik-21-luks-daire-19712897,Afyonkarahisar,,Konut,85,TRY,2026-08-11,2026-08-17T09:33:03+00:00
Merkez,2+1,15.000 TL,19708761,https://www.emlakjet.com/ilan/goce-tokide-doga-manzarali-21-kiralik-daire-19708761,Afyonkarahisar,,Konut,90,TRY,2026-08-10,2026-08-17T09:33:03+00:00
Merkez,3+1,15.500 TL,19700257,https://www.emlakjet.com/ilan/kanlica-gokce-tokilerde-manzarali-31-daire-19700257,Afyonkarahisar,,Konut,125,TRY,2026-08-07,2026-08-17T09:33:03+00:00
Merkez,3+1,26.500 TL,19699663,https://www.emlakjet.com/ilan/ornekevlerde-arakat-kocatepe-okula-150-mt-ankastreli-31-19699663,Afyonkarahisar,,Konut,125,TRY,2026-08-07,2026-08-17T09:33:03+00:00
Merkez,2+0,15.000 TL,19699500,https://www.emlakjet.com/ilan/duru-group-dan-erenler-ana-cadde-uzeri-kiralik-20-daire-19699500,Afyonkarahisar,,Konut,55,TRY,2026-08-07,2026-08-17T09:33:03+00:00
Merkez,3+1,22.000 TL,19696564,https://www.emlakjet.com/ilan/afyon-tezcan-emlak-tan-kanlica-mahallesi-31-guney-cephe-2-banyolu-daire-19696564,Afyonkarahisar,,Konut,115,TRY,2026-08-06,2026-08-17T09:33:03+00:00
Merkez,3+1,18.500 TL,19696255,https://www.emlakjet.com/ilan/afyon-ozsu-emlak-tan-ahmet-yesevi-mh-bakimli-kiralik-31-daire-19696255,Afyonkarahisar,,Konut,110,TRY,2026-08-06,2026-08-17T09:33:03+00:00
Sandıklı,3+1,20.000 TL,19696178,https://www.emlakjet.com/ilan/migros-araligi-31-kiralik-daire-19696178,Afyonkarahisar,,Konut,130,TRY,2026-08-06,2026-08-17T09:33:03+00:00
Merkez,2+1,30.000 TL,19689138,https://www.emlakjet.com/ilan/sahibinden-21sifir-kiralik-daire-afyon-un-merkezi-alicetinkaya-mahallesinde-19689138,Afyonkarahisar,,Konut,75,TRY,2026-08-05,2026-08-17T09:33:03+00:00
Merkez,1+1,19.000 TL,19688588,https://www.emlakjet.com/ilan/devlet-ve-dis-hastanesi-ne-yakin-d-gaz-full-esyali-11-daire-19688588,Afyonkarahisar,,Konut,52,TRY,2026-08-05,2026-08-17T09:33:03+00:00
Çay,3+1,20.500 TL,19685195,https://www.emlakjet.com/ilan/furkan-emlaktan-bahcelievler-mah-luks-31-kiralik-daire-19685195,Afyonkarahisar,,Konut,140,TRY,2026-08-04,2026-08-17T09:33:03+00:00
Merkez,3+1,27.000 TL,19685154,https://www.emlakjet.com/ilan/turkuaz-emlaktan-maresal-fevzi-cakmak-mah-31-kiralik-daire-19685154,Afyonkarahisar,,Konut,160,TRY,2026-08-04,2026-08-17T09:33:03+00:00
Merkez,2+1,26.500 TL,19682797,https://www.emlakjet.com/ilan/uydukent-selcuklu-mah-de-matyar-efect-sit-de-luks-esyali-21-19682797,Afyonkarahisar,,Konut,72,TRY,2026-08-04,2026-08-17T09:33:03+00:00
Merkez,1+1,10.000 TL,19681153,https://www.emlakjet.com/ilan/ideal-yatirim-emlak-tan-osmangazi-de-kiralik-19681153,Afyonkarahisar,,Konut,70,TRY,2026-08-03,2026-08-17T09:33:03+00:00
Merkez,2+1,17.000 TL,19680864,https://www.emlakjet.com/ilan/afyon-cetinkaya-tokilerde-kiralik-21-daire-19680864,Afyonkarahisar,,Konut,95,TRY,2026-08-03,2026-08-17T09:33:03+00:00
Merkez,1+1,20.000 TL,19678657,https://www.emlakjet.com/ilan/kiralik-11-full-esyali-daire-merkez-uydukent-maliye-tapu-yakin-19678657,Afyonkarahisar,,Konut,55,TRY,2026-08-03,2026-08-17T09:33:03+00:00
Merkez,3+1,19.000 TL,19677409,https://www.emlakjet.com/ilan/gokce-tokilerde-31-aidat-dahil-kiralik-daire-19677409,Afyonkarahisar,,Konut,115,TRY,2026-08-02,2026-08-17T09:33:03+00:00
Merkez,1+1,16.000 TL,19673838,https://www.emlakjet.com/ilan/11-esyali-daire-19673838,Afyonkarahisar,,Konut,60,TRY,2026-08-01,2026-08-17T09:33:03+00:00
Merkez,3+1,8.000 TL,19673385,https://www.emlakjet.com/ilan/efa-dan-en-uygun-daire-yesilyurt-mahallesi-31-kiralik-19673385,Afyonkarahisar,,Konut,110,TRY,2026-08-01,2026-08-17T09:33:03+00:00
Merkez,4+1,40.000 TL,19672514,https://www.emlakjet.com/ilan/afyonkarahisar-fatih-bahcelievler-sitesinde-kiralik-41-daire-19672514,Afyonkarahisar,,Konut,170,TRY,2026-08-01,2026-08-17T09:33:03+00:00
Merkez,3+1,25.000 TL,19670618,https://www.emlakjet.com/ilan/istiklal-mahallesinde-31-temiz-bakimli-luks-daire-19670618,Afyonkarahisar,,Konut,120,TRY,2026-07-31,2026-08-17T09:33:03+00:00
Merkez,1+1,16.000 TL,19666689,https://www.emlakjet.com/ilan/aliihsanpasa-suhut-kavsaginda-esyali-kiralik-daire-19666689,Afyonkarahisar,,Konut,70,TRY,2026-07-30,2026-08-17T09:33:08+00:00
Çay,3+1,19.000 TL,19665143,https://www.emlakjet.com/ilan/furkan-emlaktan-sirinevler-mah-lux-31-kiralik-daire-19665143,Afyonkarahisar,,Konut,125,TRY,2026-07-30,2026-08-17T09:33:08+00:00
Merkez,3+1,22.000 TL,19664308,https://www.emlakjet.com/ilan/sehir-mekezi-mah-kiralik-31-daire-19664308,Afyonkarahisar,,Konut,120,TRY,2026-07-30,2026-08-17T09:33:08+00:00
Merkez,2+1,16.000 TL,19657233,https://www.emlakjet.com/ilan/ideal-den-sadikbey-toki-de-kiralik-21-guney-cephe-daire-19657233,Afyonkarahisar,,Konut,95,TRY,2026-07-28,2026-08-17T09:33:08+00:00
Merkez,4+1,32.000 TL,19656266,https://www.emlakjet.com/ilan/merkez-de-ataturk-blv-uzeri-arakat-afjetli-yalitimli-genis-41-19656266,Afyonkarahisar,,Konut,150,TRY,2026-07-28,2026-08-17T09:33:08+00:00
