product-name;product-price;product-id
Pınar Aç Bitir Dana Macar Salam 60 Gr;68.62;8563
Pınar Aç Bitir Fıstıklı Hindi Salam 50 Gr;34.31;5718
Pınar Aç Bitir Hindi Salam 75 Gr;39.0;2867
Pınar Doyum Hindi Salam 500 Gr;199.9;3526
Pınar Hindi Füme Cheddarlı Jumbo Sosis 265Gr;179.9;12139
Pınar Macar Salam Aç Bitir Büyük Dilim 50 Gr;56.81;12230
Torku Dilimli Salam 50 Gr;49.95;11832
Maret Pratik Sosis 140 Gr;72.9;191
Maret Sosis 5'li 240 Gr;239.9;8734
Namet 7/24 Hindi Sosis 140 Gr;69.9;10323
Namet Hindi Uzun Sosis 210 Gr;109.9;12471
Pınar Aç Bitir Kokteyl Sosis 180 Gr;72.67;7582
Pınar Hindi Uzun Sosis 430 Gr;235.0;8820
Pınar Sosis Dana Hot Dog 295 Gr;455.0;6161
Torku Mini Kokteyl Sosis 100 Gr;129.9;12404
Maret Küvet Sucuk 300 Gr;399.9;11256
Namet Dana Kangal Sucuk 200 Gr;239.95;3025
Namet Dana Kangal Sucuk 300 Gr;459.9;1942
Namet Sofram Kangal Sucuk 220 Gr;119.9;812
Pınar Gurme Dana Sucuk 250 Gr;599.0;1763
Pınar İllaki Kasap Sucuk 300 Gr;599.0;3588
Pınar Klasik Kangal Sucuk 225 Gr;459.9;8711
Pınar Mangal Keyfi Sucuk 300 Gr;189.0;9053
Pınar Şölen Dana Sucuk 180 Gr;239.9;5871
Torku Isılı İşlem Görmüş Vakum Sucuk 180 Gr;199.95;11831
Dana Antrikot - 500 Gr.;789.95;1540
Dana Bonfile - 500 Gr.;1229.95;8397
Dana Haşlamalık Et - 500 Gr.;569.95;3349
Dana Kol Kuşbaşı - 500 Gr.;539.95;8408
Dana Kol Kuşbaşı Kıymalık - 500 Gr.;539.95;5914
Dana Kontrfile - 500 Gr.;749.95;8398
Dana Kuşbaşı Kıymalık - 500 Gr.;479.95;5260
Dana Kuzu Kıymalık (%80 Dana+%20 Ku - 500 Gr.;479.95;5132
Dana Nuar - 500 Gr.;569.95;7326
Dana Rosto - 500 Gr.;559.95;8400
Dana Rulo Kıymalık - 500 Gr.;499.95;1541
Dana Sote - 500 Gr.;599.95;7330
Kuzu Böbrek Yatağı - 500 Gr.;564.95;2734
Kuzu Bonfile - 500 Gr.;1299.95;1810
Kuzu But - 2,5 Kg.;2774.75;8375
Kuzu But İnciksiz - 2,5 Kg.;2824.75;2340
Kuzu But Tandır - 2 Kg.;2799.8;7332
Kuzu Gerdan - 500 Gr.;499.95;229
Kuzu İncik - 500 Gr.;649.95;7361
Kuzu Kaburga - 500 Gr.;499.95;7026
Kuzu Kavurmalık - 500 Gr.;649.95;1542
Kuzu Kol - 1,5 Kg.;1604.85;8372
Kuzu Külbastı - 500 Gr.;784.95;8365
Kuzu Kuşbaşı - 500 Gr.;759.95;8371
Special Köfte Adana (Dana-Kuzu) - 500 Gr.;499.95;8379
Special Köfte İnegöl (Dana-Kuzu) - 500 Gr.;499.95;8389
Special Köfte Kasap (Dana-Kuzu) - 500 Gr.;499.95;8381
Kuzu Kuyruk Yağı - 500 Gr.;199.95;7917
Kuzu Pirzola - 500 Gr.;849.95;8368
Kuzu Şiş - 500 Gr.;784.95;7025
Kuzu Yarım Kol - 1 Kg.;1319.9;1543
Activia Ananas&Yulaf&Hindistan Cevizli Probiyotikli Blow;65.0;12602
Activia Doğal Probiyotikli Ananaslı Yoğurt 4*100 Gr;114.9;1797
Activia Doğal Probiyotikli Çilekli Yoğurt 4*100 Gr;114.9;7647
Activia Doğal Probiyotikli Kuru Kayısılı Yoğurt 4*100 Gr;114.9;7646
Activia Doğal Probiyotikli Sade Yoğurt 4*100 Gr;114.9;7333
Activia Probiyotik Bowl Hurma Badem Ve Yulaf Aromalı 150 Gr;65.0;12391
Activia Probiyotikli Bowl Muz&Yulaf&Fındık;65.0;12090
Akdeniz Toros Mantı 500 Gr;209.9;11070
Alan Kuru Sele Zeytin - 500 Gr.;224.95;9002
Alan Yağlı Sele Zeytin - 500 Gr.;299.95;8986
Alpimilk Çikolatalı Süt 180 Ml;19.95;4465
Alpro Şekersiz Badem Sütü 1 Lt;225.0;6347
Aly Baklavalık ve Böreklik Yufka 800 Gr;99.9;1506
Anavarza Çam Balı 325 Gr;349.9;12614
Anavarza Çam Balı 450 Gr;399.9;7135
Anavarza Çam Balı 850 Gr;699.9;8406
Anavarza Çiçek Balı 450 Gr;337.5;7129
Anavarza Çiçek Balı Akıllı Kapak 325 Gr;317.5;614
Anavarza Kral Şakir Bal Tüpü 40 Gr;54.9;1419
Aoç Fındık Kreması 700 Gr;199.95;6558
Apitera Zen 7x7 gr;124.9;7537
Arnilya Sele Siyah Zeytin - 500 Gr.;199.95;8486
Arnilya Yağlı Sele Özel İri Zeytin - 500 Gr.;449.95;9481
Arnilya Yağlı Sele Zeytin - 500 Gr.;249.95;8290
Balkovan Çiçek Balı 850 Gr;499.9;791
Balkovan Süzme Çiçek Balı 460 Gr;259.9;5810
Balküpü Küp Kesme Şeker 1 Kg 20 Adet;69.95;3460
Balparmak Çam Balı Çıt Kapak 350 Gr;419.95;10324
Balparmak Çiçek Balı 850 Gr;799.9;1289
Balparmak Süzme Çam Balı Kavanoz 850 Gr;799.9;10668
Balparmak Yayla Süzme Çiçek Bal 600 Gr;579.9;12738
Balparmak Yayla ve Ova Süzme Çiçek Balı Çıt Kapak 350 Gr;349.9;2549
Balparmak Yayla ve Ova Süzme Çiçek Balı Kavanoz 850 Gr;519.95;650
Burcu Ajvar Kahvaltılık Sos 310 Gr;59.9;4967
Burcu Kahvaltılık Acı Sos 320 Gr;59.9;4965
Cheerios Mısır Gevreği 225 gr;169.95;4829
Çiçek Balı 850 Gr;599.9;8410
Çıt Kapak Süzme Çiçek Balı 350 gr;419.95;6756
Çokokrem 180 Gr;60.0;212
Çokokrem 350 gr Cam;155.0;8638
Çokokrem 950 Gr;245.0;1322
Süzme Çiçek Balı 460 gr;529.95;7174
Tirebirlik Ham Süzme Çiçek Balı 430 GR;325.0;13369
Tirebirlik Süzme Ham Çam Balı 430 Gr;345.9;12854
Zühre Ana Kids Kakaolu Macun 240 Gr;319.9;12721
Zühre Ana Kozalak Macunu 240 Gr;319.9;12722
Dıabetık Helva Fıstıklı 350 gr;369.9;2691
Dıabetık Helva Sade 350 gr;199.95;7855
Halis Antep Fıstıklı Hurma Suyu İle Tatlandırılmış Üçgen Tahin Helva 300 Gr;350.0;12127
Halis Antep Fıstıklı Üçgen Tahin Helva 500 Gr;350.0;12125
Halis Kakaolu Üçgen Tahin Helva 500 Gr;199.9;12124
Halis Sade Üçgen Tahin Helva 500 Gr;199.9;12123
Halis Tahin 600 Gr;219.9;12132
Halis Üzüm Pekmezi 800 Gr;219.9;12131
Helva Fıstıklı 200 gr;172.95;8713
Helva Sade 200 gr;69.95;8710
Kavrulmuş Susamdan Esmer Tahin 300 gr;149.95;9210
Koska Çikolatalı Kağıt Helva 45 Gr;21.95;7633
Koska Çikos Tahinli Çikolatalı 240 Gr;254.9;6481
Koska Diyabetik Kakaolu Helva 350 Gr;199.95;7856
Koska Dut Pekmezi 380 Gr;182.5;734
Koska Fıstıklı Helva 500 Gr;377.95;7853
Koska Kağıt Helva 45 Gr;19.95;3366
Koska Kakaolu Blok He - 500 Gr.;149.95;7837
Koska Kakaolu Helva 200 Gr;69.95;8712
Koska Kakaolu Helva Paket (500 g);173.45;7851
Koska Keçi Boynuzu Özü 310 Gr;119.5;10023
Koska Keçiboynuzu Pekmez 380 Gr;106.95;735
Koska Kürek Kakao Antep Fıstıklı Helva 350 Gr;279.9;12642
Koska Kürek Kakaolu Helva 350 Gr;159.9;12643
Koska Organik Üzüm Pekmezi 300 Gr;294.95;1691
Koska Sade Helva (500 g);173.45;7840
Koska Tost Kağıt Helva 23Gr;21.5;6597
Koska Pekmez Açık - 500 Gr.;184.95;11575
Koska Pekmez Mix 300 Gr;178.5;2256
Koska Pratik Üzüm Pekmezi 400 Gr;191.5;2216
Koska Üzüm Pekmezi 380 Gr;149.95;1665
Koska Üzüm Pekmezi 700 Gr;319.95;7857
Yenigün Keçiboynuzu Özü 640Gr;234.9;6648
Yenigün Üzüm Pekmezi 800Gr;234.9;6647
Zühre Ana Karadut Özü 670 Gr;319.9;12717
Koska Pratik Tahin 300 Gr;141.95;2215
Koska Pratik Tahin Pekmez Avantaj Paket (400 Gr Üzüm Pekmezi+300 Gr Tahin);304.95;2850
Koska Süper İkili Tahin&Pekmez Karışımı 200 Gr;89.95;1973
Koska Süper İkili Tüp 40 Gr;33.95;3365
Koska Tahin 300 Gr;141.95;6848
Koska Tahin 620 Gr;219.95;8709
Koska Tahin Pekmez 140 Gr;69.95;6804
Koska Tahin Pekmez 350 Gr;194.95;1666
Tahin Bidon 550 G 12 Adet;236.95;4511
Yenigün Tahin 610Gr;234.9;6649
Dr. Oetker Vitalis Sütlü Bitter Çikolatalı Müsli 450 Gr;249.95;3750
Eti Lifalif Granola Kuru Elmalı,Kuru Dutlu 200 Gr;180.0;6193
