name,price,url,id,tuik_category,basic_inflation_1d,basic_inflation_7d,basic_inflation_15d,basic_inflation_30d
Dolce Vita Koltuk Seti Siyah (1 Kanepe+ 2 Tekli Koltuk + 1 Orta Sehpa+ 1 Yan Sehpa),264500.0,https://www.chakra.com.tr/dolce-vita-koltuk-seti-siyah-1-kanepe-2-tekli-koltuk-1-orta-sehpa-1-yan-sehpa-8682313392823/,8682313392823.0,05,0.0,0.0,,
Dolce Vita Tekli Koltuk Syh Siyah,89950.0,https://www.chakra.com.tr/dolce-vita-tekli-koltuk-syh-siyah-8682313390720/,8682313390720.0,05,0.0,0.0,,
Sun Kolçaksız Teklı Koltuk Natural,29950.0,https://www.chakra.com.tr/sun-kolcaksiz-tekli-koltuk-natural-8682313382619/,8682313382619.0,05,0.0,0.0,,
Skak Yemek Sandalyesi Natural,64950.0,https://www.chakra.com.tr/skak-yemek-sandalyesi-natural-8682313389038/,8682313389038.0,05,0.0,0.0,,
Kite Sehpa Natural,12450.0,https://www.chakra.com.tr/kite-sehpa-natural-8682313282360/,8682313282360.0,05,0.0,0.0,,
Sao Paulo Kanepe 93x230x103 cm Bej,70450.0,https://www.chakra.com.tr/sao-paulo-kanepe-93x230x103-cm-bej-8682313223684/,8682313223684.0,05,0.0,0.0,,
Sao Paulo Tekli Koltuk 93x106x103 cm Bej,44950.0,https://www.chakra.com.tr/sao-paulo-tekli-koltuk-93x106x103-cm-bej-8682313223677/,8682313223677.0,05,0.0,0.0,,
Alexandria 6 Kişilik Yemek Odası Takımı Natural,321700.0,https://www.chakra.com.tr/alexandria-6-kisilik-yemek-odasi-takimi-natural-8682313390096/,8682313390096.0,05,0.0,0.0,,
Tonka Salıncak Beyaz,12450.0,https://www.chakra.com.tr/tonka-salincak-beyaz-8682313324138/,8682313324138.0,05,0.0,0.0,,
Mındı Salıncak Beyaz,14950.0,https://www.chakra.com.tr/mindi-salincak-beyaz-8682313324145/,8682313324145.0,05,0.0,0.0,,
Havana Yatak Natural,103950.0,https://www.chakra.com.tr/havana-yatak-natural-8682313382305/,8682313382305.0,05,0.0,0.0,,
Dolce Vita Tekli Koltuk Bej Bej,89950.0,https://www.chakra.com.tr/dolce-vita-tekli-koltuk-bej-bej-8682313390737/,8682313390737.0,05,0.0,0.0,,
New Mischa Koltuk Seti (1 Kanepe+ Tekli Koltuk + 1 Orta Sehpa+ 1 Yan Sehpa),264500.0,https://www.chakra.com.tr/new-mischa-koltuk-seti-1-kanepe-tekli-koltuk-1-orta-sehpa-1-yan-sehpa-8682313392847/,8682313392847.0,05,0.0,0.0,,
Malmo Bar Masası Natural,23450.0,https://www.chakra.com.tr/malmo-bar-masasi-natural-8682313324503/,8682313324503.0,05,0.0,0.0,,
Oleander Ateş Çukuru Natural,149950.0,https://www.chakra.com.tr/oleander-ates-cukuru-natural-8682313395596/,8682313395596.0,05,0.0,0.0,,
Milano Mutfak Rafı Natural,19950.0,https://www.chakra.com.tr/milano-mutfak-rafi-natural-8682313388802/,8682313388802.0,05,0.0,0.0,,
Milano Tezgah Dolap Natural,92450.0,https://www.chakra.com.tr/milano-tezgah-dolap-natural-8682313390133/,8682313390133.0,05,0.0,0.0,,
Obelisk Masa Lambası Gövde XL Natural,9950.0,https://www.chakra.com.tr/obelisk-masa-lambasi-govde-xl-natural-8682313394575/,8682313394575.0,05,0.0,0.0,,
Obelisk Masa Lambası Gövde XL Natural,9950.0,https://www.chakra.com.tr/obelisk-masa-lambasi-govde-xl-natural-8682313394575/,8682313394575.0,05,0.0,0.0,,
Obelisk Masa Lambası Gövde XL Natural,9950.0,https://www.chakra.com.tr/obelisk-masa-lambasi-govde-xl-natural-8682313394575/,8682313394575.0,05,0.0,0.0,,
Obelisk Masa Lambası Gövde XL Natural,9950.0,https://www.chakra.com.tr/obelisk-masa-lambasi-govde-xl-natural-8682313394575/,8682313394575.0,05,0.0,0.0,,
Obelisk Masa Lambası Gövde XL Natural,9950.0,https://www.chakra.com.tr/obelisk-masa-lambasi-govde-xl-natural-8682313394575/,8682313394575.0,05,0.0,0.0,,
Obelisk Masa Lambası Gövde XL Natural,9950.0,https://www.chakra.com.tr/obelisk-masa-lambasi-govde-xl-natural-8682313394575/,8682313394575.0,05,0.0,0.0,,
Obelisk Masa Lambası Gövde XL Natural,9950.0,https://www.chakra.com.tr/obelisk-masa-lambasi-govde-xl-natural-8682313394575/,8682313394575.0,05,0.0,0.0,,
Obelisk Masa Lambası Gövde XL Natural,9950.0,https://www.chakra.com.tr/obelisk-masa-lambasi-govde-xl-natural-8682313394575/,8682313394575.0,05,0.0,0.0,,
Obelisk Masa Lambası Gövde XL Natural,9950.0,https://www.chakra.com.tr/obelisk-masa-lambasi-govde-xl-natural-8682313394575/,8682313394575.0,05,0.0,0.0,,
Obelisk Masa Lambası Gövde XL Natural,9950.0,https://www.chakra.com.tr/obelisk-masa-lambasi-govde-xl-natural-8682313394575/,8682313394575.0,05,0.0,0.0,,
Obelisk Masa Lambası Gövde XL Natural,9950.0,https://www.chakra.com.tr/obelisk-masa-lambasi-govde-xl-natural-8682313394575/,8682313394575.0,05,0.0,0.0,,
Obelisk Masa Lambası Gövde XL Natural,9950.0,https://www.chakra.com.tr/obelisk-masa-lambasi-govde-xl-natural-8682313394575/,8682313394575.0,05,0.0,0.0,,
Obelisk Masa Lambası Gövde XL Natural,9950.0,https://www.chakra.com.tr/obelisk-masa-lambasi-govde-xl-natural-8682313394575/,8682313394575.0,05,0.0,0.0,,
Obelisk Masa Lambası Gövde XL Natural,9950.0,https://www.chakra.com.tr/obelisk-masa-lambasi-govde-xl-natural-8682313394575/,8682313394575.0,05,0.0,0.0,,
Obelisk Masa Lambası Gövde XL Natural,9950.0,https://www.chakra.com.tr/obelisk-masa-lambasi-govde-xl-natural-8682313394575/,8682313394575.0,05,0.0,0.0,,
Obelisk Masa Lambası Gövde XL Natural,9950.0,https://www.chakra.com.tr/obelisk-masa-lambasi-govde-xl-natural-8682313394575/,8682313394575.0,05,0.0,0.0,,
Palma Masa Lambası Gövde S Natural,4950.0,https://www.chakra.com.tr/palma-masa-lambasi-govde-s-natural-8682313394599/,8682313394599.0,05,0.0,0.0,,
Palma Masa Lambası Gövde S Natural,4950.0,https://www.chakra.com.tr/palma-masa-lambasi-govde-s-natural-8682313394599/,8682313394599.0,05,0.0,0.0,,
Palma Masa Lambası Gövde S Natural,4950.0,https://www.chakra.com.tr/palma-masa-lambasi-govde-s-natural-8682313394599/,8682313394599.0,05,0.0,0.0,,
Palma Masa Lambası Gövde S Natural,4950.0,https://www.chakra.com.tr/palma-masa-lambasi-govde-s-natural-8682313394599/,8682313394599.0,05,0.0,0.0,,
