date,product_id,product_name,category,tuik_category,price,relative_1d,relative_7d,relative_15d,relative_30d,sector
2026-09-06,philips 65pus8050,philips 65pus8050,epeykatfg,09,,,,-4.347920606969713,-4.347920606969713,epeykatfg
2026-09-06,philips 9000 serisi mg9530 15,philips 9000 serisi mg9530 15,epeykatfg,13,,,,,,epeykatfg
2026-09-06,philips avent antikolik 125 ml,philips avent antikolik 125 ml,epeykatfg,13,,,,15.539379921427244,21.31428571428571,epeykatfg
2026-09-06,philips avent natural pp scf033 27,philips avent natural pp scf033 27,epeykatfg,13,,,,7.57147788971535,1.624786894967012,epeykatfg
2026-09-06,philips avent natural scd301 01 baslangic biberon seti,philips avent natural scd301 01 baslangic biberon seti,epeykatfg,13,,,,0.0,0.0,epeykatfg
2026-09-06,philips azur 8000 dst8021 30,philips azur 8000 dst8021 30,epeykatfg,05,,,,-4.620523288179623,-4.620523288179623,epeykatfg
2026-09-06,philips d1601b 01,philips d1601b 01,epeykatfg,08,,,,2.2222222222222143,,epeykatfg
2026-09-06,philips essential dijital xxl 5000 series hd9285 96 airfyer,philips essential dijital xxl 5000 series hd9285 96 airfyer,epeykatfg,05,,,,-0.8006279434850883,-7.886297376093299,epeykatfg
2026-09-06,philips f1 max,philips f1 max,epeykatfg,08,,,,-20.97350939279512,-16.671297582661847,epeykatfg
2026-09-06,philips gc3811 70,philips gc3811 70,epeykatfg,05,,,,-13.567210281196484,-17.737036596994383,epeykatfg
2026-09-06,philips hd2581,philips hd2581,epeykatfg,05,,,,0.0,0.0,epeykatfg
2026-09-06,philips hd9875 90 airfryer,philips hd9875 90 airfryer,epeykatfg,05,,,,-13.813920454545459,-11.483768377056535,epeykatfg
2026-09-06,philips homerun 9000 serisi xu9100 10,philips homerun 9000 serisi xu9100 10,epeykatfg,05,,,,-3.989334822734636,-3.372547445060081,epeykatfg
2026-09-06,philips hu2716 10,philips hu2716 10,epeykatfg,05,,,,0.0,0.0,epeykatfg
2026-09-06,philips hx3651 12 sonicare 2100,philips hx3651 12 sonicare 2100,epeykatfg,13,,,,5.1817519281486035,5.1817519281486035,epeykatfg
2026-09-06,philips oneblade qp2520 90,philips oneblade qp2520 90,epeykatfg,13,,,,0.0,0.0,epeykatfg
2026-09-06,philips qp2520 30,philips qp2520 30,epeykatfg,13,,,,0.0,2.2222222222222143,epeykatfg
2026-09-06,philips sonicare 9000 power ozel surum pempe,philips sonicare 9000 power ozel surum pempe,epeykatfg,13,,,,0.0,0.0,epeykatfg
2026-09-06,philips sonicare cordless power flosser 2000 hx3801 11,philips sonicare cordless power flosser 2000 hx3801 11,epeykatfg,13,,,,0.0,0.0,epeykatfg
