product-name,product-price,Ana Kategori,Kategori ID,Stok Kodu,Fiyat,tuik_category,basic_inflation_1d,basic_inflation_7d,basic_inflation_15d
MAVİ KETEN ŞORT,₺25.950,Kadin,301,M404480377-0038,25950.0,03,0.0,0.0,0.0
MAVİ ÇİZGİLİ GÖMLEK,₺15.950,Kadin,301,M301536772-0038-0012,15950.0,03,0.0,0.0,0.0
BEYAZ-MAVİ V YAKA TRİKO,₺8.950,Kadin,301,M404690232-0012-0038,8950.0,03,0.0,0.0,0.0
MONT,₺69.950,Kadin,301,M405092256-0072,69950.0,03,0.0,0.0,0.0
SARI BOL KESİM PANTOLON,₺40.950,Kadin,301,M405091805-0072,40950.0,03,0.0,0.0,0.0
SARI KOLSUZ T-SHIRT,₺20.950,Kadin,301,M405091800-0072,20950.0,03,0.0,0.0,0.0
SARI KISA KOLLU TRİKO,₺35.950,Kadin,301,M405092293-0072,35950.0,03,0.0,0.0,0.0
PUDRA DAR PAÇA PANTOLON,₺18.950,Kadin,301,M404556791-0071,18950.0,03,0.0,0.0,0.0
BLUZ,₺20.950,Kadin,301,M405115009-0071,20950.0,03,0.0,0.0,0.0
PUDRA KOLSUZ ELBİSE,₺22.950,Kadin,301,M404810105-0071,22950.0,03,0.0,0.0,0.0
PUDRA DERİ BOMBER CEKET,₺40.950,Kadin,301,M405731608-0021,40950.0,03,0.0,0.0,0.0
PUDRA KISA KOLLU BLUZ,₺20.950,Kadin,301,M404810533-0071,20950.0,03,0.0,0.0,0.0
PUDRA TRİKO,₺25.950,Kadin,301,M404402063-0071,25950.0,03,0.0,0.0,0.0
PUDRA ÇİZGİLİ GÖMLEK,₺35.950,Kadin,301,M404480403-0071-0021,35950.0,03,0.0,0.0,0.0
GÜL KURUSU BOL KEİSM PANTOLON,₺30.950,Kadin,301,M404480387-0070,30950.0,03,0.0,0.0,0.0
GÜL KURUSU V YAKA TRİKO,₺25.950,Kadin,301,M404402057-0070,25950.0,03,0.0,0.0,0.0
GÜL KURUSU GÖMLEK,₺35.950,Kadin,301,M404480404-0070,35950.0,03,0.0,0.0,0.0
GÜL KURUSU O YAKA TRİKO,₺25.950,Kadin,301,M404402056-0070,25950.0,03,0.0,0.0,0.0
PUDRA DENIM PANTOLON,₺22.950,Kadin,301,M404676455-0071,22950.0,03,0.0,0.0,0.0
AÇIK PEMBE TRİKO,₺10.950,Kadin,301,M404690236-0069,10950.0,03,0.0,0.0,0.0
EKRU GÖMLEK,₺30.950,Kadin,301,M404480410-0027,30950.0,03,0.0,0.0,0.0
EKRU DOKULU DÜZ KESİM PANTOLON,₺18.950,Kadin,301,M301542006-0027,18950.0,03,0.0,0.0,0.0
EKRU KIRLANGIÇ YAKA CEKET,₺35.950,Kadin,301,M301544040-0027,35950.0,03,0.0,0.0,0.0
TRİKO,₺12.950,Kadin,301,M404497947-0102-0021,12950.0,03,0.0,0.0,0.0
BEYAZ CEKET,₺30.950,Kadin,301,M405386581-0012,30950.0,03,0.0,0.0,0.0
BEYAZ KISA KOLLU TRİKO,₺15.950,Kadin,301,M404810529-0012,15950.0,03,0.0,0.0,0.0
EKRU BOL PAÇA PANTOLON,₺35.665,Kadin,301,M404576998-0027,35665.0,03,0.0,0.0,-30.0
EKRU KRUVAZE YAKA CEKET,₺63.665,Kadin,301,M404577009-0027,63665.0,03,0.0,0.0,-30.0
EKRU ATLET,₺13.950,Kadin,301,M404576986-0027,13950.0,03,0.0,0.0,0.0
EKRU HIRKA,₺54.950,Kadin,301,M404577015-0027,54950.0,03,0.0,0.0,0.0
EKRU KISA KOLLU TRİKO,₺35.950,Kadin,301,M404577014-0027,35950.0,03,0.0,0.0,0.0
EKRU FERMUARLI HIRKA,₺54.950,Kadin,301,M404577008-0027,54950.0,03,0.0,0.0,0.0
EKRU BOL PAÇA PANTOLON,₺35.950,Kadin,301,M404577013-0027,35950.0,03,0.0,0.0,0.0
EKRU V YAKA TRİKO,₺40.950,Kadin,301,M404576967-0027,40950.0,03,0.0,0.0,0.0
EKRU DÜZ KESİM PANTOLON,₺25.950,Kadin,301,M404480408-0027,25950.0,03,0.0,0.0,0.0
EKRU GÖMLEK,₺35.950,Kadin,301,M404480407-0027,35950.0,03,0.0,0.0,0.0
EKRU O YAKA TRİKO,₺35.950,Kadin,301,M404576976-0027,35950.0,03,0.0,0.0,0.0
EKRU UZUN KOLLU GÖMLEK,₺45.950,Kadin,301,M404576966-0027,45950.0,03,0.0,0.0,0.0
EKRU KISA KOLLU TRİKO,₺35.950,Kadin,301,M405091802-0027,35950.0,03,0.0,0.0,0.0
EKRU DÜZ KESİM PANTOLON,₺35.950,Kadin,301,M404576977-0027,35950.0,03,0.0,0.0,0.0
EKRU UZUN HIRKA,₺54.950,Kadin,301,M404576978-0027,54950.0,03,0.0,0.0,0.0
EKRU O YAKA KISA KOLLU BLUZ,₺30.950,Kadin,301,M404576979-0027,30950.0,03,0.0,0.0,0.0
EKRU HIRKA,₺25.950,Kadin,301,M404810101-0027,25950.0,03,0.0,0.0,0.0
BEYAZ YELEK,₺82.950,Kadin,301,M404576543-0012,82950.0,03,0.0,0.0,0.0
BEYAZ BOL PAÇA PANTOLON,₺60.950,Kadin,301,M404576542-0012,60950.0,03,0.0,0.0,0.0
BEYAZ O YAKA TRİKO,₺40.950,Kadin,301,M404576541-0012,40950.0,03,0.0,0.0,0.0
GÖMLEK,₺55.950,Kadin,301,M405091801-0027,55950.0,03,0.0,0.0,
EKRU TRİKO,₺49.950,Kadin,301,M405487848-0027,49950.0,03,0.0,0.0,0.0
BEYAZ MONT,₺49.950,Kadin,301,M404573195-0012,49950.0,03,0.0,0.0,0.0
EKRU KAPÜŞONLU SWEATSHIRT,₺69.950,Kadin,301,M404577007-0027,69950.0,03,0.0,0.0,0.0
EKRU BOL PAÇA PANTOLON,₺28.665,Kadin,301,M404577010-0027,28665.0,03,0.0,0.0,-30.0
EKRU CEKET,₺49.665,Kadin,301,M404577011-0027,49665.0,03,0.0,0.0,-30.0
EKRU POLO YAKA UZUN KOLLU T-SHİRT,₺30.950,Kadin,301,M404577005-0025,30950.0,03,0.0,0.0,0.0
KREM MİDİ ETEK,₺21.665,Kadin,301,M404577020-0025,21665.0,03,0.0,0.0,-30.0
KREM UZUN KOLLU GÖMLEK,₺39.165,Kadin,301,M404577004-0025,39165.0,03,0.0,0.0,-30.0
KREM T-SHIRT,₺25.165,Kadin,301,M404577021-0025,25165.0,03,0.0,0.0,-30.0
EKRU BOL PAÇA PANTOLON,₺35.950,Kadin,301,M404577012-0027,35950.0,03,0.0,0.0,0.0
EKRU CEKET,₺60.950,Kadin,301,M404576975-0027,60950.0,03,0.0,0.0,0.0
EKRU ÇİZGİLİ TRİKO,₺35.950,Kadin,301,M405091804-0027,35950.0,03,0.0,0.0,0.0
KREM KAPÜŞONLU MONT,₺52.950,Kadin,301,M404340142-0025,52950.0,03,0.0,0.0,0.0
EKRU V YAKA TRİKO,₺25.950,Kadin,301,M404644537-0027-0092,25950.0,03,0.0,0.0,0.0
EKRU KETEN BERMUDA,₺25.950,Kadin,301,M404480392-0027,25950.0,03,0.0,0.0,0.0
BEJ O YAKA KISA KOLLU BLUZ,₺25.950,Kadin,301,M405032785-0021,25950.0,03,0.0,0.0,0.0
EKRU YELEK,₺79.950,Kadin,301,M404576544-0027,79950.0,03,0.0,0.0,0.0
EKRU BOL PAÇA PANTOLON,₺40.950,Kadin,301,M404576988-0027,40950.0,03,0.0,0.0,0.0
EKRU HIRKA,₺54.950,Kadin,301,M404576987-0027,54950.0,03,0.0,0.0,0.0
BEJ UZUN ETEK,₺30.950,Kadin,301,M404480413-0021,30950.0,03,0.0,0.0,0.0
ETEK,₺40.950,Kadin,301,M404480390-0021-0027,40950.0,03,0.0,0.0,0.0
BEJ KOLSUZ ELBİSE,₺40.950,Kadin,301,M404480391-0021-0012,40950.0,03,0.0,0.0,0.0
TRİKO,₺45.950,Kadin,301,M404644522-0012-0021,45950.0,03,0.0,0.0,0.0
BEYAZ KETEN KISA KOLLU GÖMLEK,₺20.950,Kadin,301,M404507278-0012-0004,20950.0,03,0.0,0.0,0.0
BEYAZ KETEN PANTOLON,₺20.950,Kadin,301,M404507282-0012-0004,20950.0,03,0.0,0.0,0.0
BEYAZ T-SHIRT,₺12.950,Kadin,301,M404509394-0012-0004,12950.0,03,0.0,0.0,0.0
SARI KETEN ŞAL,₺8.950,Kadin,301,M404969594-0072-0022,8950.0,03,0.0,0.0,0.0
BEYAZ-GRİ KOLSUZ BLUZ,₺15.950,Kadin,301,M404509395-0012-0004,15950.0,03,0.0,0.0,0.0
BEYAZ KETEN CEKET,₺35.950,Kadin,301,M404507281-0012-0004,35950.0,03,0.0,0.0,0.0
BEYAZ-GRİ ELBİSE,₺30.950,Kadin,301,M404507280-0021-0004,30950.0,03,0.0,0.0,0.0
BEYAZ-GRİ V YAKA ELBİSE,₺30.950,Kadin,301,M404507283-0012-0004,30950.0,03,0.0,0.0,0.0
GRİ V YAKA SÜVETER,₺39.950,Kadin,301,M404576969-0004,39950.0,03,0.0,0.0,0.0
AÇIK GRİ UZUN KOLLU GÖMLEK,₺45.950,Kadin,301,M404576972-0010,45950.0,03,0.0,0.0,0.0
GRİ KAPÜŞONLU MONT,₺57.950,Kadin,301,M404576968-0004,57950.0,03,0.0,0.0,0.0
MAVİ O YAKA TRİKO,₺25.950,Kadin,301,M405032774-0038,25950.0,03,0.0,0.0,0.0
ETEK,₺30.950,Kadin,301,M405115002-0047,30950.0,03,0.0,0.0,0.0
BLUZ,₺25.950,Kadin,301,M405114997-0047,25950.0,03,0.0,0.0,0.0
YEŞİL KETEN PANTOLON,₺18.950,Kadin,301,M404509401-0029-0027,18950.0,03,0.0,0.0,0.0
MAVİ-EKRU TRİKO,₺25.950,Kadin,301,M404497954-0038-0027,25950.0,03,0.0,0.0,0.0
AÇIK GRİ CEKET,₺70.950,Kadin,301,M404576971-0010-0012,70950.0,03,0.0,0.0,0.0
AÇIK GRİ BORU PAÇA PANTOLON,₺45.950,Kadin,301,M404576970-0010-0012,45950.0,03,0.0,0.0,0.0
KOYU GRİ PANTOLON,₺35.950,Kadin,301,M404576995-0006,35950.0,03,0.0,0.0,0.0
KOYU GRİ O YAKA TRİKO,₺42.665,Kadin,301,M404576993-0006,42665.0,03,0.0,0.0,-30.0
KOYU GRİ MİDİ ETEK,₺35.950,Kadin,301,M404576992-0006,35950.0,03,0.0,0.0,0.0
KOYU GRİ O YAKA TRİKO,₺28.665,Kadin,301,M404576973-0006,28665.0,03,0.0,0.0,-30.0
KOYU GRİ CEKET,₺75.950,Kadin,301,M404576996-0006,75950.0,03,0.0,0.0,0.0
