date,avg_inflation_1d,tuik_weighted_1d,avg_inflation_7d,tuik_weighted_7d,avg_inflation_15d,tuik_weighted_15d,avg_inflation_30d,tuik_weighted_30d
2026-05-14,0.0364567937727855,0.0232491481685627,-0.0677972939919314,-0.0432357161797164,-0.295248079514502,-0.1882866590178504,-1.6515968300591244,-1.0532821075244647
2026-05-15,0.0,0.0,-0.0707251920674749,-0.0451029031010962,-0.2412172828915695,-0.1538298271870392,-1.6542164624603526,-1.0549526598197456
2026-05-16,-0.2504527253856669,-0.1597181647672934,-0.2115689877123766,-0.1349216547319465,-0.4985632829416075,-0.3179447068471455,-1.8811031888813177,-1.1996403702995082
2026-05-17,0.0,0.0,-0.2112456525299328,-0.1347154225830695,-0.4995187178043876,-0.3185541147187814,-1.8853130707541783,-1.202320789332367
2026-05-18,0.0492554473758823,0.0314110455903861,-0.1613296940632829,-0.1028830868623491,-0.4530118409572058,-0.2888958462539205,-1.8214493192849368,-1.161591507977927
2026-05-19,0.0,0.0,-0.1627939635137946,-0.1038167665326877,-0.4594766169628406,-0.2930185525292624,-1.8320910493270968,-1.1683778095970063
2026-05-20,0.0,0.0,-0.1672592536576313,-0.1066643597864665,-0.4520078743548302,-0.2882550015874831,-1.829244431218492,-1.1665627591570278
2026-05-21,-0.0100083402835696,-0.0063824922581984,-0.2137230947028791,-0.1362951751434996,-0.2870456454190335,-0.1830550591126225,-1.283222543315606,-0.818346796775532
2026-05-22,0.0,0.0,-0.2137591417756912,-0.1363181669071878,-0.2864908767016513,-0.1827012496337522,-0.891224124800736,-0.5683576599257402
2026-05-23,-0.0746392436556643,-0.047598695996568,-0.0371638485816253,-0.0237000376941701,-0.3505224247621216,-0.223535532750512,-0.9917452403410992,-0.6324615672146979
2026-05-24,0.0,0.0,-0.0371824864194295,-0.0237119253572837,-0.2481466897549009,-0.158248104151172,-0.9935347481728228,-0.633602988559608
2026-05-25,0.0069783842353223,0.004450229476443,-0.0784293866263176,-0.0500158240888889,-0.2405959366516778,-0.1534328021443223,-0.9843131753221296,-0.6277219676734915
2026-05-26,0.0,0.0,-0.0782849977973821,-0.0499237293341219,-0.24047278568598,-0.1533542529282075,-0.9836043989582614,-0.6272698812725744
2026-05-27,0.0,0.0,-0.0783899550593863,-0.0499906736577345,-0.2418003638962921,-0.1542007462574492,-0.9873665196957936,-0.6296693896140682
2026-05-28,0.0,0.0,-0.0679814707968253,-0.0433529598876776,-0.2459663194350591,-0.1568574156537457,-0.8111726466310349,-0.5173058420747012
2026-05-29,0.0,0.0,-0.0679135346168152,-0.043309628593437,-0.2823646990674606,-0.1800693052639536,-0.5822960109707356,-0.3713444625874115
2026-05-30,0.0,0.0,0.007009646285157,0.0044701691040341,-0.2836320374919457,-0.180877526481323,-0.5266167940416173,-0.3358362043255622
2026-05-31,0.0,0.0,0.0070143015375463,0.0044731383296096,-0.0302312912081184,-0.0192790378488009,-0.5207983341986461,-0.3321249815799894
2026-06-01,0.0,0.0,0.0,0.0,-0.030256674324162233,-0.01929522783691718,-0.5201024417820028,-0.3316812666178663
