name,price,url,id
Alberta %100 Pamuk Çift Kişilik Nevresim Seti 200X220 Cm BEYAZ/SOGUK GRI,743199,https://www.chakra.com.tr/alberta-100-pamuk-cift-kisilik-nevresim-seti-200x220-cm-beyazsoguk-grı-8682313280595/,8682313280595
Bianca Bambu Yorgan 155X215 Cm Beyaz,11385,https://www.chakra.com.tr/bianca-bambu-yorgan-155x215-cm-beyaz-8682313468627/,8682313468627
Kapok Yorgan 195x215cm Beyaz,4535,https://www.chakra.com.tr/kapok-yorgan-195x215cm-beyaz-8682313381766/,8682313381766
Bettıe %100 Pamuk Çift Kişilik Nevresim Seti 200X220 Cm MAVI/KOYU GRI,2500,https://www.chakra.com.tr/bettie-100-pamuk-cift-kisilik-nevresim-seti-200x220-cm-mavıkoyu-grı-8682313276765/,8682313276765
Bianca Pamuk Yorgan 155x215cm Beyaz,11385,https://www.chakra.com.tr/bianca-pamuk-yorgan-155x215cm-beyaz-8682313468528/,8682313468528
Bianca Kaz Tüyü Yorgan 195x215cm Beyaz,1499999,https://www.chakra.com.tr/bianca-kaz-tuyu-yorgan-195x215cm-beyaz-8682313468825/,8682313468825
Valerıe Bambu Çift Kişilik Nevresim Seti 200X220 Cm Ekru/Bej,5000,https://www.chakra.com.tr/valerie-bambu-cift-kisilik-nevresim-seti-200x220-cm-ekrubej-8682313457416/,8682313457416
Aspen %100 Pamuk King Size Nevresim Seti 230X220 Cm Sedef,5000,https://www.chakra.com.tr/aspen-100-pamuk-king-size-nevresim-seti-230x220-cm-sedef-8682313372672/,8682313372672
Camella %100 Pamuk Çift Kişilik Nevresim Seti 200X220 Cm Beyaz/Mavı,5000,https://www.chakra.com.tr/camella-100-pamuk-cift-kisilik-nevresim-seti-200x220-cm-beyazmavi-8682313279377/,8682313279377
Annette %100 Pamuk King Size Nevresim Seti 230X220 Cm Antrasit,5000,https://www.chakra.com.tr/annette-100-pamuk-king-size-nevresim-seti-230x220-cm-antrasit-8682313279131/,8682313279131
Glad %100 Pamuk Çift Kişilik Nevresim Seti 200X220 Cm KOYU GRI/ANTRASIT,4250,https://www.chakra.com.tr/glad-100-pamuk-cift-kisilik-nevresim-seti-200x220-cm-koyu-grıantrasıt-8682313280038/,8682313280038
Nova %100 Pamuk Çift Kişilik Nevresim Seti 200X220 Cm Beyaz,4000,https://www.chakra.com.tr/nova-100-pamuk-cift-kisilik-nevresim-seti-200x220-cm-beyaz-8682313419971/,8682313419971
Edeline Yastık Kılıfı 50x70 cm Soğuk Gri,2695,https://www.chakra.com.tr/edeline-yastik-kilifi-50x70-cm-soguk-gri-8682313280717/,8682313280717
Aventura Battaniye Çift Kişilik 200x220 cm Koyu Gri,3190,https://www.chakra.com.tr/aventura-battaniye-cift-kisilik-200x220-cm-koyu-gri-8682313349667/,8682313349667
Bianca Pamuk Yorgan 225x215cm Beyaz,999999,https://www.chakra.com.tr/bianca-pamuk-yorgan-225x215cm-beyaz-8682313468542/,8682313468542
Classıc Bambu King Size Düz Çarşaf 280X290 Cm Somon,2995,https://www.chakra.com.tr/classic-bambu-king-size-duz-carsaf-280x290-cm-somon-8682313209329/,8682313209329
Wave %100 Pamuk King Size Nevresim Seti 230X220 Cm Beyaz,5500,https://www.chakra.com.tr/wave-100-pamuk-king-size-nevresim-seti-230x220-cm-beyaz-8682313316706/,8682313316706
