Ana Kategori,Kategori ID,Stok Kodu,Ürün Adı,Fiyat,tuik_category,basic_inflation_1d
Kadin,301,M404576968-0004,GRİ MONT,57950.0,03,0.0
Kadin,301,M404576972-0010,AÇIK GRİ UZUN KOLLU GÖMLEK,45950.0,03,0.0
Kadin,301,M404509401-0029-0027,PANTOLON,18950.0,03,0.0
Kadin,301,M404497954-0038-0027,MAVİ-EKRU TRİKO,25950.0,03,0.0
Kadin,301,M404340142-0025,MONT,52950.0,03,0.0
Kadin,301,M404340143-0021,BEJ DİK YAKA CEKET,40950.0,03,0.0
Kadin,301,M404564781-0014,KAHVE MONT,47950.0,03,0.0
Kadin,301,M301602031-0014-0012,KAHVE ÇİZGİLİ CEKET,30950.0,03,0.0
Kadin,301,M403607684-0088-0027,CAMEL İPEK TRİKO,62950.0,03,0.0
Kadin,301,M403354842-0088,CAMEL O YAKA,9950.0,03,0.0
Kadin,301,M403953962-0088,CAMEL SPOR PANTOLON,11950.0,03,0.0
Kadin,301,M403953958-0088,CAMEL SWEATSHIRT,15950.0,03,0.0
Kadin,301,M403056791-0088,KOLYE,23950.0,03,0.0
Kadin,301,M405817733-0020,AÇIK KAHVE TRİKO,10950.0,03,0.0
Kadin,301,M404299032-0088,CAMEL MONT,49950.0,03,0.0
Kadin,301,M404372997-0015,KAHVE DEKOLTELİ ELBİSE,19950.0,03,0.0
Kadin,301,M404480869-0014,PANTOLON,20950.0,03,0.0
Kadin,301,M404480872-0014,KAHVE KRUVAZE GÖMLEK,20950.0,03,0.0
Kadin,301,M405941728-0014,KAHVE ASKILI DİZ ALTI ELBİSE,25950.0,03,0.0
Kadin,301,M301602032-0014-0012,KAHVE ÇİZGİLİ BORU PAÇA PANTOLON,18950.0,03,0.0
Kadin,301,M403607682-0088-0027,CAMEL İPEK PANTOLON,70950.0,03,0.0
Kadin,301,M404356839-0015,KOYU KAHVE KOL DETAYLI ELBİSE,25950.0,03,0.0
Kadin,301,M404480399-0014,KAHVE KOLSUZ GÖMLEK,30950.0,03,0.0
Kadin,301,M404496730-0014-0027,KAHVE KAYIK YAKA TRİKO,25950.0,03,0.0
Kadin,301,M404496732-0014-0027,KAHVE MİDİ ETEK,20950.0,03,0.0
Kadin,301,M404573193-0088,CAMEL PARDÖSÜ,57950.0,03,0.0
Kadin,301,M404700110-0014-0021,KAHVE HAKİM YAKA CEKET,52950.0,03,0.0
Kadin,301,M405092257-0088,CAMEL DOKULU CEKET,80950.0,03,0.0
Kadin,301,M405325844-0014-0021,ŞAPKA,15950.0,03,0.0
Kadin,301,M405326298-0014,ŞAPKA,15950.0,03,0.0
Kadin,301,M405336109-0088,CAMEL UZUN KOLLU ELBİSE,30950.0,03,0.0
