id,category,shown_price,tuik_category,basic_inflation_1d,basic_inflation_7d,basic_inflation_15d,basic_inflation_30d
Akdeniz Toros Piliç But (Donuk Olarak Satılır) - 1 Kg.,Et ve Tavuk,259.9,01,0.0,13.049151805132652,,
Akdeniz Toros Piliç Kanat (Donuk Olarak Satılır) - 1 Kg.,Et ve Tavuk,529.9,01,0.0,10.418837257762034,,
Akdeniz Toros Piliç Kangal Sucuk 250 Gr,Et ve Tavuk,189.9,01,0.0,0.0,0.0,0.0
Akdeniz Toros Piliç Nuggut 500 Gr,Et ve Tavuk,279.9,01,0.0,0.0,0.0,0.0
Akdeniz Toros Tavuk Döner (Pişmiş) 250 Gr (Donuk Olarak Satılır),Et ve Tavuk,189.9,01,0.0,0.0,0.0,0.0
Apikoğlu Dana Antrikot Pastırma 70 Gr,Et ve Tavuk,259.9,01,0.0,30.01500750375186,30.01500750375186,30.01500750375186
Apikoğlu Dana Çemeni Sıyrılmış Pastırma 90 GR,Et ve Tavuk,519.0,01,0.0,7.010309278350515,7.010309278350515,7.010309278350515
Apikoğlu Dana Kangal Sucuk - 500 Gr.,Et ve Tavuk,1199.5,01,0.0,0.0,20.01000500250125,0.0
Apikoğlu Dana Kangal Sucuk 280 Gr,Et ve Tavuk,749.9,01,0.0,0.0,0.0,
Apikoğlu Dana Parmak Sucuk - 500 Gr.,Et ve Tavuk,1199.5,01,0.0,0.0,20.01000500250125,0.0
Apikoğlu Kurutulmuş Dana Füme Et 100 GR,Et ve Tavuk,569.0,01,0.0,9.633911368015415,9.633911368015415,9.633911368015415
Çapanoğlu Çemeni Sıyrılmış Pastırma 80 Gr,Et ve Tavuk,359.9,01,0.0,0.0,0.0,0.0
Çapanoğlu Dana Kurutulmuş Füme Et 60 Gr,Et ve Tavuk,299.9,01,0.0,0.0,0.0,0.0
Çapanoğlu Fümechef Dana Füme Antrikot 100 Gr,Et ve Tavuk,299.9,01,0.0,0.0,-25.006251562890725,0.0
Çapanoğlu Fümechef Karabiberli Dana Rosatbeef 100 Gr,Et ve Tavuk,299.9,01,0.0,0.0,-25.006251562890725,
Cumhuriyet Acılı Parmak Sucuk - 500 Gr.,Et ve Tavuk,899.95,01,0.0,0.0,-18.14915870850386,0.0
Cumhuriyet Çemeni Sıyrılmış Pastırma 90 Gr,Et ve Tavuk,399.9,01,0.0,0.0,0.0,
Cumhuriyet Kangal Fermente Sucuk - 500 Gr.,Et ve Tavuk,899.95,01,0.0,0.0,-18.14915870850386,0.0
Cumhuriyet Küvet Sucuk 300 Gr,Et ve Tavuk,659.9,01,0.0,0.0,0.0,0.0
Dana Haşlamalık Et - 500 Gr.,Et ve Tavuk,579.95,01,0.0,1.7545398719185892,1.7545398719185892,1.7545398719185892
Dana İşkembe - 500 Gr.,Et ve Tavuk,99.95,01,0.0,0.0,,
Dana Kol Kuşbaşı - 500 Gr.,Et ve Tavuk,549.95,01,0.0,1.8520233354940272,1.8520233354940272,1.8520233354940272
Dana Kol Kuşbaşı Kıymalık - 500 Gr.,Et ve Tavuk,549.95,01,0.0,1.8520233354940272,1.8520233354940272,1.8520233354940272
Dana Kontrfile - 500 Gr.,Et ve Tavuk,769.95,01,0.0,1.3158760444766102,28.43202668890743,1.3158760444766102
Dana Nuar - 500 Gr.,Et ve Tavuk,579.95,01,0.0,1.7545398719185892,1.7545398719185892,1.7545398719185892
Dana Sote - 500 Gr.,Et ve Tavuk,609.95,01,0.0,1.6668055671305941,1.6668055671305941,1.6668055671305941
Erpiliç But - 1 Kg.,Et ve Tavuk,149.9,01,0.0,0.0,0.0,
Erpiliç Schnitzel 300 Gr,Et ve Tavuk,89.9,01,0.0,0.0,0.0,12.515644555694616
Fümechef Cotto Dana,Et ve Tavuk,299.9,01,0.0,0.0,-25.006251562890725,0.0
Fümechef Sade Roastbeef Dana,Et ve Tavuk,299.9,01,0.0,0.0,-25.006251562890725,0.0
Gedik Bonfile Pi - 1 Kg.,Et ve Tavuk,225.0,01,,,,
Gedik Izgara - kanat Pi - 1 Kg.,Et ve Tavuk,299.9,01,,,,
Gedik Izgara - Tava Pi - 1 Kg.,Et ve Tavuk,319.9,01,0.0,,,
Gedik Poşet Bütün Pi - 2 Kg.,Et ve Tavuk,279.8,01,0.0,,,
Gürmar Dana Kangal Sucuk - 500 Gr.,Et ve Tavuk,899.95,01,0.0,,5.882698982293076,5.882698982293076
"Kuzu But İnciksiz - 2,5 Kg.",Et ve Tavuk,2699.75,01,0.0,0.0,2.857414991903991,9.09182745731892
Kuzu But Tandır - 2 Kg.,Et ve Tavuk,2659.8,01,0.0,,,
Kuzu Gerdan - 500 Gr.,Et ve Tavuk,484.95,01,0.0,0.0,3.1918289179699966,10.228435049437437
"Kuzu Kol - 1,5 Kg.",Et ve Tavuk,1544.85,01,0.0,0.0,3.0003000300030007,8.421939151489632
Kuzu Pirzola - 500 Gr.,Et ve Tavuk,814.95,01,0.0,0.0,1.8751171948246763,7.237318244621356
Kuzu Şiş - 500 Gr.,Et ve Tavuk,744.95,01,0.0,0.0,2.0549352695390093,7.9715921443582864
Lezita But - 1 Kg.,Et ve Tavuk,135.0,01,0.0,0.0,12.59382819015846,
Lezita But Izgara Derisiz - 1 Kg.,Et ve Tavuk,279.9,01,0.0,0.0,12.004801920768296,
Lezita Fileto - 1 Kg.,Et ve Tavuk,225.0,01,0.0,0.0,-13.428241631396684,
Lezita Piliç Baton Sucuk 450 Gr,Et ve Tavuk,119.9,01,0.0,0.0,0.0,0.0
"Lezita Poşetli Bütün Piliç - 1,5 Kg.",Et ve Tavuk,209.85,01,0.0,0.0,7.698229407236336,7.698229407236336
Maret Afiyetle Dana Kokteyl Sosis 200 gr,Et ve Tavuk,219.9,01,0.0,0.0,29.42907592701589,0.0
Maret Afiyetle Dana Sucuk 200 Gr,Et ve Tavuk,230.0,01,0.0,0.0,,0.0
Maret Boncuk Sucuk 220 Gr,Et ve Tavuk,349.9,01,0.0,0.0,0.0,34.62870334744132
Maret Çemeni Sıyrılmış Pastırma 100 Gr,Et ve Tavuk,379.9,01,0.0,0.0,0.0,0.0
Maret Küvet Sucuk 300 Gr,Et ve Tavuk,259.9,01,0.0,0.0,,-33.341882533983075
Maret Pratik Dana Macar Salam 50 Gr,Et ve Tavuk,59.9,01,0.0,0.0,0.0,20.04008016032064
Maret Pratik Hindi Füme 60 Gr,Et ve Tavuk,49.9,01,0.0,0.0,0.0,25.062656641604008
Maret Pratik Hindi Salam 8 Dilim 60 gr,Et ve Tavuk,34.9,01,0.0,0.0,34.74903474903475,0.0
Maret Pratik Sosis 140 Gr,Et ve Tavuk,69.9,01,0.0,0.0,0.0,40.0801603206413
Maret Sosis 5'li 240 Gr,Et ve Tavuk,299.9,01,0.0,0.0,0.0,0.0
Namet 7/24 Dana Jambon 50 Gr,Et ve Tavuk,84.9,01,0.0,0.0,0.0,0.0
Namet 7/24 Hindi Füme 60 Gr,Et ve Tavuk,34.95,01,0.0,0.0,0.0,0.0
Namet 7/24 Hindi Salam 60 Gr,Et ve Tavuk,27.9,01,0.0,0.0,0.0,0.0
Namet 7/24 Hindi Sosis 140 Gr,Et ve Tavuk,59.9,01,0.0,-7.704160246533139,-7.704160246533139,-7.704160246533139
Namet Dana Kangal Sucuk 200 Gr,Et ve Tavuk,239.9,01,0.0,0.0,20.01000500250125,0.0
Namet Dana Kangal Sucuk 300 Gr,Et ve Tavuk,359.9,01,0.0,0.0,0.0,20.00666888962988
Namet Dilimli Hindi Jambon 130 Gr,Et ve Tavuk,109.9,01,0.0,0.0,0.0,0.0
Namet Gurme Dana Sucuk 240 Gr,Et ve Tavuk,399.9,01,0.0,0.0,0.0,0.0
Namet Hindi Uzun Sosis 210 Gr,Et ve Tavuk,99.95,01,0.0,0.0,25.0938673341677,
Namet Hindi Uzun Sosis 420 Gr,Et ve Tavuk,169.9,01,0.0,0.0,-15.007503751875936,
Namet Kokteyl Dana Sosis 250 Gr,Et ve Tavuk,299.9,01,0.0,0.0,25.010421008753635,0.0
Namet Nam Nam Pişmiş Dana Döner 200 Gr,Et ve Tavuk,199.9,01,0.0,0.0,-13.049151805132666,-13.049151805132666
Namet Piliç Füme 150 Gr,Et ve Tavuk,89.9,01,0.0,0.0,0.0,0.0
Namet Sofram Kangal Sucuk 220 Gr,Et ve Tavuk,119.9,01,0.0,0.0,0.0,0.0
Pınar Aç Bitir Büyük Dilim Hindi Salam 60 Gr,Et ve Tavuk,41.9,01,0.0,0.0,0.0,0.0
Pınar Aç Bitir Dana Macar Salam 60 Gr,Et ve Tavuk,64.9,01,,0.0,-20.368098159509195,-20.368098159509195
Pınar Aç Bitir Fıstıklı Hindi Salam 50 Gr,Et ve Tavuk,40.75,01,0.0,13.509749303621174,13.509749303621174,
Pınar Aç Bitir Hindi Füme 60 Gr,Et ve Tavuk,46.9,01,0.0,0.0,,0.0
Pınar Aç Bitir Hindi Salam 75 Gr,Et ve Tavuk,46.5,01,0.0,29.52646239554318,29.52646239554318,33.23782234957021
Pınar Aç Bitir Kokteyl Sosis 180 Gr,Et ve Tavuk,69.9,01,,0.0,-19.56271576524741,-19.56271576524741
Pınar Dana Sosis 430 Gr,Et ve Tavuk,425.0,01,,0.0,-14.98299659931986,-14.98299659931986
Pınar Doyum Hindi Salam 500 Gr,Et ve Tavuk,179.9,01,0.0,0.0,28.591851322373124,0.0
Pınar Gurme Dana Sucuk 250 Gr,Et ve Tavuk,499.9,01,0.0,25.006251562890725,25.006251562890725,0.0
Pınar Gurme Hindi Füme 110Gr But Etli,Et ve Tavuk,114.9,01,0.0,0.0,0.0,0.0
Pınar Gurme Hindi Füme 110Gr Karabiberli,Et ve Tavuk,95.0,01,0.0,0.0,0.0,0.0
Pınar Gurme Hindi Füme 150Gr,Et ve Tavuk,129.9,01,0.0,0.0,0.0,
Pınar Hindi Uzun Sosis 430 Gr,Et ve Tavuk,209.0,01,0.0,0.0,30.706691682301436,0.0
Pınar İllaki Kasap Sucuk 300 Gr,Et ve Tavuk,499.9,01,0.0,0.0,0.0,0.0
Pınar İllaki Misket Köfte 390 Gr,Et ve Tavuk,459.95,01,0.0,0.0,,0.0
Pınar Klasik Kangal Sucuk 225 Gr,Et ve Tavuk,399.0,01,0.0,0.0,0.0,0.0
Pınar Macar Salam Aç Bitir Büyük Dilim 50 Gr,Et ve Tavuk,67.75,01,0.0,0.0,0.0,0.0
Pınar Mangal Keyfi Sucuk 300 Gr,Et ve Tavuk,215.0,01,,0.0,,0.0
Pınar Şölen Dana Sucuk 180 Gr,Et ve Tavuk,249.9,01,0.0,0.0,0.0,0.0
Pınar Sosis Dana Hot Dog 295 Gr,Et ve Tavuk,399.9,01,,0.0,,
Tire Süt Dana Döner 200 Gr,Et ve Tavuk,499.9,01,0.0,,,0.0
Tiresüt Şiş Köfte 250 Gr,Et ve Tavuk,499.9,01,0.0,,0.0,0.0
Torku Dilimli Salam 50 Gr,Et ve Tavuk,64.95,01,0.0,8.430717863105183,8.430717863105183,8.430717863105183
Torku Isılı İşlem Görmüş Vakum Sucuk 180 Gr,Et ve Tavuk,239.9,01,0.0,9.095043201455207,9.095043201455207,9.095043201455207
Torku Mini Kokteyl Sosis 100 Gr,Et ve Tavuk,129.9,01,0.0,8.340283569641366,8.340283569641366,
Yayla Köri Soslu Tavuk 200 Gr,Et ve Tavuk,106.95,01,0.0,0.0,33.33748909113578,0.0
Activia Ananas&Yulaf&Hindistan Cevizli Probiyotikli Blow,"Süt, Kahvaltılık, Sark.",57.5,01,,0.0,,
Activia Doğal Probiyotikli Ananaslı Yoğurt 4*100 Gr,"Süt, Kahvaltılık, Sark.",99.5,01,,0.0,0.0,0.0
Activia Doğal Probiyotikli Çilekli Yoğurt 4*100 Gr,"Süt, Kahvaltılık, Sark.",99.5,01,,0.0,0.0,0.0
Activia Doğal Probiyotikli İncir&Cevizli Yoğurt 4*100 Gr,"Süt, Kahvaltılık, Sark.",99.5,01,,0.0,0.0,0.0
Activia Doğal Probiyotikli Kuru Kayısılı Yoğurt 4*100 Gr,"Süt, Kahvaltılık, Sark.",99.5,01,,0.0,0.0,
Activia Doğal Probiyotikli Orman Meyveli Yoğurt 4*100 Gr,"Süt, Kahvaltılık, Sark.",99.5,01,,0.0,0.0,0.0
Activia Doğal Probiyotikli Sade Yoğurt 4*100 Gr,"Süt, Kahvaltılık, Sark.",99.5,01,,0.0,0.0,0.0
Activia Laktozsuz Probiyotik Sade Yoğurt 4'lü 100 Gr,"Süt, Kahvaltılık, Sark.",99.5,01,,0.0,0.0,
Activia Probiyotikli Bowl Ahududu&Yulaf&Ceviz,"Süt, Kahvaltılık, Sark.",57.5,01,0.0,0.0,0.0,43.9299123904881
Activia Probiyotikli Bowl Muz&Yulaf&Fındık,"Süt, Kahvaltılık, Sark.",57.5,01,0.0,0.0,0.0,43.9299123904881
Activia Probiyotikli Bowl Yaban Mersini&Chia,"Süt, Kahvaltılık, Sark.",57.5,01,0.0,0.0,0.0,
Activia Shot Sade 80 Ml,"Süt, Kahvaltılık, Sark.",32.5,01,,,0.0,
Activia x2 Probiyotik Ahududu&Hibisküs Shot 80 Ml,"Süt, Kahvaltılık, Sark.",32.5,01,,18.181818181818183,0.0,0.0
Akdeniz Toros Mantı 500 Gr,"Süt, Kahvaltılık, Sark.",179.9,01,0.0,0.0,0.0,0.0
Alan Kuru Sele Zeytin - 500 Gr.,"Süt, Kahvaltılık, Sark.",199.95,01,0.0,0.0,0.0,0.0
Alan Yağlı Sele Zeytin - 500 Gr.,"Süt, Kahvaltılık, Sark.",249.95,01,0.0,0.0,0.0,0.0
Alpro Şekersiz Badem Sütü 1 Lt,"Süt, Kahvaltılık, Sark.",225.0,01,0.0,,,
Anavarza Çam Balı 325 Gr,"Süt, Kahvaltılık, Sark.",349.9,01,0.0,0.0,0.0,0.0
Anavarza Çam Balı 450 Gr,"Süt, Kahvaltılık, Sark.",399.9,01,0.0,0.0,0.0,0.0
Anavarza Çam Balı 850 Gr,"Süt, Kahvaltılık, Sark.",699.9,01,0.0,0.0,0.0,0.0
Anavarza Çiçek Balı 450 Gr,"Süt, Kahvaltılık, Sark.",337.5,01,12.537512504168063,12.537512504168063,12.537512504168063,12.537512504168063
Anavarza Çiçek Balı 850 Gr,"Süt, Kahvaltılık, Sark.",499.9,01,0.0,0.0,-16.669444907484582,-16.669444907484582
Anavarza Çiçek Balı Akıllı Kapak 325 Gr,"Süt, Kahvaltılık, Sark.",317.5,01,0.0,0.0,0.0,22.13887286016542
Anavarza Keven Kekik Balı 450 Gr,"Süt, Kahvaltılık, Sark.",499.9,01,0.0,0.0,0.0,0.0
Anavarza Keven Kekik Balı 850 Gr,"Süt, Kahvaltılık, Sark.",845.9,01,5.750718839854982,,5.750718839854982,5.750718839854982
Anavarza Kral Şakir Bal Tüpü 40 Gr,"Süt, Kahvaltılık, Sark.",44.9,01,0.0,0.0,-18.214936247723134,0.0
Aoç Fındık Kreması 700 Gr,"Süt, Kahvaltılık, Sark.",229.95,01,0.0,0.0,0.0,0.0
Arnilya Sele Siyah Zeytin - 500 Gr.,"Süt, Kahvaltılık, Sark.",169.95,01,0.0,0.0,0.0,0.0
Arnilya Yağlı Sele Zeytin - 500 Gr.,"Süt, Kahvaltılık, Sark.",219.95,01,0.0,0.0,15.793629902605948,0.0
Balkovan Çiçek Balı 850 Gr,"Süt, Kahvaltılık, Sark.",499.9,01,0.0,0.0,0.0,
Balkovan Süzme Çiçek Balı 460 Gr,"Süt, Kahvaltılık, Sark.",259.9,01,0.0,0.0,0.0,
Balparmak Apitera Zen 7'li 7 Gr,"Süt, Kahvaltılık, Sark.",124.9,01,0.0,0.0,0.0,25.025025025025023
Balparmak Çam Balı Çıt Kapak 350 Gr,"Süt, Kahvaltılık, Sark.",349.9,01,0.0,0.0,0.0,0.0
Balparmak Çiçek Balı 850 Gr,"Süt, Kahvaltılık, Sark.",699.9,01,0.0,0.0,0.0,0.0
Balparmak Çiçek Balı Çıt Kapak 350 Gr,"Süt, Kahvaltılık, Sark.",349.9,01,0.0,0.0,0.0,0.0
Balparmak Süzme Çam Balı Kavanoz 460 Gr,"Süt, Kahvaltılık, Sark.",426.9,01,0.0,0.0,0.0,0.0
Balparmak Süzme Çam Balı Kavanoz 850 Gr,"Süt, Kahvaltılık, Sark.",699.9,01,0.0,0.0,0.0,16.669444907484582
Balparmak Süzme Çiçek Balı Kavanoz 460 Gr,"Süt, Kahvaltılık, Sark.",426.9,01,0.0,0.0,0.0,0.0
Balparmak Yayla Süzme Çiçek Bal 600 Gr,"Süt, Kahvaltılık, Sark.",449.9,01,0.0,0.0,-22.417658216933955,-22.417658216933955
Balparmak Yayla ve Ova Süzme Çiçek Balı Çıt Kapak 350 Gr,"Süt, Kahvaltılık, Sark.",299.95,01,0.0,0.0,0.0,0.0
Balparmak Yayla ve Ova Süzme Çiçek Balı Kavanoz 850 Gr,"Süt, Kahvaltılık, Sark.",524.9,01,0.0,0.0,31.257814453613403,0.0
Becel Kase Margarin 250 Gr,"Süt, Kahvaltılık, Sark.",73.5,01,0.0,13.076923076923078,41.34615384615385,13.076923076923078
