id,shown_price,category,tuik_category,basic_inflation_1d,basic_inflation_7d,basic_inflation_15d,basic_inflation_30d
Kuzu Yarım Kol - 1 Kg._1kg,,Bilinmiyor,,,,,
Lezita Baget - 1 Kg._1kg,,Bilinmiyor,,,,,
Lezita But - 1 Kg._1kg,,Bilinmiyor,,,,,
Lezita But Izgara Derisiz - 1 Kg._1kg,,Bilinmiyor,,,,,
Lezita But Pirzola - 1 Kg._1kg,,Bilinmiyor,,,,,
Lezita Fileto - 1 Kg._1kg,,Bilinmiyor,,,,,
Lezita Izgara Üst Kanat - 1 Kg._1kg,,Bilinmiyor,,,,,
Lezita Piliç Baton Sucuk 450 Gr,119.9,Et ve Tavuk,01,,,,
"Lezita Poşetli Bütün Piliç - 1,5 Kg._1kg",,Bilinmiyor,,,,,
Maret Afiyetle Dana Kokteyl Sosis 200 gr,169.9,Et ve Tavuk,01,,,,
Maret Afiyetle Dana Sucuk 200 Gr,199.9,Et ve Tavuk,01,,,,
Maret Boncuk Sucuk 220 Gr,349.9,Et ve Tavuk,01,,,,
Maret Çemeni Sıyrılmış Pastırma 100 Gr,259.9,Et ve Tavuk,01,,,,
Maret Küvet Sucuk 300 Gr,389.9,Et ve Tavuk,01,,,,
Maret Lezzetince Hindi Füme 110 Gr,96.5,Et ve Tavuk,01,,,,
Maret Pratik Dana Macar Salam 50 Gr,59.9,Et ve Tavuk,01,,,,
Maret Pratik Hindi Füme 60 Gr,49.9,Et ve Tavuk,01,,,,
Maret Pratik Hindi Salam 8 Dilim 60 gr,34.9,Et ve Tavuk,01,,,,
Maret Pratik Sosis 140 Gr,69.9,Et ve Tavuk,01,,,,
Maret Sosis 5'li 240 Gr,299.9,Et ve Tavuk,01,,,,
Namet 7/24 Dana Jambon 50 Gr,84.9,Et ve Tavuk,01,,,,
Namet 7/24 Dana Macar Salam 50 Gr,59.9,Et ve Tavuk,01,,,,
Namet 7/24 Hindi Salam 60 Gr,25.9,Et ve Tavuk,01,,,,
Namet 7/24 Hindi Sosis 140 Gr,64.9,Et ve Tavuk,01,,,,
Namet Dana Kangal Sucuk 200 Gr,199.9,Et ve Tavuk,01,,,,
Namet Dana Kangal Sucuk 300 Gr,359.9,Et ve Tavuk,01,,,,
Namet Dana Kavurma 80 Gr,219.9,Et ve Tavuk,01,,,,
Namet Dilimli Hindi Jambon 130 Gr,109.9,Et ve Tavuk,01,,,,
Namet Gurme Dana Sucuk 240 Gr,399.9,Et ve Tavuk,01,,,,
Namet Hindi Uzun Sosis 420 Gr,199.9,Et ve Tavuk,01,,,,
Namet Nam Nam Pişmiş Dana Döner 200 Gr,229.9,Et ve Tavuk,01,,,,
Namet Sofram Kangal Sucuk 220 Gr,119.9,Et ve Tavuk,01,,,,
Namet Sofram Piliç Kokteyl Sosis 250 Gr,89.9,Et ve Tavuk,01,,,,
Pınar Aç Bitir Büyük Dilim Hindi Salam 60 Gr,32.9,Et ve Tavuk,01,,,,
Pınar Aç Bitir Dana Macar Salam 60 Gr,81.5,Et ve Tavuk,01,,,,
Pınar Aç Bitir Fıstıklı Hindi Salam 50 Gr,40.75,Et ve Tavuk,01,,,,
Pınar Aç Bitir Hindi Salam 75 Gr,46.5,Et ve Tavuk,01,,,,
Pınar Aç Bitir Kokteyl Sosis 180 Gr,86.9,Et ve Tavuk,01,,,,
