id,category,product_id,shown_price,tuik_category,basic_inflation_1d,basic_inflation_7d,basic_inflation_15d,basic_inflation_30d
Anavarza Çam Balı 850 Gr,"Süt, Kahvaltılık, Sark.",8406,699.9,01,0.0,0.0,0.0,0.0
Anavarza Çiçek Balı 450 Gr,"Süt, Kahvaltılık, Sark.",7129,337.5,01,0.0,0.0,0.0,0.0
Anavarza Çiçek Balı 850 Gr,"Süt, Kahvaltılık, Sark.",8410,599.9,01,0.0,0.0,0.0,20.004000800160032
Anavarza Çiçek Balı Akıllı Kapak 325 Gr,"Süt, Kahvaltılık, Sark.",614,259.9,01,0.0,-18.141732283464574,-3.7050759540570586,-18.141732283464574
Anavarza Keven Kekik Balı 450 Gr,"Süt, Kahvaltılık, Sark.",9848,499.9,01,0.0,0.0,0.0,0.0
Anavarza Keven Kekik Balı 850 Gr,"Süt, Kahvaltılık, Sark.",1757,845.9,01,0.0,0.0,0.0,0.0
Anavarza Kral Şakir Bal Tüpü 40 Gr,"Süt, Kahvaltılık, Sark.",1419,54.9,01,0.0,0.0,0.0,22.271714922049
Abalı Yağ  Pet Şişe Ayçiçek Yağı 1LT,Temel Gıda,6548,99.95,01,0.0,,,
Abalı Yağ  Pet Şişe Ayçiçek Yağı 2LT,Temel Gıda,4192,239.9,01,0.0,,,
Abalı Yağ  Pet Şişe Ayçiçek Yağı 4LT,Temel Gıda,4193,399.9,01,0.0,,,
Agora Kapari Cam 185 Cc,Temel Gıda,4489,84.9,01,0.0,0.0,0.0,0.0
Ala Çiftçi Baldo Pirinç 1 kg,Temel Gıda,10861,94.9,01,0.0,,0.0,0.0
Ala Çiftçi Dermasyon Fasulye 1 Kg,Temel Gıda,6589,79.9,01,0.0,0.0,0.0,0.0
Ala Çiftçi Kırmızı Mercimek 1 kg,Temel Gıda,10857,59.95,01,0.0,0.0,0.0,0.0
Ala Çiftçi Koçbaşı Nohut 1 kg,Temel Gıda,10858,74.9,01,0.0,0.0,0.0,0.0
Ala Çiftçi Köftelik Bulgur 1 kg,Temel Gıda,10860,43.75,01,0.0,0.0,0.0,9.511889862327902
Ala Çiftçi Osmancık Pirinç 1 kg,Temel Gıda,10854,79.9,01,0.0,0.0,0.0,0.0
Ala Çiftçi Pilavlık Bulgur 1 kg,Temel Gıda,10859,43.75,01,0.0,0.0,0.0,9.511889862327902
Ala Çiftçi Uzun Tane Pirinç 1 kg,Temel Gıda,10855,52.9,01,0.0,0.0,0.0,0.0
Alaçatı Damla Sakızlı Kurabiye 250 Gr,Temel Gıda,1488,209.95,01,0.0,0.0,0.0,0.0
Alaçatı Tahinli Kurabiye 250 Gr,Temel Gıda,772,209.95,01,0.0,0.0,0.0,0.0
Alaçatı Tarçınlı Kurabiye 250 Gr,Temel Gıda,808,209.95,01,0.0,0.0,0.0,0.0
Alaçatı Üzümlü Kurabiye 250 Gr,Temel Gıda,1489,209.95,01,0.0,0.0,0.0,0.0
Ally Tortilla 15 Cm Lavaş 10 Lu Vegan 300 Gr,Temel Gıda,9888,79.95,01,0.0,0.0,0.0,0.0
Aly Izgara Tortilla Lavaş 25 cm 8'li 520 gr,Temel Gıda,9889,114.5,01,0.0,0.0,0.0,0.0
Aly Vegan Tortilla 6'lı 390 Gr,Temel Gıda,12526,89.95,01,0.0,0.0,28.591851322373124,0.0
Ankara Arpa Şehriye 500 Gr,Temel Gıda,800,34.95,01,0.0,0.0,12.924071082390965,12.924071082390965
Ankara Boncuk Makarna 500 Gr,Temel Gıda,794,34.95,01,,0.0,12.924071082390965,12.924071082390965
Ankara Burgu Makarna 500 Gr,Temel Gıda,798,34.95,01,0.0,0.0,12.924071082390965,12.924071082390965
Ankara Fiyonk Makarna 500 Gr,Temel Gıda,790,34.95,01,,,12.924071082390965,12.924071082390965
Ankara Kalem Makarna 500 Gr,Temel Gıda,5378,34.95,01,0.0,,12.924071082390965,12.924071082390965
Ankara Kelebek Makarna 500 Gr,Temel Gıda,7341,34.95,01,0.0,0.0,12.924071082390965,12.924071082390965
"Abant Su 0,5 LT",İçecekler,11468,5.75,01,0.0,0.0,0.0,21.052631578947366
"Abant Su 1,5 LT",İçecekler,11469,11.5,01,0.0,0.0,0.0,21.052631578947366
Abant Su 5 Lt,İçecekler,11470,36.0,01,0.0,0.0,0.0,22.033898305084744
