date,avg_inflation_1d,tuik_weighted_1d,avg_inflation_7d,tuik_weighted_7d,avg_inflation_15d,tuik_weighted_15d,avg_inflation_30d,tuik_weighted_30d,basket_inflation_1d,basket_inflation_7d,basket_inflation_15d,basket_inflation_30d
2026-04-07,0.3985425525543279,0.3883634542213777,3.168584289846572,2.3593851204698555,3.9692186953102695,3.091432958565484,5.032613874521182,4.015298209395418,0.4695797995380691,1.839309267118974,3.1571117678435097,3.4256460341085635
2026-04-08,0.4094065893552573,0.3173447195798449,1.7653632917952091,1.5540434771774134,3.950191134790642,2.9483329820119484,4.275116942031557,3.185490170757507,0.6206658203495334,1.9573519479189208,3.369718382503356,3.8591480417015376
2026-04-09,-0.3511621965037472,-0.1654867769246284,1.4254859594554787,1.3601396787807003,3.549520250901996,2.6703608432842225,3.6195391749880335,2.7462784851441326,-0.6981361260749939,1.4827998631913593,2.612250757905007,3.079708198479363
2026-04-10,0.1810046121953417,0.2515359140563931,0.623761665226624,0.9356530823452044,3.653557671371569,2.936681034804405,3.232537689319466,2.8322317350392283,-0.0329236017946412,0.3710149895647539,2.56250766888454,1.8044168464776875
2026-04-11,-0.0367668072995506,-0.0489849577774659,0.6631522101998889,0.947129411855661,4.091582520169293,3.1580331184024817,3.189609807450852,2.6681943187598027,-0.0243834315421337,0.4412611037972718,2.935220621375203,2.366620649419813
2026-04-12,-0.0014121029678829,-0.001399624243299,0.6502179181172432,0.9227234434670384,4.176971321004275,3.497450833166764,3.523517911549947,2.962188319180273,0.0111823981706146,0.4625865472385116,2.889824131931682,2.66205047262843
2026-04-13,0.4270019178338752,0.4911694043267104,0.8448942117963529,1.195829713965702,4.858088914533613,3.7809819754312297,3.802384793585048,3.13234627712687,0.2378319169240852,0.5378809893760658,3.1774793963282324,2.716766627002047
2026-04-14,0.0702658690313888,0.0754031584223617,0.6740530705982135,0.8881351020737704,4.515773269435252,3.82466328887796,3.975765386259697,3.3958898862862616,0.066359266937544,0.2739063875116262,2.8439700654021816,2.987249822743497
2026-04-15,0.5059112777950913,-0.2877706301710309,0.9080780493160174,0.4429077247342254,3.260996855137747,1.2142214529833042,4.648617285165347,2.200716220011072,-0.3121368597305421,-0.5562717489891302,2.311484571007965,4.009101872706474
2026-04-16,0.0150459367141734,-0.0728851296434282,1.3153359566961706,0.6142311833689025,2.739780764986808,1.9128957237649773,4.203100001515295,1.297667118239646,0.0459356900581605,0.2407676933873772,2.0466685824108395,3.9173853246960535
