id,shown_price,product-id,category,tuik_category,basic_inflation_1d,basic_inflation_7d,basic_inflation_15d,basic_inflation_30d
Anavarza Çam Balı 450 Gr,399.9,7135,"Süt, Kahvaltılık, Sark.",01,0.0,0.0,0.0,0.0
Anavarza Çam Balı 850 Gr,699.9,8406,"Süt, Kahvaltılık, Sark.",01,0.0,0.0,0.0,0.0
Anavarza Çiçek Balı 450 Gr,299.95,7129,"Süt, Kahvaltılık, Sark.",01,0.0,0.0,0.0,-11.12592592592593
Anavarza Çiçek Balı 850 Gr,499.9,8410,"Süt, Kahvaltılık, Sark.",01,0.0,0.0,-16.669444907484582,-16.669444907484582
Anavarza Çiçek Balı Akıllı Kapak 325 Gr,317.5,614,"Süt, Kahvaltılık, Sark.",01,0.0,0.0,0.0,17.63616154131161
Anavarza Keven Kekik Balı 450 Gr,499.9,9848,"Süt, Kahvaltılık, Sark.",01,0.0,0.0,0.0,0.0
Anavarza Keven Kekik Balı 850 Gr,845.9,1757,"Süt, Kahvaltılık, Sark.",01,0.0,0.0,0.0,0.0
Anavarza Kral Şakir Bal Tüpü 40 Gr,54.9,1419,"Süt, Kahvaltılık, Sark.",01,0.0,,,0.0
Aoç Fındık Kreması 700 Gr,229.95,6558,"Süt, Kahvaltılık, Sark.",01,0.0,,,0.0
Arnilya Sele Siyah Zeytin - 500 Gr.,174.95,8486,"Süt, Kahvaltılık, Sark.",01,0.0,,,2.9420417769932334
Arnilya Yağlı Sele Özel İri Zeytin - 500 Gr.,449.95,9481,"Süt, Kahvaltılık, Sark.",01,0.0,,,
Abalı Yağ  Pet Şişe Ayçiçek Yağı 1LT,128.9,6548,Temel Gıda,01,0.0,0.0,28.964482241120564,
Abalı Yağ  Pet Şişe Ayçiçek Yağı 2LT,239.9,4192,Temel Gıda,01,0.0,0.0,0.0,
Abalı Yağ  Pet Şişe Ayçiçek Yağı 4LT,409.9,4193,Temel Gıda,01,0.0,0.0,2.5006251562890722,
Agora Kapari Cam 185 Cc,84.9,4489,Temel Gıda,01,0.0,0.0,0.0,0.0
AKTAT TURŞU ÇUBUK NO:1  ( - 500 Gr.,113.95,11685,Temel Gıda,01,0.0,0.0,0.0,
Ala Çiftçi Baldo Pirinç 1 kg,94.9,10861,Temel Gıda,01,0.0,0.0,0.0,0.0
Ala Çiftçi Dermasyon Fasulye 1 Kg,79.9,6589,Temel Gıda,01,0.0,0.0,0.0,0.0
Ala Çiftçi Kırmızı Mercimek 1 kg,59.95,10857,Temel Gıda,01,0.0,0.0,0.0,0.0
Ala Çiftçi Koçbaşı Nohut 1 kg,74.9,10858,Temel Gıda,01,0.0,0.0,0.0,0.0
Ala Çiftçi Köftelik Bulgur 1 kg,43.75,10860,Temel Gıda,01,0.0,0.0,0.0,0.0
Ala Çiftçi Osmancık Pirinç 1 kg,79.9,10854,Temel Gıda,01,0.0,0.0,0.0,0.0
Ala Çiftçi Pilavlık Bulgur 1 kg,43.75,10859,Temel Gıda,01,0.0,0.0,0.0,0.0
Ala Çiftçi Uzun Tane Pirinç 1 kg,52.9,10855,Temel Gıda,01,0.0,0.0,0.0,0.0
Alaçatı Tahinli Kurabiye 250 Gr,209.95,772,Temel Gıda,01,0.0,0.0,0.0,0.0
Alaçatı Tarçınlı Kurabiye 250 Gr,209.95,808,Temel Gıda,01,0.0,0.0,0.0,0.0
Alaçatı Üzümlü Kurabiye 250 Gr,209.95,1489,Temel Gıda,01,0.0,0.0,0.0,0.0
Ally Tortilla 15 Cm Lavaş 10 Lu Vegan 300 Gr,79.95,9888,Temel Gıda,01,0.0,0.0,0.0,0.0
Aly Izgara Tortilla Lavaş 25 cm 8'li 520 gr,114.5,9889,Temel Gıda,01,0.0,0.0,0.0,0.0
Aly Tam Buğday Tortilla 6'lı 390 Gr,89.95,12527,Temel Gıda,01,0.0,0.0,,28.591851322373124
Aly Vegan Tortilla 6'lı 390 Gr,89.95,12526,Temel Gıda,01,0.0,0.0,0.0,28.591851322373124
Ankara Arpa Şehriye 500 Gr,34.95,800,Temel Gıda,01,0.0,0.0,0.0,12.924071082390965
Ankara Boncuk Makarna 500 Gr,34.95,794,Temel Gıda,01,0.0,0.0,0.0,12.924071082390965
Ankara Burgu Makarna 500 Gr,34.95,798,Temel Gıda,01,0.0,0.0,0.0,12.924071082390965
Ankara Fiyonk Makarna 500 Gr,34.95,790,Temel Gıda,01,0.0,0.0,0.0,12.924071082390965
Ankara İnce Uzun Makarna 500 Gr,34.95,8150,Temel Gıda,01,0.0,0.0,0.0,12.924071082390965
"Abant Su 0,5 LT",5.75,11468,İçecekler,01,0.0,0.0,0.0,0.0
"Abant Su 1,5 LT",11.5,11469,İçecekler,01,0.0,0.0,0.0,0.0
Abant Su 5 Lt,36.0,11470,İçecekler,01,0.0,0.0,0.0,0.0
Ancora Böğürtlen Suyu 1000 Ml,119.95,3456,İçecekler,01,0.0,0.0,0.0,9.095043201455207
Ancora Karadut Suyu 1000 Ml,119.95,3455,İçecekler,01,0.0,0.0,0.0,9.095043201455207
Ancora Vişne Suyu 1000 Ml,119.95,3457,İçecekler,01,0.0,0.0,0.0,0.0
Bağdat Pratik Salep 100 Gr,59.9,6507,İçecekler,01,0.0,0.0,0.0,0.0
Ben Organıc Organik Portakal&Nar 946 ML,189.95,12938,Bilinmiyor,,0.0,0.0,,
Ben Organıc Organik Vişne&Kiraz 946 ML,189.95,12937,Bilinmiyor,,0.0,0.0,,
Benorganic Organic Kırmızı Meyveler Karışık Meyve Suyu 946 Ml,159.95,12425,İçecekler,01,0.0,0.0,0.0,-15.793629902605948
Benorganic Organic Şeftali & Kayısı & Elma Meyve Suyu 946ml,159.95,12424,İçecekler,01,0.0,0.0,0.0,-15.793629902605948
Benorganic Organik Portakal Suyu 946 Ml,189.95,12426,İçecekler,01,0.0,0.0,0.0,0.0
Benorganic Organik Yeşil Sebze Suyu 946 Ml,189.95,12423,İçecekler,01,0.0,0.0,0.0,0.0
Beypazarı Maden Suyu 6*200 Ml,65.0,12432,İçecekler,01,0.0,0.0,4.0,4.0
Burn Enerji İçeceği 250 Ml,70.0,168,İçecekler,01,0.0,0.0,16.666666666666664,16.666666666666664
"Cafe Crown 3'ü 1 Arada 17,5 Gr",11.5,7322,İçecekler,01,0.0,0.0,0.0,0.0
Cafe Crown 3ü 1 Arada Action 18 Gr,11.5,215,İçecekler,01,0.0,0.0,0.0,0.0
Cafe Crown 3ü 1 Arada Fındıklı 13 Gr,11.5,2074,İçecekler,01,0.0,0.0,0.0,0.0
Cafe Crown Beyaz Çikolatalı Mocha 22 Gr,12.0,7184,İçecekler,01,0.0,0.0,0.0,0.0
Cafe Crown Choco Latte 17 Gr,12.0,2397,İçecekler,01,0.0,0.0,0.0,0.0
Cafe Crown Gold Kahve 100 gr,214.95,3754,İçecekler,01,0.0,0.0,0.0,0.0
Cafe Crown Latte Kahve 17 Gr,12.0,5374,İçecekler,01,0.0,0.0,0.0,0.0
Can Kardeşler Chia Tohumu 150 Gr,74.0,2674,İçecekler,01,0.0,0.0,0.0,0.0
Cappy Ananas Aromalı Meyve Suyu 1 Lt,70.0,7516,İçecekler,01,0.0,0.0,0.0,0.0
Cappy Atom 330 Ml,45.0,2646,İçecekler,01,0.0,,0.0,0.0
8 Kek Mini Orman Meyveli 162 Gr,55.0,12484,Atıştırmalıklar,01,0.0,0.0,0.0,
8 Kek Orman Meyveli Kek 55 gr,13.0,3863,Atıştırmalıklar,01,0.0,0.0,0.0,0.0
9 Kat Tat Fındıklı Gofret 39 Gr,13.5,11502,Atıştırmalıklar,01,0.0,0.0,,
9 Kat Tat İnce İnce Portakallı Gofret 114 Gr,40.0,12321,Atıştırmalıklar,01,0.0,0.0,0.0,0.0
Aktürk Kakaolu Gofret 200Gr,36.5,6658,Atıştırmalıklar,01,0.0,0.0,0.0,0.0
Aktürk Vanilyalı Gofret 200Gr,36.5,6657,Atıştırmalıklar,01,0.0,0.0,0.0,0.0
Alaska Frigo Bitter Çikolata Kaplı Dondurma,48.5,4234,Atıştırmalıklar,01,0.0,0.0,0.0,-10.185185185185185
Alaska Frigo Sütlü Çikolata Kaplı Dondurma,48.5,7805,Atıştırmalıklar,01,0.0,0.0,0.0,-10.185185185185185
Albeni Atıştırmalık Bisküvi Parçacıklı&Karamelli&Bisküvili Sütlü Çikolata 72 Gr,35.0,8670,Atıştırmalıklar,01,0.0,0.0,0.0,0.0
Albeni Tane Tane Kutu Çikolata 29 Gr,28.0,7495,Atıştırmalıklar,01,0.0,0.0,0.0,
Algida Boom Boom Vanilya Aromalı Dondurma,50.0,6903,Atıştırmalıklar,01,0.0,0.0,0.0,0.0
Algida Carte d'Or Classic İsviçre Çikolatası Karamel&Muz,275.0,6035,Atıştırmalıklar,01,0.0,0.0,42.857142857142854,0.0
Algida Carte D'or Petite Bar Chocoberry 276 Gr,250.0,12870,Atıştırmalıklar,01,0.0,0.0,0.0,
