url,name,brand,sku,original_price,member_price,discount,stock,image
https://www.watsons.com.tr/golden-rose-maskara-mega-lashes/p/BP_1273713,,,,N/A,N/A,N/A,,
https://www.watsons.com.tr/pantene-sampuan-guc-parlaklik-325-ml/p/BP_1433796,Pantene Şampuan Güç &amp; Parlaklık 325 ml,PANTENE,1433796,"219,90 ₺","87,95 ₺",N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h39/hf2/12183183491102/prd-front-1433796_1200x1200/prd-front-1433796-1200x1200.jpg
https://www.watsons.com.tr/pastel-oje-no-277/p/BP_167471,Pastel Oje No: 277,PASTEL,167471,"94,95 ₺",N/A,N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h0a/h85/8909430095902/prd-front-167471_1200x1200/prd-front-167471-1200x1200.png
https://www.watsons.com.tr/golden-rose-total-cover-2in1-fondoten-ve-kapatici-no-05/p/BP_157356,Golden Rose Total Cover 2in1 Fondöten ve Kapatıcı No: 05,GOLDEN ROSE,157356,"1.189,90 ₺","474,90 ₺",N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h1d/hfe/10207092867102/prd-front-157356_1200x1200/prd-front-157356-1200x1200.jpg
https://www.watsons.com.tr/watsons-3lu-makyaj-sunger-seti/p/BP_1404662,Watsons 3'lü Makyaj Sünger Seti,WATSONS,1404662,"139,90 ₺","29,95 ₺",,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h20/h05/11764295827486/prd-front-1404662_1200x1200/prd-front-1404662-1200x1200.jpg
https://www.watsons.com.tr/golden-rose-ice-color-mini-oje-no-204/p/BP_1365343,Golden Rose Ice Color Mini Oje No: 204,GOLDEN ROSE,1365343,"9,99 ₺",N/A,N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h67/h78/9404964438046/prd-front-1365343_1200x1200/prd-front-1365343-1200x1200.jpg
https://www.watsons.com.tr/flormar-kapagi-fircali-kas-kalemi-no-402/p/BP_142410,Flormar Kapağı Fırçalı Kaş Kalemi No: 402,FLORMAR,142410,"499,90 ₺",N/A,N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h48/h9c/9273817497630/prd-front-142410_1200x1200/prd-front-142410-1200x1200.png
https://www.watsons.com.tr/eyup-sabri-tuncer-okyanus-kolonya-150-ml/p/BP_1357881,Eyüp Sabri Tuncer Okyanus Kolonya 150 ml,EYÜP SABRİ TUNCER,1357881,"117,90 ₺","99,95 ₺",N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/hd8/hbf/10168574246942/prd-front-1357881_1200x1200/prd-front-1357881-1200x1200.jpg
https://www.watsons.com.tr/nascita-pro-sac-fircasi-pembe/p/BP_1332058,Nascita Pro Saç Fırçası Pembe,NASCITA,1332058,"269,90 ₺",N/A,,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/he3/hba/9021708206110/prd-front-1332058_1200x1200/prd-front-1332058-1200x1200.png
https://www.watsons.com.tr/rebul-night-flora-kadin-parfum-edp-50-ml/p/BP_1481221,Rebul Night Flora Kadın Parfüm EDP 50 ml,REBUL EXC.,1481221,"499,90 ₺","199,90 ₺",,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/hbe/ha9/13611081924638/prd-front-1481221_1200x1200/prd-front-1481221-1200x1200.jpg
https://www.watsons.com.tr/note-silk-tattoo-goz-kalemi-03-antique-bronze/p/BP_1481039,Note Silk Tattoo Göz Kalemi 03 Antique Bronze,NOTE,1481039,"599,90 ₺","239,90 ₺",N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h44/hf7/13600295845918/prd-front-1481039_1200x1200/prd-front-1481039-1200x1200.jpg
https://www.watsons.com.tr/ulric-de-varens-sweet-caramel-santal-kadin-body-fragrance-deodorant-150-ml/p/BP_1459864,Ulric de Varens Sweet Caramel Santal Kadın Body Fragrance Deodorant 150 ml,UDV,1459864,"489,90 ₺","193,90 ₺",N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h79/h4d/13121647312926/prd-front-1459864_1200x1200/prd-front-1459864-1200x1200.jpg
https://www.watsons.com.tr/revolution-guclendirici-peptit-kas-kirpik-serumu/p/BP_1417934,Revolution Güçlendirici Peptit Kaş &amp; Kirpik Serumu,REVOLUTION,1417934,"1.299,90 ₺","519,90 ₺",,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h36/h05/11739046477854/prd-front-1417934_1200x1200/prd-front-1417934-1200x1200.jpg
https://www.watsons.com.tr/naturals-by-watsons-sampuan-olive-450-ml/p/BP_1286362,Naturals By Watsons Şampuan Olive 450 ml,NATURALS BY WATSONS,1286362,"39,95 ₺",N/A,,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/hc1/hef/8905215442974/prd-front-1286362_1200x1200/prd-front-1286362-1200x1200.png
https://www.watsons.com.tr/aussie-bouncy-curls-acan-nemlendirici-sac-maskesi-500-ml/p/BP_1476027,Aussie Bouncy Curls Açan Nemlendirici Saç Maskesi 500 ml,AUSSIE,1476027,"199,00 ₺",N/A,,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h55/h25/13254139707422/prd-front-1476027_1200x1200/prd-front-1476027-1200x1200.jpg
https://www.watsons.com.tr/note-new-era-skin-protect-fondoten-110/p/BP_1398131,Note New Era Skin Protect Fondöten 110,NOTE,1398131,"1.099,90 ₺","439,90 ₺",N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h36/hff/12505107726366/prd-front-1398131_1200x1200/prd-front-1398131-1200x1200.jpg
https://www.watsons.com.tr/i-heart-revolution-pop-gloss-balm-plum-purple/p/BP_1444534,I Heart Revolution Pop Gloss Balm Plum Purple,I HEART REVOLUTION,1444534,"199,00 ₺",N/A,,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h26/hb3/12761425412126/prd-front-1444534_1200x1200/prd-front-1444534-1200x1200.jpg
https://www.watsons.com.tr/golden-rose-keratin-oje-no-12/p/BP_1287580,Golden Rose Keratin Oje No: 12,GOLDEN ROSE,1287580,"99,95 ₺",N/A,N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/hf1/h90/8905232351262/prd-front-1287580_1200x1200/prd-front-1287580-1200x1200.png
https://www.watsons.com.tr/slipstop-4-5-yas-pack-tisort-erkek-cocuk/p/BP_1398929,Slipstop 4-5 Yaş Pack Tişört Erkek Çocuk,SLIPSTOP,1398929,"149,00 ₺",N/A,N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/hbe/h76/12736398065694/prd-front-1398929_1200x1200/prd-front-1398929-1200x1200.jpg
https://www.watsons.com.tr/john-frieda-sac-kremi-kusursuz-bukleler-icin-250-ml/p/BP_128134,John Frieda Saç Kremi Kusursuz Bukleler İçin 250 ml,JOHN FRIEDA,128134,"699,90 ₺","279,90 ₺",N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h5c/hc0/12209159045150/prd-front-128134_1200x1200/prd-front-128134-1200x1200.jpg
https://www.watsons.com.tr/nivea-men-erkek-stick-deodorant-black-white-invisible-fresh-50-ml/p/BP_1453235,,,,N/A,N/A,N/A,,
https://www.watsons.com.tr/nyx-professional-makeup-slim-lip-kalem-nude-beige/p/BP_155847,Nyx Professional Makeup Slim Lip Kalem Nude Beige,NYX,155847,"899,90 ₺",N/A,,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/he5/h32/11964827893790/prd-front-155847_1200x1200/prd-front-155847-1200x1200.jpg
https://www.watsons.com.tr/flormar-suya-dayanikli-mat-dudak-kalemi-no-234-vanilla-soufle/p/BP_1241135,Flormar Suya Dayanıklı Mat Dudak Kalemi No: 234 Vanilla Soufle,FLORMAR,1241135,"399,90 ₺",N/A,N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/hc0/h8d/13588353253406/prd-front-1241135_1200x1200/prd-front-1241135-1200x1200.jpg
https://www.watsons.com.tr/morfose-extra-strong-sac-spreyi-270-ml/p/BP_1334291,Morfose Extra Strong Saç Spreyi 270 ml,MORFOSE EXC.,1334291,"329,90 ₺","149,00 ₺",,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h3b/h10/14189098369054/prd-front-1334291_1200x1200/prd-front-1334291-1200x1200.jpg
https://www.watsons.com.tr/nyx-professional-makeup-wednesday-mystery-lip-oil-moonshifted/p/BP_1460305,,,,N/A,N/A,N/A,,
https://www.watsons.com.tr/maybelline-new-york-super-stay-teddy-tint-uzun-sure-kalici-likit-mat-tint-55-knee-high/p/BP_1425067,Maybelline New York Super Stay Teddy Tint Uzun Süre Kalıcı Likit Mat Tint 55 Knee High,MAYBELLINE,1425067,"1.399,90 ₺","699,90 ₺",N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h5f/hec/11907958669342/prd-front-1425067_1200x1200/prd-front-1425067-1200x1200.jpg
https://www.watsons.com.tr/show-by-pastel-show-your-happiness-blush-allik-205-cosy/p/BP_1250536,Show By Pastel Show Your Happiness Blush Allık 205 Cosy,SHOW BY PASTEL,1250536,"349,90 ₺","139,90 ₺",N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/hd1/h19/8903912325150/prd-front-1250536_1200x1200/prd-front-1250536-1200x1200.png
https://www.watsons.com.tr/molped-pure-and-soft-normal-super-ekonomik-24-adet/p/BP_163648,Molped Pure And Soft Normal Süper Ekonomik 24 Adet,MOLPED,163648,"307,90 ₺","154,90 ₺",N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/hf3/hb1/13944964349982/prd-front-163648_1200x1200/prd-front-163648-1200x1200.jpg
https://www.watsons.com.tr/herbal-essences-hindistan-cevizi-ozlu-nemlendirici-sampuan-350-ml/p/BP_1395324,Herbal Essences Hindistan Cevizi Özlü Nemlendirici Şampuan 350 ml,HERBAL ESSENCES,1395324,"589,90 ₺","234,90 ₺",,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h4d/hfa/10344485290014/prd-front-1395324_1200x1200/prd-front-1395324-1200x1200.jpg
https://www.watsons.com.tr/head-shoulders-sampuan-clinical-oil-control-400-ml/p/BP_1481655,Head&amp;Shoulders Şampuan Clinical Oil Control 400 ml,HEAD&amp;SHOULDERS,1481655,"2.499,90 ₺","999,90 ₺",N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/hf5/h09/13683274317854/prd-front-1481655_1200x1200/prd-front-1481655-1200x1200.jpg
https://www.watsons.com.tr/nyx-professional-makeup-ultimate-shadow-palette-i-know-thats-bright-goz-fari-paleti/p/BP_1384075,Nyx Professional Makeup Ultimate Shadow Palette I Know Thats Bright Göz Farı Paleti,NYX,1384075,"2.149,90 ₺",N/A,,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h99/h5a/10525802758174/prd-front-1384075_1200x1200/prd-front-1384075-1200x1200.jpg
https://www.watsons.com.tr/loreal-paris-freshwear-cushion-fondoten-24h-air-wear-130/p/BP_1480647,L'Oréal Paris Freshwear Cushion Fondöten 24H Air Wear 130,LOREAL PARIS,1480647,"2.119,90 ₺","949,90 ₺",,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/ha5/h4d/13857038237726/prd-front-1480647_1200x1200/prd-front-1480647-1200x1200.jpg
