url,name,price
https://www.watsons.com.tr/bepanthol-3lu-set-derma-onarici-merhem-30-g-cilt-bakikm-kremi-30-g-dudak-bakim-kremi-7-5-g/p/BP_1454453,"Bepanthol 3'lü Set Derma Onarıcı Merhem 30 g + Cilt Bakıkm Kremi 30 g + Dudak Bakım Kremi 7,5 g","639,90 ₺"
https://www.watsons.com.tr/lionesse-cimbiz/p/BP_1383704,Lionesse Cımbız,"84,95 ₺"
https://www.watsons.com.tr/lovely-aydinlatici-gold/p/BP_1254862,Lovely Aydınlatıcı Gold,"359,90 ₺"
https://www.watsons.com.tr/true-spirit-semsiye-yari-otomatik-renkli-ucgenler/p/BP_1418242,True Spirit Şemsiye Yarı Otomatik Renkli Üçgenler,"329,90 ₺"
https://www.watsons.com.tr/pastel-daylong-likit-ruj-28/p/BP_1432032,Pastel Daylong Likit Ruj 28,"799,90 ₺"
https://www.watsons.com.tr/deborah-hi-tech-blush-allik-no-52/p/BP_126308,N/A,N/A
https://www.watsons.com.tr/golden-rose-city-color-oje-no-116/p/BP_1368535,N/A,N/A
https://www.watsons.com.tr/note-flawless-lipgloss-no-01/p/BP_1327942,N/A,N/A
https://www.watsons.com.tr/target-pro-by-watsons-vitamin-c-15-serum-konsantre-30-ml/p/BP_1423415,Target Pro By Watsons Vitamin C 15% Serum Konsantre 30 ml,"1.799,90 ₺"
https://www.watsons.com.tr/flormar-quick-dry-drops-oje-kurutucu-ve-hizli-sabitleyici-damla/p/BP_1333871,N/A,N/A
https://www.watsons.com.tr/ashley-joy-bukle-belirginlestirici-kivircik-ve-dalgali-saclara-ozel-bakim-kremi-250-ml/p/BP_1457057,Ashley Joy Bukle Belirginleştirici Kıvırcık ve Dalgalı Saçlara Özel Bakım Kremi 250 ml,"589,90 ₺"
https://www.watsons.com.tr/lovely-blossom-likit-allik-no-2/p/BP_1425718,Lovely Blossom Likit Allık No: 2,"447,90 ₺"
https://www.watsons.com.tr/auran-ucucu-koku-yagi-amber-10-ml/p/BP_1445381,Auran Uçucu Koku Yağı Amber 10 ml,"169,90 ₺"
https://www.watsons.com.tr/tampax-pearl-compak-tampon-regular-normal-16li/p/BP_1436008,Tampax Pearl Compak Tampon Regular/Normal 16'lı,"296,90 ₺"
https://www.watsons.com.tr/siveno-100-dogal-yaslanma-karsiti-yuz-kremi-30-ml/p/BP_1444226,Siveno %100 Doğal Yaşlanma Karşıtı Yüz Kremi 30 ml,"799,90 ₺"
