product-name,product-price,shown_price,id,tuik_category,basic_inflation_1d,basic_inflation_7d,basic_inflation_15d,basic_inflation_30d
Maybelline New York Lifter Glaze Shea Yağı ve Hyalüronik Asit içeren Renkli Dudak Balmı 07 Berry Haze,759.9,759.9,Maybelline New York Lifter Glaze Shea Yağı ve Hyalüronik Asit içeren Renkli Dudak Balmı 07 Berry Haze,12,0.0,0.0,0.0,
Nyx Professional Makeup Bridgerton Royal Dudak Kombo Kiti 05,1999.9,1999.9,Nyx Professional Makeup Bridgerton Royal Dudak Kombo Kiti 05,12,0.0,0.0,0.0,
Nascita Garden Fırça Seti 4'lü,479.9,479.9,Nascita Garden Fırça Seti 4'lü,12,0.0,0.0,0.0,
Nyx Professional Makeup Fat Oil Slick Click Parlatıcı Dudak Balmı 04 Going Viral,1049.9,1049.9,Nyx Professional Makeup Fat Oil Slick Click Parlatıcı Dudak Balmı 04 Going Viral,12,0.0,0.0,0.0,
Revolution Reloaded Dare to Divulge Aydınlatıcı,749.9,749.9,Revolution Reloaded Dare to Divulge Aydınlatıcı,12,0.0,0.0,0.0,
Maybelline New York Sky High Tubes Maskara,1699.9,1699.9,Maybelline New York Sky High Tubes Maskara,12,0.0,0.0,0.0,
Revolution Felt and Kohl Eyeliner Kahverengi,499.9,499.9,Revolution Felt and Kohl Eyeliner Kahverengi,12,0.0,0.0,0.0,
Nyx Professional Makeup Make em Wonder Fondöten 06 Light,999.9,999.9,Nyx Professional Makeup Make em Wonder Fondöten 06 Light,12,0.0,0.0,0.0,
Nyx Professional Makeup Buttermelt Bronzer 02 All Buttad Up,1099.9,1099.9,Nyx Professional Makeup Buttermelt Bronzer 02 All Buttad Up,12,0.0,0.0,0.0,
L'Oreal Paris Panorama Chromatic Maskara Brun Leather,1799.9,1799.9,L'Oreal Paris Panorama Chromatic Maskara Brun Leather,12,0.0,0.0,0.0,
Nyx Professional Makeup Bridgerton Royal Dudak Kombo Kiti 01,1999.9,1999.9,Nyx Professional Makeup Bridgerton Royal Dudak Kombo Kiti 01,12,0.0,,,
Nyx Professional Makeup Lip Lingerie Stain Dudak Kalemi 09 Send Nudes,949.9,949.9,Nyx Professional Makeup Lip Lingerie Stain Dudak Kalemi 09 Send Nudes,12,0.0,0.0,0.0,
Maybelline New York Vinyl Ink Ruj Peachy No: 15,1599.9,1599.9,Maybelline New York Vinyl Ink Ruj Peachy No: 15,12,0.0,0.0,0.0,
Nyx Professional Makeup Fat Oil Slick Click Parlatıcı Dudak Balmı 05 Link In My Bio,1049.9,1049.9,Nyx Professional Makeup Fat Oil Slick Click Parlatıcı Dudak Balmı 05 Link In My Bio,12,0.0,0.0,,
Maybelline New York Instant Anti Age Eraser Kapatıcı No: 03 Fair,1399.9,1399.9,Maybelline New York Instant Anti Age Eraser Kapatıcı No: 03 Fair,12,0.0,0.0,0.0,
L'Oreal Paris True Match Bakım Yapan Fondöten 2N Vanilla,1699.9,1699.9,L'Oreal Paris True Match Bakım Yapan Fondöten 2N Vanilla,12,0.0,0.0,0.0,
Nyx Professional Make Up Lip IV Dudak Parlatıcısı Tint Dripping In Rose,999.9,999.9,Nyx Professional Make Up Lip IV Dudak Parlatıcısı Tint Dripping In Rose,12,0.0,0.0,0.0,
Revolution Cheek Kit Allık Paleti Take A Breather,934.9,934.9,Revolution Cheek Kit Allık Paleti Take A Breather,12,0.0,0.0,0.0,
Nyx Professional Makeup Make em Wonder Fondöten 03 Fair,999.9,999.9,Nyx Professional Makeup Make em Wonder Fondöten 03 Fair,12,0.0,0.0,0.0,
Note Makyaj Sabitleyici Transparan Pudra,899.9,899.9,Note Makyaj Sabitleyici Transparan Pudra,12,0.0,0.0,0.0,
