name,price,shown_price,id,tuik_category,basic_inflation_1d,basic_inflation_7d,basic_inflation_15d,basic_inflation_30d
Sebamed Yüz ve Vücut Temizleyici Likit 1000 ml,2413.9,2413.9,Sebamed Yüz ve Vücut Temizleyici Likit 1000 ml,12,0.0,0.0,,
Watsons Yüz Temizleme Yağı 105 ml,249.9,249.9,Watsons Yüz Temizleme Yağı 105 ml,12,0.0,0.0,,
The Purest Solutions Yağlı Cilt Yüz Güneş Kremi 50+ SPF50 ml,899.9,899.9,The Purest Solutions Yağlı Cilt Yüz Güneş Kremi 50+ SPF50 ml,12,0.0,,,
Round Lab Soybean Krem 80 ml,2099.9,2099.9,Round Lab Soybean Krem 80 ml,12,0.0,0.0,,
Sinoz Avocado Bomb Göz Çevresi Bakım Kremi 15 ml,799.9,799.9,Sinoz Avocado Bomb Göz Çevresi Bakım Kremi 15 ml,12,0.0,0.0,,
Frudia Blueberry Dudak Balmı Nemlendirici 10 g,499.9,499.9,Frudia Blueberry Dudak Balmı Nemlendirici 10 g,12,0.0,0.0,,
The Purest Solutions Yağ Kontrol Hydrating Krem 50 ml,799.9,799.9,The Purest Solutions Yağ Kontrol Hydrating Krem 50 ml,12,0.0,0.0,,
She Vec Glyc Alright Gözenek Sıkılaştırıcı Tonik 200 ml,669.9,669.9,She Vec Glyc Alright Gözenek Sıkılaştırıcı Tonik 200 ml,12,0.0,0.0,,
Medicube Zero Pore Pad 2.0 155 g,2499.9,2499.9,Medicube Zero Pore Pad 2.0 155 g,12,0.0,0.0,,
Sinoz Lekeli Ciltler Yüz Güneş Koruyucu Losyon SPF50+ 50 ml,799.9,799.9,Sinoz Lekeli Ciltler Yüz Güneş Koruyucu Losyon SPF50+ 50 ml,12,0.0,,,
Epify Glutatyon Beyazlatma Krem 75 ml,939.9,939.9,Epify Glutatyon Beyazlatma Krem 75 ml,12,0.0,0.0,,
Ph Lab Collagen Night Soyulabilir Maske 50 ml,959.9,959.9,Ph Lab Collagen Night Soyulabilir Maske 50 ml,12,0.0,0.0,,
Garnier Hyaluron Fresh & Plump Sorbe Yüz Kremi 85 ml,599.9,599.9,Garnier Hyaluron Fresh & Plump Sorbe Yüz Kremi 85 ml,12,0.0,0.0,,
Medicube Deep Vita C Kapsul Krem 55 ml,3999.0,3999.0,Medicube Deep Vita C Kapsul Krem 55 ml,12,0.0,0.0,,
RoC Zengin İçerikli Sarkma Karşıtı Sıkılaştırıcı Yüz Kremi 50 ml,3199.9,3199.9,RoC Zengin İçerikli Sarkma Karşıtı Sıkılaştırıcı Yüz Kremi 50 ml,12,0.0,0.0,,
BIODANCE REVITINATING CAVIOR PDRN REAL DEEP MSK34G,679.9,679.9,BIODANCE REVITINATING CAVIOR PDRN REAL DEEP MSK34G,12,0.0,,,
Mjcare Siyah Nokta Gözenek Temizleme Burun Bandı 10 adet,399.9,399.9,Mjcare Siyah Nokta Gözenek Temizleme Burun Bandı 10 adet,12,0.0,0.0,,
Bioderma Photoderm XDefense SPF50+ Hassas&Tüm Ciltler Antioksidan Etkili Yüz Güneş Kremi PA++++ 40 ml,1299.9,1299.9,Bioderma Photoderm XDefense SPF50+ Hassas&Tüm Ciltler Antioksidan Etkili Yüz Güneş Kremi PA++++ 40 ml,12,0.0,,,
Round Lab 1025 Dokdo Göz Kremi 30 ml,1999.9,1999.9,Round Lab 1025 Dokdo Göz Kremi 30 ml,12,0.0,,,
COSRX SALİSİLİK ASİT DAILY GENTLE TEM.JELİ 150ML,732.9,732.9,COSRX SALİSİLİK ASİT DAILY GENTLE TEM.JELİ 150ML,12,0.0,0.0,,
The Purest Solutions Temizleme Jeli Nemlendirici 400 ml,1199.9,1199.9,The Purest Solutions Temizleme Jeli Nemlendirici 400 ml,12,0.0,0.0,,
The Purest Solutions Göz Altı Bakım Serumu 30 ml,699.9,699.9,The Purest Solutions Göz Altı Bakım Serumu 30 ml,12,0.0,0.0,,
Medicube Red Peeling Pad 155 g,3299.9,3299.9,Medicube Red Peeling Pad 155 g,12,0.0,0.0,,
Garnier Çift Fazlı Micellar Kusursuz Makyaj Temizleme Suyu 400 ml,599.9,599.9,Garnier Çift Fazlı Micellar Kusursuz Makyaj Temizleme Suyu 400 ml,12,0.0,0.0,,
BIODANCE CERA-NOL GEL TONER PED 60 AD,2999.9,2999.9,BIODANCE CERA-NOL GEL TONER PED 60 AD,12,0.0,,,
Frudia Ton Eşitleyici Yüz Güneş Kremi SPF50+ PA+++ 50g,949.9,949.9,Frudia Ton Eşitleyici Yüz Güneş Kremi SPF50+ PA+++ 50g,12,0.0,,,
Banila Co Clean It Zero Yağ Bazlı Yüz Temizleyici Balm Orijinal 100 ml,2199.9,2199.9,Banila Co Clean It Zero Yağ Bazlı Yüz Temizleyici Balm Orijinal 100 ml,12,0.0,0.0,,
Frudia Green Grape Köpük Gözenek Kontrol Temizleyici 145 ml,549.9,549.9,Frudia Green Grape Köpük Gözenek Kontrol Temizleyici 145 ml,12,0.0,0.0,,
Maruderm Sun Mineral Hassas Vücut Güneş Kremi Sprey SPF50+ PA++++ 200 ml,1199.9,1199.9,Maruderm Sun Mineral Hassas Vücut Güneş Kremi Sprey SPF50+ PA++++ 200 ml,12,0.0,,,
Frudia Pomegranate Dudak Balmı 10 g,499.9,499.9,Frudia Pomegranate Dudak Balmı 10 g,12,0.0,0.0,,
Frudia What's Wrong Cicaderm Yüz Güneş Kremi SPF50 50g,949.9,949.9,Frudia What's Wrong Cicaderm Yüz Güneş Kremi SPF50 50g,12,0.0,,,
COSRX PROPOLİS ÖZLÜ BESLEYİCİ KREM 65ML,2419.9,2419.9,COSRX PROPOLİS ÖZLÜ BESLEYİCİ KREM 65ML,12,0.0,0.0,,
Frudia Green Grape Pore Peeling Ped Gözenek Kontrol 1 Adet,69.95,69.95,Frudia Green Grape Pore Peeling Ped Gözenek Kontrol 1 Adet,12,0.0,0.0,,
L'Oreal Paris Nem Terapisi Aloe Vera Suyu Normalden Karmaya Ciltler 70 ml,1119.9,1119.9,L'Oreal Paris Nem Terapisi Aloe Vera Suyu Normalden Karmaya Ciltler 70 ml,12,0.0,0.0,,
BIODANCE COLLAGEN GEL TONER PED 60 AD,2999.9,2999.9,BIODANCE COLLAGEN GEL TONER PED 60 AD,12,0.0,,,
Pure Beauty Cushion Krem Natural 12 g,1599.9,1599.9,Pure Beauty Cushion Krem Natural 12 g,12,0.0,0.0,,
Elensilia 4 Haftada Etkili %80 Fransız Kolajeni Kırışıklık Karşıtı CPP %80 Baby Collagen Göz Kremi 30 ml,1359.9,1359.9,Elensilia 4 Haftada Etkili %80 Fransız Kolajeni Kırışıklık Karşıtı CPP %80 Baby Collagen Göz Kremi 30 ml,12,0.0,0.0,,
Frudia Blueberry Honey Nemlendirici Dudak Balmı 10 ml,449.9,449.9,Frudia Blueberry Honey Nemlendirici Dudak Balmı 10 ml,12,0.0,0.0,,
Mia Klinika Azelaik Asit Serum 30 ml,718.9,718.9,Mia Klinika Azelaik Asit Serum 30 ml,12,0.0,0.0,,
Nivea Luminous630 Leke Karşıtı Aydınlatıcı Cilt Bakım Serumu 30 ml,1439.9,1439.9,Nivea Luminous630 Leke Karşıtı Aydınlatıcı Cilt Bakım Serumu 30 ml,12,0.0,0.0,,
Ph Lab Zero Pore Temizleme Bar 50 ml,819.9,819.9,Ph Lab Zero Pore Temizleme Bar 50 ml,12,0.0,0.0,,
The Purest Solutions Onarıcı Retinol Serum 30 ml,999.9,999.9,The Purest Solutions Onarıcı Retinol Serum 30 ml,12,0.0,0.0,,
Sinoz Kusursuz Bronzlaştırıcı Güneş Yağı Sprey 200 ml,699.9,699.9,Sinoz Kusursuz Bronzlaştırıcı Güneş Yağı Sprey 200 ml,12,0.0,0.0,,
Ph Lab Kojiso Leke Karşıtı Temizleme Bar 50 ml,819.9,819.9,Ph Lab Kojiso Leke Karşıtı Temizleme Bar 50 ml,12,0.0,0.0,,
Neutrogena Hydro Boost Makyaj Temizleme Mendili 25'li,269.9,269.9,Neutrogena Hydro Boost Makyaj Temizleme Mendili 25'li,12,0.0,0.0,,
Nivea Sun SPF6 Karoten Özlü Yoğun Bronzlaştırıcı Güneş Yağı 200 ml Sprey,1499.9,1499.9,Nivea Sun SPF6 Karoten Özlü Yoğun Bronzlaştırıcı Güneş Yağı 200 ml Sprey,12,0.0,0.0,,
