District,Rooms,Price
Merkez / Karşıyaka,4+1,31000.0
Merkez,1+1,22500.0
Merkez / Karşıyaka,2+1,20500.0
Erbaa,3+1,21000.0
Merkez / Perakende,4+1,32000.0
Merkez,1+1,25000.0
Merkez,3+1,25000.0
Merkez / Karşıyaka,3+1,25000.0
Merkez,4+1,34500.0
Merkez / Karşıyaka,2+1,21000.0
Merkez,2+1,20000.0
Niksar,4+1,25000.0
Merkez,3+1,26000.0
Merkez,3+1,27750.0
Merkez / Köyler,1+1,25000.0
Merkez / Karşıyaka,3+1,27500.0
Merkez / Köyler,3+1,20000.0
Zile,3+1,25000.0
Erbaa,3+1,22000.0
Merkez / Köyler,3+1,28000.0
Merkez,1+1,20000.0
Merkez,3+1,21000.0
Merkez,3+1,30500.0
Merkez,4+1,25000.0
Merkez,3+1,20000.0
Merkez / Köyler,1+1,25000.0
Erbaa,3+1,22000.0
Erbaa,3+1,22000.0
Merkez / Perakende,3+1,21000.0
Merkez / Karşıyaka,3+1,35000.0
Merkez,4+1,21000.0
Erbaa,2+1,20000.0
Merkez / Karşıyaka,3+1,26000.0
Merkez,5+1,26500.0
Merkez,3+1,20000.0
Merkez,3+1,21000.0
Niksar,3+1,22000.0
Turhal,2.5+1,21000.0
Merkez / Köyler,1+1,25000.0
Merkez / Karşıyaka,3+1,32000.0
Merkez,3+1,30000.0
Zile,3+1,23000.0
Merkez,4+1,35000.0
Merkez / Karşıyaka,3+1,27500.0
Merkez,3+1,21500.0
Merkez,3+1,22000.0
Merkez,3+1,20000.0
Erbaa,3+1,22000.0
Erbaa,4+1,23000.0
Merkez,1+1,23000.0
Merkez,3+1,39000.0
Merkez / Karşıyaka,1+1,21500.0
Turhal,3+1,24000.0
Merkez,3+1,20000.0
Merkez,3+1,20500.0
Merkez / Karşıyaka,3+1,28000.0
Merkez,3+1,20000.0
Merkez,3+1,25000.0
Merkez / Karşıyaka,4+1,25000.0
Merkez / Perakende,3+1,24000.0
Merkez,3+1,22000.0
Merkez / Karşıyaka,3+1,21000.0
Merkez,3+1,20500.0
Erbaa,2+1,25000.0
Merkez / Karşıyaka,2+1,20000.0
Merkez,1+1,22000.0
Merkez,1+1,20500.0
Merkez,3+1,22000.0
Merkez / Karşıyaka,3+1,28000.0
Merkez,3+1,30000.0
Merkez,1+1,25000.0
Merkez / Karşıyaka,2+1,22500.0
Merkez,3+1,25000.0
Erbaa,1+1,20000.0
Merkez,3+1,25000.0
Merkez / Karşıyaka,3+1,25500.0
Merkez,1+1,25500.0
Merkez,3+1,21500.0
Merkez / Karşıyaka,2+1,22500.0
Merkez / Karşıyaka,2+1,21000.0
Merkez / Köyler,3+1,26500.0
Merkez / Karşıyaka,3+1,25500.0
Merkez,2.5+1,24000.0
Turhal,2+1,21500.0
Zile,3+1,20000.0
Merkez / Köyler,3+1,27500.0
Merkez,2+1,20000.0
Merkez / Köyler,1+1,20000.0
Merkez,1+1,25000.0
Merkez / Köyler,3+1,27500.0
Merkez,2+1,24000.0
Merkez / Köyler,2+1,20000.0
Merkez,1+1,23000.0
